 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.630,255.000,255,255,3.006,0.990,0.810,78.055,0.876,1.222,0.818,0.921,645,59
2,1.540,255.000,255,255,7.985,2.076,0.944,91.529,0.303,2.199,0.455,0.609,683,62
3,1.228,255.000,255,255,4.794,2.007,0.779,57.556,0.672,2.576,0.388,0.928,731,82
4,1.608,253.279,0,255,7.834,3.260,0.628,108.463,0.329,5.189,0.193,0.742,791,96
5,0.579,255.000,255,255,2.850,0.994,0.741,73.997,0.895,1.341,0.746,0.934,768,119
6,1.721,255.000,255,255,7.404,2.787,0.786,61.512,0.394,3.546,0.282,0.704,579,130
7,0.990,254.534,0,255,5.867,2.055,0.613,44.342,0.361,3.352,0.298,0.743,917,161
8,1.397,255.000,255,255,6.031,2.640,0.674,70.628,0.483,3.919,0.255,0.875,835,165
9,1.813,255.000,255,255,7.857,3.459,0.667,87.775,0.369,5.185,0.193,0.769,907,207
10,0.539,255.000,255,255,2.875,0.998,0.688,48.023,0.820,1.452,0.689,0.925,636,219
11,1.693,255.000,255,255,7.847,3.535,0.610,38.303,0.346,5.796,0.173,0.815,669,244
12,0.541,255.000,255,255,3.396,1.364,0.505,105.406,0.589,2.703,0.370,0.886,972,269
13,2.692,255.000,255,255,11.887,3.640,0.942,2.820,0.239,3.864,0.259,0.622,640,298
14,2.012,255.000,255,255,9.904,2.628,0.975,47.813,0.258,2.696,0.371,0.550,565,299
15,2.006,255.000,255,255,10.970,2.831,0.903,22.626,0.210,3.136,0.319,0.429,628,329
16,8.599,254.410,0,255,35.224,6.122,1.788,155.710,0.087,3.423,0.292,0.424,698,330
17,0.816,255.000,255,255,3.967,1.553,0.669,17.233,0.652,2.322,0.431,0.905,807,336
18,0.597,255.000,255,255,3.135,1.292,0.589,89.548,0.763,2.195,0.456,0.934,659,351
19,3.181,255.000,255,255,14.095,3.704,1.093,70.591,0.201,3.387,0.295,0.565,524,364
20,1.274,255.000,255,255,5.255,1.923,0.844,172.497,0.580,2.279,0.439,0.800,890,379
21,3.523,249.761,0,255,12.880,3.414,1.314,31.939,0.267,2.598,0.385,0.593,606,381
22,0.476,255.000,255,255,2.560,0.851,0.712,177.252,0.912,1.196,0.836,0.931,627,381
23,1.853,255.000,255,255,7.570,2.034,1.160,166.853,0.406,1.753,0.570,0.686,849,396
24,1.299,255.000,255,255,6.122,2.133,0.775,71.872,0.436,2.751,0.363,0.697,473,407
25,8.429,255.000,255,255,37.515,5.434,1.975,130.143,0.075,2.752,0.363,0.340,833,449
26,0.767,255.000,255,255,4.263,1.777,0.550,23.803,0.530,3.232,0.309,0.805,479,461
27,0.624,255.000,255,255,2.925,0.979,0.812,81.127,0.917,1.206,0.829,0.943,430,466
28,1.605,255.000,255,255,7.404,2.628,0.778,8.775,0.368,3.379,0.296,0.702,795,472
29,0.574,255.000,255,255,3.141,1.267,0.576,62.530,0.731,2.198,0.455,0.932,529,479
30,0.237,255.000,255,255,2.294,0.762,0.396,170.751,0.566,1.925,0.520,0.775,994,479
31,2.050,255.000,255,255,10.464,2.124,1.229,138.982,0.235,1.729,0.578,0.511,424,499
32,2.846,255.000,255,255,11.066,5.119,0.708,26.441,0.292,7.233,0.138,0.841,774,531
33,2.717,255.000,255,255,13.310,4.799,0.721,25.549,0.193,6.656,0.150,0.526,778,552
34,1.004,255.000,255,255,5.825,2.370,0.539,107.195,0.372,4.394,0.228,0.677,496,566
35,0.460,255.000,255,255,2.575,0.919,0.636,12.175,0.871,1.444,0.692,0.930,430,568
36,4.458,255.000,255,255,21.766,6.972,0.814,49.401,0.118,8.563,0.117,0.471,813,572
37,1.011,255.000,255,255,5.049,2.061,0.625,65.937,0.498,3.299,0.303,0.829,307,576
38,0.508,255.000,255,255,2.900,1.166,0.555,65.686,0.760,2.101,0.476,0.930,400,577
39,0.961,255.000,255,255,5.504,1.838,0.666,58.427,0.399,2.761,0.362,0.673,685,589
40,0.498,255.000,255,255,4.147,1.795,0.353,20.153,0.364,5.087,0.197,0.775,644,591
41,0.501,255.000,255,255,2.950,1.073,0.595,8.920,0.724,1.804,0.554,0.889,462,599
42,1.589,255.000,255,255,6.130,2.680,0.755,16.520,0.531,3.552,0.282,0.865,1027,600
43,0.284,255.000,255,255,1.983,0.651,0.555,91.399,0.907,1.172,0.853,0.932,959,614
44,5.862,229.500,0,255,21.091,4.620,1.616,36.225,0.166,2.859,0.350,0.434,637,620
45,1.321,255.000,255,255,6.191,2.620,0.642,76.189,0.433,4.081,0.245,0.770,363,623
46,1.201,255.000,255,255,6.317,2.086,0.733,24.981,0.378,2.844,0.352,0.779,727,623
47,4.892,255.000,255,255,20.728,7.400,0.842,96.810,0.143,8.791,0.114,0.460,945,623
48,1.286,255.000,255,255,6.502,2.037,0.804,25.093,0.382,2.532,0.395,0.664,476,626
49,0.340,255.000,255,255,2.124,0.718,0.603,27.594,0.947,1.190,0.841,0.928,436,630
50,0.420,255.000,255,255,2.344,0.765,0.698,9.121,0.960,1.095,0.913,0.945,995,636
51,1.921,255.000,255,255,9.516,1.656,1.477,117.297,0.267,1.121,0.892,0.691,399,638
52,1.129,255.000,255,255,4.944,1.870,0.769,1.218,0.580,2.433,0.411,0.833,324,642
53,0.402,255.000,255,255,2.599,0.985,0.519,16.858,0.747,1.898,0.527,0.872,557,648
54,0.282,255.000,255,255,2.195,0.905,0.397,44.894,0.736,2.279,0.439,0.894,687,648
55,0.492,255.000,255,255,2.776,0.873,0.718,110.911,0.803,1.215,0.823,0.892,225,651
56,2.676,255.000,255,255,13.229,4.570,0.746,40.986,0.192,6.129,0.163,0.582,683,676
57,0.376,255.000,255,255,2.259,0.803,0.596,39.013,0.927,1.347,0.742,0.939,470,689
58,0.420,255.000,255,255,2.815,1.009,0.530,175.486,0.666,1.905,0.525,0.858,292,694
59,2.227,255.000,255,255,12.242,1.963,1.444,122.852,0.187,1.359,0.736,0.422,676,703
60,7.038,251.001,0,255,29.753,5.190,1.727,88.918,0.100,3.006,0.333,0.413,384,709
