 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,1.418,255,255,255,9.078,1.689,1.069,122.936,0.216,1.579,0.633,0.582,265,77
2,2.258,255,255,255,16.206,4.183,0.687,42.719,0.108,6.087,0.164,0.501,146,84
3,0.516,255,255,255,3.336,0.974,0.674,32.814,0.582,1.444,0.693,0.811,190,97
4,0.461,255,255,255,3.697,1.115,0.527,147.087,0.424,2.115,0.473,0.743,331,127
5,1.263,255,255,255,8.192,1.453,1.107,37.515,0.236,1.313,0.762,0.662,205,136
6,0.557,255,255,255,3.892,1.282,0.553,176.306,0.462,2.318,0.431,0.760,259,149
7,2.531,255,255,255,15.013,3.885,0.830,104.742,0.141,4.683,0.214,0.504,358,153
8,0.403,255,255,255,2.825,0.835,0.615,22.980,0.635,1.356,0.737,0.821,180,155
9,0.326,255,255,255,2.330,0.723,0.574,30.689,0.754,1.259,0.794,0.847,71,167
10,0.286,255,255,255,2.886,0.895,0.407,132.742,0.431,2.198,0.455,0.701,273,177
11,0.432,255,255,255,3.937,1.103,0.499,12.257,0.350,2.210,0.453,0.704,94,185
12,0.242,255,255,255,2.751,0.749,0.412,13.603,0.403,1.820,0.550,0.705,226,198
13,0.995,255,255,255,6.688,1.534,0.826,14.011,0.280,1.857,0.538,0.670,69,205
14,0.469,255,255,255,3.261,1.012,0.589,40.619,0.554,1.717,0.582,0.782,118,238
15,1.511,255,255,255,5.981,2.180,0.883,175.229,0.531,2.470,0.405,0.807,239,247
16,0.286,255,255,255,1.933,0.631,0.577,34.126,0.961,1.095,0.913,0.946,263,275
17,1.212,255,255,255,7.570,1.638,0.942,14.344,0.266,1.738,0.575,0.600,406,278
18,1.865,255,255,255,7.690,1.887,1.259,128.385,0.396,1.499,0.667,0.683,224,302
19,0.389,255,255,255,3.993,0.949,0.522,97.478,0.307,1.820,0.550,0.705,121,307
20,0.716,255,255,255,5.165,1.463,0.623,105.108,0.337,2.347,0.426,0.663,48,317
21,0.431,255,255,255,2.776,0.955,0.574,115.636,0.702,1.664,0.601,0.850,287,336
22,0.230,255,255,255,2.355,0.801,0.365,103.981,0.521,2.195,0.456,0.806,418,346
23,0.977,255,255,255,5.155,1.320,0.943,143.833,0.462,1.400,0.714,0.771,165,354
24,0.903,255,255,255,6.779,1.698,0.677,129.283,0.247,2.507,0.399,0.704,64,356
25,2.215,255,255,255,7.684,2.515,1.121,35.856,0.471,2.243,0.446,0.724,353,360
26,1.133,255,255,255,6.873,1.274,1.132,101.320,0.301,1.126,0.888,0.644,459,362
27,1.887,255,255,255,11.547,2.265,1.061,100.584,0.178,2.134,0.469,0.493,208,391
28,0.342,255,255,255,2.620,0.824,0.528,159.274,0.626,1.561,0.641,0.818,247,402
29,0.492,255,255,255,4.128,1.114,0.563,171.604,0.363,1.979,0.505,0.671,299,418
30,0.968,255,255,255,5.831,1.493,0.825,61.736,0.358,1.810,0.553,0.742,100,422
31,0.279,255,255,255,2.780,0.802,0.442,161.198,0.453,1.812,0.552,0.732,482,422
32,0.230,255,255,255,3.031,0.698,0.419,91.199,0.314,1.665,0.600,0.630,353,423
33,0.463,255,255,255,3.051,0.923,0.639,130.419,0.625,1.444,0.693,0.833,399,438
34,0.302,255,255,255,3.137,0.705,0.546,148.595,0.386,1.290,0.775,0.684,112,440
35,0.458,255,255,255,3.176,1.182,0.493,131.586,0.570,2.397,0.417,0.817,495,441
36,0.436,255,255,255,3.091,0.945,0.587,127.555,0.573,1.609,0.622,0.816,474,475
37,0.760,255,255,255,5.290,1.795,0.539,117.936,0.341,3.332,0.300,0.684,410,487
38,0.559,255,255,255,4.083,0.962,0.740,87.779,0.421,1.301,0.768,0.783,523,506
39,0.237,255,255,255,2.379,0.835,0.362,84.064,0.526,2.309,0.433,0.775,457,516
40,0.563,255,255,255,4.464,1.021,0.702,104.393,0.355,1.456,0.687,0.704,231,541
41,2.245,255,255,255,12.856,3.119,0.917,144.186,0.171,3.403,0.294,0.572,454,577
42,0.465,255,255,255,3.607,1.084,0.546,167.840,0.449,1.984,0.504,0.727,396,599
43,2.347,243.793,0,255,11.016,2.060,1.451,113.040,0.243,1.420,0.704,0.672,350,630
44,0.403,255,255,255,2.575,0.934,0.550,98.392,0.765,1.698,0.589,0.916,403,630
45,0.289,255,255,255,2.365,0.813,0.454,59.029,0.650,1.792,0.558,0.833,379,704
