 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.726,255.000,255,255,5.636,1.663,0.556,29.047,0.287,2.993,0.334,0.671,489,72
2,0.583,253.416,0,255,3.728,1.354,0.548,50.067,0.527,2.470,0.405,0.826,169,77
3,0.228,255.000,255,255,2.350,0.635,0.457,58.461,0.519,1.388,0.720,0.720,178,84
4,0.373,247.573,0,255,2.935,0.856,0.554,161.103,0.544,1.546,0.647,0.797,396,85
5,1.194,255.000,255,255,8.236,1.434,1.061,134.859,0.221,1.352,0.740,0.585,329,88
6,0.344,255.000,255,255,2.545,0.880,0.497,47.414,0.667,1.770,0.565,0.798,383,99
7,0.622,255.000,255,255,3.446,1.148,0.690,5.324,0.659,1.663,0.601,0.890,473,102
8,0.213,255.000,255,255,2.224,0.899,0.302,179.676,0.542,2.973,0.336,0.792,251,112
9,0.972,255.000,255,255,7.184,2.113,0.585,177.299,0.237,3.609,0.277,0.534,277,123
10,0.669,253.622,0,255,6.228,1.425,0.598,143.009,0.217,2.381,0.420,0.621,622,130
11,0.215,255.000,255,255,2.014,0.667,0.411,168.854,0.667,1.625,0.615,0.812,437,132
12,1.241,253.513,0,255,8.431,1.440,1.097,145.643,0.219,1.312,0.762,0.520,268,138
13,0.534,255.000,255,255,4.383,1.132,0.600,23.105,0.349,1.885,0.530,0.723,352,139
14,0.451,255.000,255,255,3.161,1.016,0.565,108.920,0.566,1.799,0.556,0.789,559,144
15,0.478,255.000,255,255,3.632,1.179,0.516,17.832,0.455,2.286,0.437,0.764,541,170
16,0.280,253.355,0,255,2.705,0.835,0.428,107.359,0.482,1.951,0.513,0.762,576,171
17,1.869,241.670,0,255,7.694,2.101,1.133,131.018,0.397,1.855,0.539,0.765,199,172
18,0.568,255.000,255,255,6.738,0.929,0.779,48.452,0.157,1.192,0.839,0.482,603,187
19,0.203,255.000,255,255,1.954,0.568,0.454,111.755,0.667,1.253,0.798,0.800,491,188
20,1.795,251.915,0,255,11.713,2.126,1.075,12.613,0.164,1.979,0.505,0.549,668,191
21,0.407,252.733,0,255,3.406,1.020,0.508,74.087,0.441,2.008,0.498,0.705,413,192
22,0.344,255.000,255,255,2.500,0.798,0.548,50.710,0.691,1.457,0.687,0.852,265,197
23,0.505,255.000,255,255,4.574,1.684,0.382,111.604,0.303,4.413,0.227,0.724,744,199
24,0.295,253.436,0,255,2.174,0.706,0.532,179.761,0.784,1.329,0.753,0.896,349,201
