 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.324,255.000,255,255,2.118,0.667,0.618,92.529,0.907,1.079,0.927,0.962,649,0
2,2.370,255.000,255,255,10.338,3.426,0.881,88.217,0.279,3.890,0.257,0.666,686,0
3,0.280,255.000,255,255,2.726,1.040,0.343,130.882,0.474,3.026,0.330,0.697,812,21
4,0.678,255.000,255,255,3.116,1.078,0.801,134.571,0.878,1.345,0.743,0.929,548,39
5,0.507,255.000,255,255,2.720,0.907,0.711,73.640,0.861,1.275,0.785,0.932,653,46
6,0.326,253.583,0,255,2.174,0.720,0.576,3.476,0.866,1.251,0.800,0.914,764,58
7,0.783,255.000,255,255,3.456,1.332,0.749,151.925,0.824,1.779,0.562,0.942,624,71
8,0.315,255.000,255,255,2.330,0.763,0.525,68.514,0.729,1.452,0.689,0.879,371,72
9,0.606,255.000,255,255,3.827,1.265,0.610,60.336,0.520,2.074,0.482,0.752,653,91
10,0.492,255.000,255,255,2.610,0.981,0.639,171.219,0.908,1.537,0.651,0.949,692,97
11,0.204,255.000,255,255,1.678,0.590,0.441,73.685,0.912,1.336,0.749,0.900,617,100
12,0.270,255.000,255,255,1.969,0.652,0.526,75.687,0.874,1.239,0.807,0.903,788,111
13,0.458,255.000,255,255,2.635,0.975,0.598,2.615,0.829,1.630,0.614,0.913,667,115
14,0.487,255.000,255,255,2.645,0.916,0.677,86.625,0.874,1.354,0.739,0.924,738,116
15,0.498,255.000,255,255,2.660,0.932,0.680,78.644,0.884,1.371,0.730,0.943,846,119
16,2.927,255.000,255,255,12.858,3.242,1.150,108.810,0.223,2.820,0.355,0.631,698,120
17,0.326,255.000,255,255,2.209,0.800,0.518,69.453,0.838,1.544,0.648,0.918,806,139
18,0.233,255.000,255,255,2.184,0.684,0.434,86.124,0.615,1.575,0.635,0.801,524,151
19,0.881,255.000,255,255,3.622,1.331,0.843,51.216,0.844,1.579,0.633,0.939,180,154
20,0.807,255.000,255,255,3.867,1.381,0.744,99.214,0.678,1.856,0.539,0.867,39,160
21,0.324,255.000,255,255,2.294,0.692,0.596,20.895,0.773,1.160,0.862,0.891,740,170
22,0.849,255.000,255,255,4.228,1.726,0.626,70.545,0.597,2.758,0.363,0.841,688,175
23,1.033,255.000,255,255,4.118,1.569,0.839,155.304,0.766,1.871,0.535,0.930,832,181
24,1.093,255.000,255,255,4.709,1.645,0.846,84.953,0.619,1.944,0.514,0.847,756,187
25,0.664,255.000,255,255,3.021,1.041,0.812,154.022,0.915,1.281,0.781,0.950,139,193
26,0.601,255.000,255,255,2.981,1.074,0.712,43.183,0.849,1.508,0.663,0.917,50,217
27,2.088,254.779,0,255,9.178,3.350,0.793,65.467,0.311,4.223,0.237,0.642,738,217
28,0.485,255.000,255,255,2.645,0.925,0.667,99.920,0.871,1.387,0.721,0.932,671,229
29,0.499,255.000,255,255,3.817,1.449,0.439,70.712,0.431,3.301,0.303,0.735,747,240
30,0.948,255.000,255,255,3.898,1.371,0.880,123.642,0.784,1.557,0.642,0.905,160,252
31,3.007,255.000,255,255,17.378,2.178,1.758,120.256,0.125,1.239,0.807,0.402,786,263
32,0.718,255.000,255,255,3.606,1.425,0.642,89.425,0.694,2.219,0.451,0.911,817,264
33,0.212,255.000,255,255,2.104,0.821,0.328,153.620,0.601,2.499,0.400,0.807,676,268
34,0.423,255.000,255,255,2.935,1.091,0.494,25.335,0.617,2.210,0.453,0.843,531,275
35,0.340,255.000,255,255,2.174,0.738,0.587,40.820,0.904,1.259,0.794,0.924,456,276
36,0.441,255.000,255,255,2.790,0.928,0.606,129.949,0.713,1.533,0.652,0.847,411,285
37,1.409,255.000,255,255,5.481,1.481,1.212,66.824,0.590,1.222,0.819,0.831,106,290
38,0.289,255.000,255,255,2.450,0.893,0.413,141.198,0.606,2.162,0.463,0.779,657,290
39,0.669,255.000,255,255,3.191,1.051,0.811,3.617,0.826,1.295,0.772,0.910,484,303
40,0.496,255.000,255,255,2.935,1.192,0.529,29.098,0.723,2.253,0.444,0.912,560,307
41,0.405,255.000,255,255,2.404,0.868,0.594,153.761,0.881,1.462,0.684,0.928,402,315
42,0.662,255.000,255,255,4.684,1.395,0.604,131.192,0.379,2.308,0.433,0.667,710,316
43,3.647,255.000,255,255,21.063,3.632,1.279,167.348,0.103,2.841,0.352,0.410,737,322
44,0.754,255.000,255,255,3.637,1.316,0.730,3.956,0.717,1.803,0.555,0.889,447,323
45,0.244,255.000,255,255,1.969,0.744,0.418,29.464,0.792,1.782,0.561,0.906,521,333
46,0.631,255.000,255,255,3.116,1.083,0.742,50.621,0.817,1.460,0.685,0.921,185,334
47,0.456,255.000,255,255,2.915,1.128,0.514,72.538,0.674,2.193,0.456,0.916,667,339
48,1.149,255.000,255,255,4.359,1.637,0.894,61.016,0.760,1.831,0.546,0.918,324,341
49,1.136,255.000,255,255,6.136,2.144,0.675,90.350,0.379,3.178,0.315,0.755,627,342
50,0.512,255.000,255,255,2.655,0.884,0.738,134.225,0.913,1.198,0.835,0.931,108,353
51,0.387,255.000,255,255,2.379,0.792,0.622,104.090,0.859,1.273,0.786,0.926,843,357
52,0.251,255.000,255,255,1.994,0.753,0.425,63.288,0.795,1.769,0.565,0.894,691,367
53,3.273,255.000,255,255,14.337,3.272,1.274,43.800,0.200,2.569,0.389,0.498,714,372
54,0.501,255.000,255,255,2.649,0.876,0.729,174.591,0.897,1.202,0.832,0.944,520,381
55,2.265,255.000,255,255,11.279,1.938,1.488,97.152,0.224,1.302,0.768,0.571,756,387
56,0.991,255.000,255,255,4.499,1.871,0.675,39.886,0.615,2.774,0.361,0.849,821,390
57,0.682,255.000,255,255,3.226,1.104,0.787,18.588,0.824,1.404,0.712,0.908,168,397
58,1.905,255.000,255,255,8.219,2.796,0.868,165.765,0.354,3.222,0.310,0.710,195,398
59,0.387,255.000,255,255,2.294,0.738,0.668,11.735,0.924,1.106,0.904,0.926,687,402
60,0.749,255.000,255,255,3.481,1.297,0.735,77.117,0.777,1.764,0.567,0.906,552,413
61,0.794,255.000,255,255,6.632,2.379,0.425,96.321,0.227,5.595,0.179,0.607,223,433
62,0.517,255.000,255,255,3.226,1.115,0.591,67.431,0.625,1.886,0.530,0.846,718,434
63,0.767,255.000,255,255,3.913,1.333,0.733,93.195,0.630,1.818,0.550,0.836,281,437
64,0.733,255.000,255,255,3.176,1.081,0.863,155.240,0.913,1.252,0.799,0.941,43,439
65,2.323,255.000,255,255,10.555,3.802,0.778,28.781,0.262,4.887,0.205,0.603,533,442
66,1.350,255.000,255,255,6.958,2.106,0.816,64.178,0.350,2.582,0.387,0.696,830,442
67,1.190,255.000,255,255,4.879,1.895,0.800,58.652,0.628,2.370,0.422,0.848,377,449
68,0.557,255.000,255,255,2.911,1.100,0.645,46.772,0.827,1.705,0.586,0.922,195,455
69,1.078,255.000,255,255,5.886,2.212,0.621,40.757,0.391,3.564,0.281,0.689,770,456
70,0.365,255.000,255,255,2.269,0.774,0.601,1.494,0.892,1.289,0.776,0.940,863,459
71,1.460,255.000,255,255,6.692,2.237,0.831,172.206,0.410,2.692,0.372,0.708,657,464
72,0.664,255.000,255,255,3.311,1.269,0.666,68.533,0.761,1.904,0.525,0.933,791,465
73,0.206,255.000,255,255,1.703,0.609,0.431,111.904,0.893,1.412,0.708,0.919,17,477
74,0.237,255.000,255,255,1.823,0.618,0.488,81.172,0.896,1.265,0.791,0.900,425,483
75,0.418,255.000,255,255,2.560,0.935,0.569,156.881,0.801,1.643,0.609,0.904,713,489
76,0.718,255.000,255,255,3.151,1.033,0.885,32.026,0.909,1.167,0.857,0.945,136,490
77,0.715,255.000,255,255,3.977,1.425,0.639,15.724,0.568,2.232,0.448,0.824,296,490
78,0.982,255.000,255,255,5.110,1.783,0.702,157.985,0.473,2.541,0.394,0.755,767,495
79,0.237,255.000,255,255,1.848,0.698,0.433,168.598,0.872,1.612,0.620,0.910,315,497
80,0.659,255.000,255,255,3.106,1.160,0.723,68.727,0.858,1.604,0.624,0.944,399,497
81,1.370,255.000,255,255,6.641,2.086,0.836,107.398,0.390,2.495,0.401,0.745,213,500
82,0.327,255.000,255,255,2.199,0.806,0.517,55.418,0.851,1.558,0.642,0.912,114,502
83,0.465,255.000,255,255,2.550,0.920,0.643,40.583,0.899,1.430,0.699,0.933,610,508
84,0.483,255.000,255,255,2.691,1.055,0.583,47.875,0.839,1.809,0.553,0.924,547,510
85,0.691,255.000,255,255,4.433,1.312,0.671,30.701,0.442,1.955,0.512,0.697,712,510
86,3.132,255.000,255,255,16.453,2.528,1.577,44.429,0.145,1.603,0.624,0.467,733,512
87,0.498,255.000,255,255,2.850,1.070,0.592,40.016,0.770,1.808,0.553,0.894,374,514
88,5.263,255.000,255,255,23.743,4.505,1.487,43.261,0.117,3.029,0.330,0.369,330,515
89,0.693,255.000,255,255,4.313,1.271,0.694,88.021,0.468,1.831,0.546,0.724,271,517
90,0.492,255.000,255,255,2.801,1.017,0.616,138.007,0.788,1.651,0.606,0.892,654,517
91,1.002,255.000,255,255,4.468,1.332,0.958,35.544,0.631,1.390,0.719,0.862,837,525
92,0.512,255.000,255,255,3.137,1.133,0.576,50.708,0.654,1.968,0.508,0.868,780,529
93,0.498,255.000,255,255,2.610,0.848,0.747,85.072,0.918,1.135,0.881,0.937,406,543
94,0.476,255.000,255,255,3.346,1.236,0.490,121.610,0.534,2.522,0.397,0.766,330,544
95,0.979,255.000,255,255,5.365,1.695,0.735,23.512,0.427,2.304,0.434,0.709,662,544
96,0.396,255.000,255,255,2.359,0.766,0.658,34.991,0.895,1.164,0.859,0.940,167,547
97,0.709,255.000,255,255,4.763,1.151,0.785,150.456,0.393,1.466,0.682,0.672,786,555
98,0.841,255.000,255,255,3.892,1.478,0.725,81.237,0.698,2.039,0.490,0.880,215,567
99,1.760,255.000,255,255,8.099,2.169,1.033,139.111,0.337,2.099,0.476,0.609,332,573
100,1.478,255.000,255,255,7.761,2.190,0.859,169.684,0.308,2.548,0.392,0.646,433,573
101,0.338,255.000,255,255,2.379,0.987,0.436,117.379,0.751,2.262,0.442,0.903,627,574
102,0.872,255.000,255,255,4.058,1.371,0.810,128.092,0.666,1.692,0.591,0.817,666,580
103,0.586,255.000,255,255,3.241,1.229,0.607,85.710,0.702,2.023,0.494,0.866,802,580
104,1.440,255.000,255,255,6.286,1.512,1.212,133.658,0.458,1.248,0.802,0.773,601,581
105,1.388,255.000,255,255,6.506,1.583,1.116,85.797,0.412,1.417,0.705,0.749,709,581
106,0.335,255.000,255,255,2.129,0.745,0.572,88.092,0.928,1.302,0.768,0.949,409,582
107,0.299,255.000,255,255,2.099,0.756,0.503,132.710,0.851,1.504,0.665,0.904,737,584
108,1.098,255.000,255,255,5.284,1.725,0.810,42.971,0.494,2.129,0.470,0.784,523,586
109,0.431,255.000,255,255,2.680,1.048,0.523,124.686,0.753,2.004,0.499,0.903,178,596
110,0.640,255.000,255,255,3.867,1.380,0.591,150.019,0.538,2.336,0.428,0.788,319,597
111,0.282,255.000,255,255,2.239,0.907,0.396,87.235,0.708,2.287,0.437,0.884,638,597
112,0.624,255.000,255,255,2.925,0.961,0.827,74.566,0.917,1.161,0.861,0.944,62,599
113,0.588,255.000,255,255,3.137,1.207,0.620,36.212,0.751,1.946,0.514,0.914,399,604
114,0.221,255.000,255,255,1.763,0.664,0.423,13.344,0.892,1.569,0.637,0.924,762,608
115,0.517,255.000,255,255,3.091,1.089,0.605,25.455,0.681,1.799,0.556,0.846,661,609
116,0.387,255.000,255,255,2.956,0.749,0.659,2.854,0.557,1.137,0.880,0.751,729,613
117,0.309,255.000,255,255,2.029,0.662,0.595,124.860,0.944,1.113,0.899,0.924,446,615
118,3.271,240.191,0,255,12.007,3.758,1.108,171.260,0.285,3.391,0.295,0.634,565,619
119,0.342,255.000,255,255,2.224,0.802,0.543,95.493,0.869,1.478,0.676,0.915,624,620
120,0.367,255.000,255,255,2.234,0.741,0.631,53.063,0.925,1.175,0.851,0.935,804,620
121,0.251,245.827,0,255,2.429,0.831,0.385,8.302,0.535,2.158,0.463,0.772,882,621
122,2.026,255.000,255,255,9.626,2.212,1.166,22.205,0.275,1.897,0.527,0.710,419,627
123,0.595,255.000,255,255,2.971,1.062,0.713,139.181,0.848,1.489,0.672,0.925,459,634
124,0.246,255.000,255,255,1.848,0.682,0.459,171.675,0.905,1.486,0.673,0.922,750,636
125,0.364,255.000,255,255,2.224,0.738,0.628,4.541,0.924,1.176,0.851,0.933,310,637
126,0.995,255.000,255,255,4.784,1.782,0.711,127.568,0.546,2.508,0.399,0.780,691,638
127,1.475,255.000,255,255,7.474,2.240,0.838,57.100,0.332,2.672,0.374,0.697,367,641
128,0.335,255.000,255,255,2.149,0.715,0.596,137.804,0.911,1.199,0.834,0.918,511,644
129,0.574,255.000,255,255,2.950,1.121,0.652,173.241,0.828,1.720,0.582,0.931,791,646
130,0.563,255.000,255,255,3.467,1.176,0.609,106.639,0.588,1.930,0.518,0.836,626,647
131,0.277,255.000,255,255,2.019,0.778,0.453,175.178,0.854,1.716,0.583,0.916,725,650
132,0.219,255.000,255,255,1.728,0.634,0.439,15.537,0.921,1.443,0.693,0.924,539,652
133,0.760,255.000,255,255,3.406,1.265,0.765,151.221,0.823,1.654,0.604,0.921,444,658
134,0.724,255.000,255,255,3.883,1.074,0.858,18.844,0.603,1.251,0.799,0.811,136,659
135,1.091,255.000,255,255,4.829,1.471,0.944,172.146,0.588,1.558,0.642,0.845,530,667
136,0.528,255.000,255,255,3.106,1.147,0.586,89.059,0.688,1.956,0.511,0.886,322,686
137,0.774,255.000,255,255,3.803,1.448,0.681,26.487,0.673,2.128,0.470,0.873,423,687
138,0.425,255.000,255,255,3.201,1.292,0.419,49.363,0.521,3.084,0.324,0.798,253,690
139,0.313,255.000,255,255,2.224,0.777,0.513,79.362,0.795,1.515,0.660,0.880,553,704
140,1.111,255.000,255,255,4.323,1.565,0.904,71.034,0.747,1.731,0.578,0.893,511,708
141,1.037,255.000,255,255,4.153,1.677,0.787,38.945,0.755,2.131,0.469,0.931,422,721
142,0.554,255.000,255,255,2.805,0.958,0.736,17.367,0.884,1.302,0.768,0.943,449,724
143,0.561,255.000,255,255,3.307,1.258,0.568,52.258,0.645,2.217,0.451,0.873,495,765
144,0.438,255.000,255,255,2.425,0.801,0.696,74.612,0.936,1.151,0.869,0.933,640,788
145,0.512,255.000,255,255,2.815,0.988,0.660,87.304,0.812,1.496,0.668,0.916,404,805
146,0.375,255.000,255,255,2.575,0.879,0.543,87.092,0.710,1.619,0.617,0.898,542,841
