 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,2.538,255.000,255,255,11.925,2.231,1.449,25.943,0.224,1.540,0.650,0.487,388,56
2,1.891,255.000,255,255,9.823,3.237,0.744,156.924,0.246,4.353,0.230,0.661,277,58
3,0.782,255.000,255,255,4.473,1.931,0.515,69.412,0.491,3.746,0.267,0.785,261,64
4,11.918,253.335,0,255,56.002,8.766,1.731,167.849,0.048,5.065,0.197,0.295,503,65
5,0.233,255.000,255,255,1.763,0.594,0.500,54.413,0.943,1.188,0.842,0.921,244,75
6,0.537,255.000,255,255,3.367,1.419,0.482,54.002,0.596,2.945,0.340,0.892,364,80
7,0.261,255.000,255,255,1.958,0.780,0.425,178.828,0.854,1.834,0.545,0.935,545,81
8,0.673,255.000,255,255,4.448,1.763,0.486,103.674,0.428,3.625,0.276,0.761,274,85
9,0.472,255.000,255,255,2.776,0.873,0.688,125.908,0.770,1.269,0.788,0.888,721,95
10,1.851,255.000,255,255,8.591,1.925,1.224,81.911,0.315,1.572,0.636,0.582,238,107
11,0.729,255.000,255,255,4.462,1.763,0.527,157.893,0.460,3.348,0.299,0.743,323,110
12,0.801,255.000,255,255,5.705,2.113,0.483,15.405,0.309,4.374,0.229,0.627,414,117
13,0.650,255.000,255,255,4.278,1.679,0.493,106.017,0.446,3.407,0.293,0.730,263,118
14,0.809,255.000,255,255,4.313,1.639,0.628,55.768,0.546,2.609,0.383,0.803,319,129
15,6.182,255.000,255,255,31.110,3.635,2.165,27.831,0.080,1.679,0.596,0.401,844,131
16,1.665,255.000,255,255,10.848,2.555,0.829,77.446,0.178,3.081,0.325,0.436,361,142
17,5.308,255.000,255,255,28.081,3.299,2.048,96.216,0.085,1.611,0.621,0.390,428,142
18,0.526,255.000,255,255,3.151,0.969,0.692,38.290,0.666,1.401,0.714,0.855,577,154
19,1.532,255.000,255,255,8.464,1.884,1.036,22.900,0.269,1.819,0.550,0.535,524,156
20,0.517,255.000,255,255,3.176,1.149,0.573,147.991,0.645,2.004,0.499,0.817,291,164
21,3.211,255.000,255,255,17.447,3.245,1.260,97.283,0.133,2.576,0.388,0.382,649,170
22,0.650,255.000,255,255,3.552,1.310,0.631,18.395,0.647,2.074,0.482,0.852,247,177
23,1.999,255.000,255,255,11.715,2.276,1.118,109.302,0.183,2.035,0.491,0.460,676,182
24,0.443,255.000,255,255,2.855,0.949,0.595,142.867,0.684,1.595,0.627,0.833,204,184
25,2.220,236.711,0,255,7.724,2.006,1.409,56.981,0.468,1.423,0.703,0.775,310,188
26,1.534,255.000,255,255,10.118,2.663,0.734,62.750,0.188,3.630,0.275,0.502,268,190
27,0.259,255.000,255,255,2.996,1.133,0.291,145.483,0.362,3.896,0.257,0.644,581,194
28,0.201,255.000,255,255,1.693,0.624,0.410,10.944,0.881,1.522,0.657,0.925,730,194
29,0.389,255.000,255,255,2.330,0.856,0.578,34.830,0.901,1.481,0.675,0.933,110,197
30,8.498,242.785,0,255,38.186,6.515,1.661,56.114,0.073,3.923,0.255,0.386,513,203
31,1.393,255.000,255,255,10.501,2.917,0.608,55.177,0.159,4.795,0.209,0.446,221,206
32,2.276,255.000,255,255,10.649,2.115,1.370,49.976,0.252,1.543,0.648,0.633,193,207
33,1.610,255.000,255,255,8.661,2.981,0.688,65.082,0.270,4.335,0.231,0.576,700,208
34,0.299,255.000,255,255,2.064,0.741,0.513,134.884,0.880,1.444,0.692,0.917,634,212
35,0.309,255.000,255,255,2.525,1.060,0.372,119.674,0.610,2.851,0.351,0.879,654,216
36,0.803,255.000,255,255,4.919,1.196,0.855,73.186,0.417,1.399,0.715,0.720,381,219
37,0.579,255.000,255,255,3.166,1.154,0.639,13.456,0.726,1.805,0.554,0.871,584,224
38,2.994,255.000,255,255,13.833,3.406,1.119,128.126,0.197,3.043,0.329,0.443,760,224
39,3.448,255.000,255,255,15.731,2.797,1.570,105.851,0.175,1.782,0.561,0.409,327,243
40,2.157,255.000,255,255,10.773,2.435,1.128,105.264,0.234,2.160,0.463,0.580,119,256
41,0.512,255.000,255,255,3.201,1.177,0.554,161.550,0.628,2.124,0.471,0.798,546,256
42,0.796,255.000,255,255,4.514,1.874,0.541,143.775,0.491,3.464,0.289,0.843,361,258
43,0.666,255.000,255,255,3.817,1.320,0.642,154.254,0.574,2.055,0.487,0.825,587,260
44,0.789,255.000,255,255,4.344,1.596,0.629,65.177,0.525,2.537,0.394,0.786,222,265
45,0.975,255.000,255,255,5.906,2.174,0.571,111.722,0.351,3.807,0.263,0.701,574,275
46,1.435,255.000,255,255,7.755,3.082,0.593,61.441,0.300,5.198,0.192,0.656,666,288
47,2.175,255.000,255,255,9.989,2.823,0.981,50.075,0.274,2.877,0.348,0.517,709,290
48,0.342,255.000,255,255,2.685,1.120,0.389,163.345,0.596,2.880,0.347,0.857,232,296
49,0.666,254.307,0,255,5.164,2.171,0.390,66.445,0.314,5.562,0.180,0.640,419,299
50,1.545,254.701,0,255,9.578,2.564,0.767,19.851,0.212,3.341,0.299,0.554,543,300
51,0.327,255.000,255,255,2.274,0.879,0.474,87.170,0.796,1.854,0.539,0.935,214,304
52,0.434,255.000,255,255,3.336,1.356,0.408,165.061,0.490,3.327,0.301,0.828,619,304
53,0.528,255.000,255,255,3.170,1.285,0.523,14.321,0.661,2.456,0.407,0.890,162,314
54,0.791,255.000,255,255,4.548,1.270,0.793,128.688,0.480,1.603,0.624,0.739,364,314
55,0.720,255.000,255,255,4.172,1.212,0.757,138.934,0.520,1.602,0.624,0.747,562,323
56,1.286,255.000,255,255,6.081,1.720,0.952,105.159,0.437,1.807,0.553,0.712,688,328
57,2.960,255.000,255,255,17.192,4.261,0.885,69.773,0.126,4.817,0.208,0.314,208,329
58,0.206,255.000,255,255,1.643,0.532,0.494,153.165,0.960,1.078,0.928,0.934,358,331
59,0.224,255.000,255,255,1.788,0.659,0.433,49.292,0.882,1.521,0.657,0.919,108,332
60,0.382,255.000,255,255,2.294,0.797,0.610,29.672,0.911,1.307,0.765,0.925,724,333
61,3.287,255.000,255,255,16.308,3.989,1.049,63.519,0.155,3.801,0.263,0.445,166,335
62,0.275,255.000,255,255,1.994,0.701,0.499,62.415,0.869,1.405,0.712,0.913,314,338
63,1.692,255.000,255,255,7.608,3.313,0.650,75.146,0.367,5.095,0.196,0.728,264,339
64,0.709,255.000,255,255,4.286,1.954,0.462,88.052,0.485,4.226,0.237,0.869,382,348
65,2.547,255.000,255,255,11.580,1.840,1.763,160.512,0.239,1.043,0.958,0.522,550,350
66,0.228,255.000,255,255,2.093,0.886,0.327,97.908,0.654,2.707,0.369,0.903,507,351
67,1.777,255.000,255,255,9.068,3.875,0.584,95.100,0.271,6.639,0.151,0.701,442,354
68,3.704,255.000,255,255,19.849,2.883,1.636,114.612,0.118,1.762,0.567,0.329,353,368
69,6.211,255.000,255,255,28.311,4.486,1.763,48.503,0.097,2.544,0.393,0.587,691,374
70,0.839,255.000,255,255,6.541,1.974,0.541,94.590,0.247,3.645,0.274,0.542,215,376
71,0.443,255.000,255,255,2.599,0.963,0.586,94.291,0.824,1.643,0.608,0.932,170,383
72,0.429,255.000,255,255,3.155,1.360,0.401,73.200,0.541,3.387,0.295,0.856,369,398
73,1.415,255.000,255,255,7.838,3.488,0.516,71.105,0.289,6.753,0.148,0.711,543,408
74,0.519,255.000,255,255,3.732,1.576,0.420,62.214,0.468,3.755,0.266,0.802,563,419
75,6.864,237.122,0,255,26.847,3.656,2.391,5.706,0.120,1.529,0.654,0.515,261,427
76,0.507,255.000,255,255,2.990,1.267,0.509,85.883,0.712,2.489,0.402,0.929,315,428
77,0.753,255.000,255,255,4.664,1.778,0.539,73.040,0.435,3.298,0.303,0.753,378,430
78,0.771,255.000,255,255,5.168,2.038,0.481,88.751,0.363,4.234,0.236,0.763,139,463
79,0.313,255.000,255,255,2.489,1.028,0.387,67.783,0.635,2.654,0.377,0.880,330,464
80,0.299,255.000,255,255,2.840,0.895,0.425,103.404,0.465,2.109,0.474,0.752,32,468
81,0.309,255.000,255,255,2.259,0.870,0.453,100.147,0.762,1.923,0.520,0.914,542,478
82,0.409,255.000,255,255,2.585,0.998,0.522,28.424,0.769,1.912,0.523,0.904,371,483
83,6.609,239.364,0,255,25.509,5.948,1.415,71.176,0.128,4.204,0.238,0.395,500,483
84,0.865,255.000,255,255,4.724,1.883,0.585,161.110,0.487,3.219,0.311,0.816,63,487
85,5.734,255.000,255,255,26.239,4.461,1.637,62.661,0.105,2.726,0.367,0.456,590,490
86,0.830,255.000,255,255,6.257,1.502,0.704,81.525,0.267,2.133,0.469,0.587,455,498
87,1.332,255.000,255,255,7.004,1.615,1.050,65.294,0.341,1.539,0.650,0.791,369,501
88,0.204,255.000,255,255,2.114,0.825,0.316,64.646,0.575,2.615,0.382,0.790,354,502
89,1.610,255.000,255,255,8.765,2.728,0.751,76.536,0.263,3.631,0.275,0.617,491,502
90,0.659,255.000,255,255,3.101,1.120,0.748,53.659,0.860,1.497,0.668,0.936,160,515
91,0.997,255.000,255,255,5.935,2.579,0.492,104.410,0.356,5.240,0.191,0.735,194,519
