 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,96,4.549,0,0,4.549
2,4,2,2,6,241,3.185,2,0,9.196
3,1,0,2,0,63,3.357,0,0,3.357
4,3,1,3,1,122,2.025,1,0,3.758
5,6,3,3,5,115,1.019,3,0,2.016
6,5,2,4,2,62,0.704,2,0,1.278
7,7,3,5,5,198,1.475,3,0,4.154
8,1,0,2,0,4,0.283,0,0,0.283
9,1,0,2,0,3,0.223,0,0,0.223
10,1,0,2,0,17,0.836,0,0,0.836
11,7,3,5,5,158,1.153,3,0,3.705
12,1,0,2,0,15,0.839,0,0,0.839
13,1,0,2,0,28,1.586,0,0,1.586
14,1,0,2,0,29,1.505,0,0,1.505
15,4,1,4,4,73,1.018,0,1,1.528
16,1,0,2,0,44,2.319,0,0,2.319
17,1,0,2,0,25,1.247,0,0,1.247
18,1,0,2,0,20,1.017,0,0,1.017
19,3,1,3,1,72,1.292,1,0,1.738
20,3,1,3,1,51,0.930,1,0,1.257
21,1,0,2,0,69,3.259,0,0,3.259
22,4,2,3,7,48,0.702,1,0,1.215
23,1,0,2,0,20,1.034,0,0,1.034
24,1,0,2,0,0,0.060,0,0,0.060
25,1,0,2,0,38,1.888,0,0,1.888
26,3,1,3,3,53,0.957,1,0,1.675
27,1,0,2,0,16,0.882,0,0,0.882
28,2,1,1,1,21,0.582,1,0,0.609
29,1,0,2,0,0,0.060,0,0,0.060
30,4,2,2,2,53,0.703,2,0,1.350
31,5,2,4,6,63,0.690,2,0,1.094
32,3,1,3,1,20,0.405,1,0,0.992
33,8,4,4,6,149,0.980,4,0,1.300
34,10,5,5,11,261,1.351,5,0,3.226
35,22,11,11,19,548,1.311,11,0,3.131
36,3,1,3,3,65,1.151,1,0,2.132
37,1,0,2,0,8,0.471,0,0,0.471
38,3,1,3,3,27,0.501,1,0,0.709
39,3,1,3,3,56,0.924,1,0,1.304
40,3,1,3,1,134,2.125,1,0,4.071
41,1,0,2,0,5,0.273,0,0,0.273
42,3,1,3,1,49,0.878,1,0,2.004
43,1,0,2,0,3,0.205,0,0,0.205
44,1,0,2,0,57,2.749,0,0,2.749
45,1,0,2,0,28,1.357,0,0,1.357
46,1,0,2,0,22,1.154,0,0,1.154
47,5,2,4,6,106,1.169,2,0,2.129
48,3,1,3,1,72,1.240,1,0,2.780
49,1,0,2,0,36,1.803,0,0,1.803
50,1,0,2,0,5,0.326,0,0,0.326
51,1,0,2,0,23,1.250,0,0,1.250
52,3,1,3,1,99,1.734,1,0,2.911
53,3,1,3,3,111,1.874,1,0,3.829
54,1,0,2,0,23,1.250,0,0,1.250
55,1,0,2,0,27,1.350,0,0,1.350
56,3,1,3,3,114,1.975,1,0,3.839
57,1,0,2,0,20,1.158,0,0,1.158
58,1,0,2,0,3,0.205,0,0,0.205
59,1,0,2,0,5,0.308,0,0,0.308
60,1,0,2,0,48,2.401,0,0,2.401
61,5,2,4,4,76,0.801,2,0,1.066
62,0,0,1,0,0,0.000,0,0,0.000
63,1,0,2,0,25,1.282,0,0,1.282
64,1,0,2,0,8,0.453,0,0,0.453
65,3,1,3,3,94,1.597,1,0,2.639
66,1,0,2,0,3,0.241,0,0,0.241
67,1,0,2,0,28,1.427,0,0,1.427
68,1,0,2,0,121,6.000,0,0,6.000
69,1,0,2,0,102,5.156,0,0,5.156
70,1,0,2,0,0,0.060,0,0,0.060
71,1,0,2,0,45,2.291,0,0,2.291
72,1,0,2,0,3,0.170,0,0,0.170
73,1,0,2,0,15,0.733,0,0,0.733
74,16,8,8,18,387,1.268,8,0,3.606
75,1,0,2,0,35,1.884,0,0,1.884
76,1,0,2,0,12,0.606,0,0,0.606
77,2,1,1,3,15,0.458,1,0,0.694
78,1,0,2,0,18,0.932,0,0,0.932
79,1,0,2,0,1,0.120,0,0,0.120
80,1,0,2,0,61,2.884,0,0,2.884
81,1,0,2,0,0,0.043,0,0,0.043
82,1,0,2,0,3,0.188,0,0,0.188
83,1,0,2,0,20,1.052,0,0,1.052
