 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,46,2.263,0,0,2.263
2,7,3,5,7,75,0.633,3,0,1.069
3,1,0,2,0,9,0.478,0,0,0.478
4,1,0,2,0,14,0.779,0,0,0.779
5,1,0,2,0,1,0.103,0,0,0.103
6,3,1,3,1,43,0.752,1,0,1.052
7,9,4,6,10,90,0.569,4,0,1.084
8,1,0,2,0,4,0.213,0,0,0.213
9,3,1,3,3,3,0.131,1,0,0.248
10,1,0,2,0,13,0.701,0,0,0.701
11,1,0,2,0,41,2.174,0,0,2.174
12,3,1,3,1,29,0.536,1,0,1.027
13,1,0,2,0,15,0.804,0,0,0.804
14,1,0,2,0,15,0.822,0,0,0.822
15,3,1,3,3,22,0.442,1,0,0.974
16,1,0,2,0,24,1.257,0,0,1.257
17,3,1,3,1,37,0.708,1,0,1.232
18,3,1,3,3,27,0.507,1,0,0.811
19,1,0,2,0,1,0.103,0,0,0.103
20,1,0,2,0,37,1.810,0,0,1.810
21,1,0,2,0,7,0.428,0,0,0.428
22,3,1,3,1,123,2.127,1,0,4.597
23,1,0,2,0,48,2.331,0,0,2.331
24,3,1,3,1,19,0.382,1,0,0.471
25,1,0,2,0,22,1.172,0,0,1.172
26,5,2,4,6,55,0.636,2,0,0.949
27,5,2,4,6,27,0.352,2,0,0.794
28,1,0,2,0,4,0.266,0,0,0.266
29,1,0,2,0,14,0.761,0,0,0.761
30,4,2,2,4,66,0.911,2,0,1.367
31,3,1,3,1,12,0.236,1,0,0.340
32,1,0,2,0,30,1.512,0,0,1.512
33,3,1,3,1,41,0.730,1,0,0.964
34,3,1,3,3,27,0.512,1,0,0.811
35,1,0,2,0,3,0.223,0,0,0.223
36,1,0,2,0,7,0.376,0,0,0.376
37,3,1,3,3,87,1.486,1,0,3.085
38,1,0,2,0,21,1.041,0,0,1.041
39,1,0,2,0,0,0.043,0,0,0.043
40,1,0,2,0,57,2.714,0,0,2.714
