 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,4,2,2,6,78,0.998,2,0,1.807
2,7,3,5,3,165,1.221,3,0,2.089
3,3,1,3,3,56,1.023,1,0,2.231
4,1,0,2,0,4,0.283,0,0,0.283
5,3,1,3,1,60,1.087,1,0,1.395
6,1,0,2,0,0,0.043,0,0,0.043
7,1,0,2,0,13,0.613,0,0,0.613
8,3,1,3,3,78,1.324,1,0,2.529
9,1,0,2,0,11,0.546,0,0,0.546
10,5,2,4,6,106,1.140,2,0,1.743
11,1,0,2,0,7,0.340,0,0,0.340
12,1,0,2,0,31,1.590,0,0,1.590
13,3,1,3,1,30,0.568,1,0,0.779
14,1,0,2,0,43,2.206,0,0,2.206
15,1,0,2,0,59,3.063,0,0,3.063
16,1,0,2,0,0,0.043,0,0,0.043
17,1,0,2,0,11,0.581,0,0,0.581
18,3,1,3,3,23,0.444,1,0,0.751
19,4,2,2,6,59,0.853,2,0,1.268
20,1,0,2,0,48,2.630,0,0,2.630
21,3,1,3,1,67,1.163,1,0,2.309
22,1,0,2,0,0,0.043,0,0,0.043
23,1,0,2,0,6,0.333,0,0,0.333
24,1,0,2,0,3,0.205,0,0,0.205
25,1,0,2,0,8,0.489,0,0,0.489
26,1,0,2,0,38,1.976,0,0,1.976
27,1,0,2,0,8,0.489,0,0,0.489
28,1,0,2,0,0,0.043,0,0,0.043
29,1,0,2,0,18,0.879,0,0,0.879
30,1,0,2,0,18,0.896,0,0,0.896
31,1,0,2,0,7,0.340,0,0,0.340
32,1,0,2,0,101,5.026,0,0,5.026
33,1,0,2,0,24,1.222,0,0,1.222
34,5,2,4,2,169,1.706,2,0,3.535
35,1,0,2,0,79,3.773,0,0,3.773
36,0,0,1,0,0,0.000,0,0,0.000
37,1,0,2,0,8,0.471,0,0,0.471
38,1,0,2,0,33,1.710,0,0,1.710
39,1,0,2,0,11,0.599,0,0,0.599
40,3,1,3,3,58,1.017,1,0,1.520
41,1,0,2,0,15,0.769,0,0,0.769
42,1,0,2,0,6,0.315,0,0,0.315
43,1,0,2,0,21,1.200,0,0,1.200
44,1,0,2,0,10,0.538,0,0,0.538
45,1,0,2,0,4,0.213,0,0,0.213
46,7,3,5,7,150,1.167,3,0,2.284
47,1,0,2,0,16,0.935,0,0,0.935
48,1,0,2,0,3,0.205,0,0,0.205
49,3,1,3,3,112,1.923,1,0,2.884
50,3,1,3,3,183,3.036,1,0,4.509
51,1,0,2,0,9,0.496,0,0,0.496
52,3,1,3,1,49,0.855,1,0,1.427
53,5,2,4,2,69,0.721,2,0,0.967
54,5,2,4,2,41,0.448,2,0,0.563
55,1,0,2,0,13,0.666,0,0,0.666
56,11,6,4,6,138,0.691,6,0,1.686
57,1,0,2,0,3,0.223,0,0,0.223
58,1,0,2,0,5,0.308,0,0,0.308
59,1,0,2,0,10,0.503,0,0,0.503
60,1,0,2,0,17,0.977,0,0,0.977
61,1,0,2,0,3,0.188,0,0,0.188
62,1,0,2,0,19,1.027,0,0,1.027
63,1,0,2,0,20,1.052,0,0,1.052
64,1,0,2,0,25,1.212,0,0,1.212
65,1,0,2,0,21,1.059,0,0,1.059
66,1,0,2,0,24,1.310,0,0,1.310
67,1,0,2,0,31,1.608,0,0,1.608
68,1,0,2,0,11,0.722,0,0,0.722
69,1,0,2,0,48,2.401,0,0,2.401
70,1,0,2,0,23,1.215,0,0,1.215
71,1,0,2,0,21,1.182,0,0,1.182
72,1,0,2,0,42,2.129,0,0,2.129
73,1,0,2,0,9,0.531,0,0,0.531
74,3,1,3,1,69,1.191,1,0,2.129
75,1,0,2,0,14,0.744,0,0,0.744
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,11,0.669,0,0,0.669
78,1,0,2,0,35,1.760,0,0,1.760
79,3,1,3,1,44,0.778,1,0,0.829
80,1,0,2,0,7,0.376,0,0,0.376
81,1,0,2,0,20,1.069,0,0,1.069
82,1,0,2,0,1,0.103,0,0,0.103
83,1,0,2,0,3,0.205,0,0,0.205
84,1,0,2,0,4,0.230,0,0,0.230
85,1,0,2,0,2,0.128,0,0,0.128
86,1,0,2,0,8,0.489,0,0,0.489
87,1,0,2,0,62,3.191,0,0,3.191
88,1,0,2,0,33,1.658,0,0,1.658
89,1,0,2,0,13,0.754,0,0,0.754
90,3,1,3,3,52,0.914,1,0,1.619
91,1,0,2,0,23,1.127,0,0,1.127
92,0,0,1,0,0,0.000,0,0,0.000
93,3,1,3,1,63,1.065,1,0,2.476
94,1,0,2,0,4,0.248,0,0,0.248
95,1,0,2,0,0,0.043,0,0,0.043
96,1,0,2,0,14,0.726,0,0,0.726
97,3,1,3,1,37,0.608,1,0,0.921
98,1,0,2,0,18,0.949,0,0,0.949
99,1,0,2,0,1,0.103,0,0,0.103
100,5,2,4,6,128,1.366,2,0,2.579
101,1,0,2,0,15,0.786,0,0,0.786
102,1,0,2,0,19,1.009,0,0,1.009
103,1,0,2,0,6,0.351,0,0,0.351
104,1,0,2,0,1,0.103,0,0,0.103
105,1,0,2,0,11,0.722,0,0,0.722
106,1,0,2,0,13,0.648,0,0,0.648
107,1,0,2,0,13,0.631,0,0,0.631
108,1,0,2,0,13,0.772,0,0,0.772
109,1,0,2,0,7,0.376,0,0,0.376
110,2,1,1,1,21,0.565,1,0,0.942
111,1,0,2,0,6,0.351,0,0,0.351
112,1,0,2,0,20,0.999,0,0,0.999
