 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,1,102,1.718,1,0,2.249
2,3,1,3,1,100,1.631,1,0,3.496
3,1,0,2,0,31,1.573,0,0,1.573
4,5,2,4,2,100,1.052,2,0,1.763
5,1,0,2,0,38,1.870,0,0,1.870
6,1,0,2,0,3,0.223,0,0,0.223
7,1,0,2,0,34,1.788,0,0,1.788
8,9,4,6,6,320,1.807,4,0,4.236
9,1,0,2,0,15,0.769,0,0,0.769
10,5,2,4,4,210,2.128,2,0,6.736
11,1,0,2,0,18,0.967,0,0,0.967
12,2,1,1,1,59,1.505,1,0,2.344
13,1,0,2,0,13,0.684,0,0,0.684
14,1,0,2,0,13,0.666,0,0,0.666
15,1,0,2,0,1,0.103,0,0,0.103
16,1,0,2,0,125,6.311,0,0,6.311
17,1,0,2,0,10,0.556,0,0,0.556
18,1,0,2,0,106,5.186,0,0,5.186
19,1,0,2,0,7,0.446,0,0,0.446
20,1,0,2,0,0,0.060,0,0,0.060
21,8,4,4,6,150,0.985,4,0,3.107
22,1,0,2,0,32,1.457,0,0,1.457
23,1,0,2,0,56,2.812,0,0,2.812
24,1,0,2,0,35,1.813,0,0,1.813
25,1,0,2,0,2,0.145,0,0,0.145
26,7,3,5,5,104,0.750,3,0,1.680
27,1,0,2,0,19,1.097,0,0,1.097
28,1,0,2,0,0,0.060,0,0,0.060
29,1,0,2,0,3,0.205,0,0,0.205
30,3,1,3,1,50,0.845,1,0,1.810
31,1,0,2,0,28,1.392,0,0,1.392
32,12,6,6,14,369,1.635,6,0,3.644
33,1,0,2,0,1,0.103,0,0,0.103
34,1,0,2,0,2,0.128,0,0,0.128
35,1,0,2,0,53,2.526,0,0,2.526
36,3,1,3,1,40,0.715,1,0,0.846
37,3,1,3,3,92,1.499,1,0,2.150
38,3,1,3,3,151,2.623,1,0,4.413
39,1,0,2,0,1,0.103,0,0,0.103
40,3,1,3,3,71,1.201,1,0,2.356
41,6,3,3,5,177,1.529,3,0,3.821
42,1,0,2,0,3,0.188,0,0,0.188
43,1,0,2,0,103,5.146,0,0,5.146
44,1,0,2,0,5,0.326,0,0,0.326
45,1,0,2,0,58,2.774,0,0,2.774
46,5,2,4,4,120,1.299,2,0,2.915
47,1,0,2,0,8,0.506,0,0,0.506
48,1,0,2,0,52,2.624,0,0,2.624
49,1,0,2,0,7,0.446,0,0,0.446
50,1,0,2,0,3,0.205,0,0,0.205
51,1,0,2,0,1,0.085,0,0,0.085
52,1,0,2,0,4,0.266,0,0,0.266
53,5,2,4,2,91,0.922,2,0,1.573
54,11,5,7,13,233,1.107,5,0,2.596
55,1,0,2,0,0,0.060,0,0,0.060
56,3,1,3,1,87,1.470,1,0,3.323
57,1,0,2,0,13,0.754,0,0,0.754
58,3,1,3,1,97,1.682,1,0,3.018
59,5,2,4,4,130,1.313,2,0,2.742
60,1,0,2,0,11,0.528,0,0,0.528
61,3,1,3,1,100,1.760,1,0,2.076
62,1,0,2,0,5,0.326,0,0,0.326
63,1,0,2,0,63,2.934,0,0,2.934
64,3,1,3,1,41,0.700,1,0,1.314
65,1,0,2,0,10,0.609,0,0,0.609
