Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,0.673,7.244,1.533,0.135,-1.000,27.274,29.082,2.835,4.204,0,2.000,28.037,3.543,0.856,28.037,3.543,0.856,1.281,1.085,0.305,-43.547,50.817,-104.273,1.181,4.195,3.553,28.447,3.177,0.000,0.130
2,304.813,2223.535,360.760,9.558E-4,-505.000,8.456,35.925,5.181,43.795,0,4.800,20.458,24.555,2.376,20.458,24.555,2.376,26.166,12.091,2.718,-71.705,0.388,179.044,2.164,9.627,4.449,32.846,10.216,0.000,0.277
3,1.195,11.353,1.706,0.110,3.000,23.657,25.759,6.452,8.358,0,2.400,24.639,7.282,1.437,24.639,7.282,1.437,1.485,1.326,0.318,-38.592,-29.039,76.724,1.120,4.676,4.175,25.123,6.647,0.000,0.114
4,0.145,1.663,0.439,0.519,1.000,24.781,25.221,9.042,9.482,0,1.600,24.977,9.269,0.895,24.977,9.269,0.895,1.031,0.283,0.223,-8.869,-85.846,141.691,3.648,4.616,1.265,24.928,9.238,0.400,0.130
5,0.769,8.272,2.580,0.118,1.500,41.449,42.670,9.580,12.659,0,2.000,42.238,11.389,0.665,42.238,11.389,0.665,1.934,0.936,0.512,-88.250,15.303,112.215,2.066,3.782,1.830,42.035,9.971,0.000,0.130
6,4.198,35.547,7.979,0.044,-6.500,35.388,40.080,9.824,13.197,0,3.200,38.067,11.428,1.445,38.067,11.428,1.445,2.760,1.759,0.994,22.955,5.177,-81.962,1.569,2.778,1.770,37.538,11.046,0.800,0.147
7,116.985,781.010,109.229,0.003,-129.500,27.030,40.080,10.167,38.027,0,4.800,35.111,24.405,2.285,35.111,24.405,2.285,17.499,5.043,2.607,-82.576,-0.413,174.740,3.470,6.713,1.935,37.880,23.706,4.400,0.261
8,0.191,2.243,0.701,0.366,1.500,19.209,19.893,10.509,11.242,0,1.600,19.546,10.871,0.932,19.546,10.871,0.932,1.122,0.346,0.289,71.887,-73.097,13.105,3.243,3.879,1.196,19.405,10.655,0.000,0.114
9,0.367,3.755,1.013,0.288,1.000,13.637,14.810,11.535,12.415,0,2.000,14.366,12.051,1.156,14.366,12.051,1.156,1.339,0.467,0.406,-24.542,-72.916,155.930,2.870,3.300,1.150,14.419,11.975,1.200,0.130
10,0.764,5.830,1.134,0.334,1.000,28.007,28.985,11.535,12.855,0,2.400,28.522,12.338,1.357,28.522,12.338,1.357,1.379,0.620,0.436,-72.172,-75.517,-72.547,2.225,3.161,1.421,28.496,12.366,0.400,0.147
11,0.252,2.637,0.588,0.393,1.000,25.612,26.296,13.050,13.539,0,2.400,25.981,13.318,1.352,25.981,13.318,1.352,1.429,0.288,0.265,12.668,-79.125,28.719,4.961,5.401,1.089,25.954,13.295,1.200,0.130
12,0.845,7.385,1.456,0.200,1.000,30.744,32.357,14.908,15.934,0,3.200,31.591,15.564,1.502,31.591,15.564,1.502,1.994,0.746,0.393,-17.452,-65.406,119.444,2.672,5.080,1.901,30.891,15.494,0.000,0.163
13,3.637,25.752,3.841,0.088,0.000,25.319,28.056,15.494,17.596,0,4.800,26.746,16.505,1.849,26.746,16.505,1.849,2.834,1.634,0.735,55.740,82.375,-19.796,1.734,3.857,2.225,27.469,15.934,0.000,0.179
14,0.516,4.541,1.207,0.322,0.000,41.302,42.084,15.836,16.814,0,2.400,41.627,16.316,1.257,41.627,16.316,1.257,1.442,0.499,0.340,60.978,-82.491,-101.774,2.887,4.237,1.467,41.595,16.179,0.000,0.147
15,2.008,15.656,3.298,0.119,1.000,28.349,30.549,15.397,18.085,0,4.800,29.591,16.223,2.474,29.591,16.223,2.474,3.348,0.815,0.698,-70.877,-69.242,143.763,4.106,4.796,1.168,29.669,15.739,3.200,0.179
16,3.156,25.918,5.134,0.065,-0.500,21.555,23.559,17.938,22.582,0,2.000,22.645,20.200,0.978,22.645,20.200,0.978,2.841,1.242,0.912,-86.612,-4.764,-72.696,2.287,3.117,1.363,22.191,19.502,0.000,0.179
17,1.681,14.933,2.418,0.096,-0.500,23.657,26.296,18.280,19.698,0,2.400,25.145,19.100,1.277,25.145,19.100,1.277,1.674,1.195,0.632,-8.961,-37.677,82.315,1.401,2.648,1.891,24.390,19.111,0.000,0.130
18,3.965,39.946,10.477,0.028,-5.000,3.275,5.865,18.427,26.492,0,2.400,4.272,21.854,1.100,4.272,21.854,1.100,4.934,1.391,0.852,-84.730,-3.037,-113.309,3.546,5.794,1.634,5.425,19.014,0.000,0.130
19,0.396,3.590,0.997,0.383,1.500,39.005,40.080,19.405,20.333,0,1.600,39.631,19.907,0.721,39.631,19.907,0.721,1.077,0.481,0.382,-33.906,-67.489,166.629,2.240,2.817,1.257,39.396,19.844,0.000,0.114
20,3.397,26.907,4.640,0.067,-1.000,25.270,27.958,20.089,24.341,0,3.200,27.077,22.580,1.207,27.077,22.580,1.207,2.016,1.680,0.795,-68.660,15.626,-105.971,1.201,2.537,2.113,27.030,22.826,1.200,0.179
21,0.056,0.908,0.585,0.480,2.000,19.453,19.796,20.382,21.164,0,0.400,19.622,20.811,0.200,19.622,20.811,0.200,0.480,0.408,0.198,-73.866,-0.000,90.000,1.176,2.420,2.057,19.600,20.675,0.000,0.081
22,3.374,27.810,4.563,0.060,-5.500,27.909,31.526,20.138,23.657,0,2.400,29.675,22.226,1.194,29.675,22.226,1.194,2.590,1.306,0.934,43.056,4.466,-103.408,1.983,2.771,1.397,30.109,22.631,0.000,0.147
23,1.443,12.798,3.155,0.112,-3.500,40.373,41.351,22.582,25.514,0,2.400,40.886,23.841,1.424,40.886,23.841,1.424,1.751,1.186,0.437,83.999,-37.543,85.328,1.476,4.003,2.712,40.618,22.875,1.200,0.130
24,7.872,59.783,10.008,0.033,-7.500,15.739,24.537,23.364,26.687,0,2.800,19.981,24.989,1.264,19.981,24.989,1.264,4.468,1.606,1.230,3.449,-0.366,99.976,2.782,3.632,1.305,21.360,24.928,0.000,0.196
25,0.672,5.372,0.905,0.329,3.000,38.614,39.396,23.999,25.417,0,2.000,38.988,24.728,1.283,38.988,24.728,1.283,1.226,0.684,0.313,-82.874,-74.938,100.681,1.791,3.917,2.187,38.956,24.732,0.800,0.130
26,3.700,28.106,4.087,0.070,-5.000,27.030,31.966,26.296,27.958,0,2.400,28.997,26.879,1.063,28.997,26.879,1.063,2.948,1.372,0.717,-4.227,5.092,-81.368,2.149,4.109,1.912,31.380,26.785,0.400,0.163
