 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1947,1052,487,2392,13897,1.097,862,140,7.348
2,1,0,2,0,0,0.069,0,0,0.069
3,1,0,2,0,16,0.932,0,0,0.932
4,21,8,13,76,185,1.477,4,3,3.743
5,3,1,3,3,59,3.377,1,0,8.799
6,5,2,4,6,50,1.498,2,0,3.978
7,1,0,2,0,21,1.339,0,0,1.339
8,1,0,2,0,21,1.574,0,0,1.574
9,1,0,2,0,8,0.602,0,0,0.602
10,1,0,2,0,0,0.049,0,0,0.049
11,1,0,2,0,17,1.376,0,0,1.376
12,1,0,2,0,5,0.711,0,0,0.711
13,6,2,5,3,52,1.117,1,1,2.271
14,9,4,3,15,38,0.668,2,1,1.747
15,5,2,4,6,34,1.189,2,0,1.454
16,3,1,3,1,96,2.099,1,0,3.956
17,1,0,2,0,14,2.283,0,0,2.283
18,5,2,4,4,19,0.717,2,0,1.261
19,3,1,3,1,18,1.081,1,0,2.265
20,21,10,11,20,171,1.126,9,1,2.565
21,1,0,2,0,2,0.147,0,0,0.147
22,6,2,5,5,14,0.525,1,1,0.702
23,1,0,2,0,8,0.501,0,0,0.501
24,7,3,5,3,42,0.852,3,0,1.379
25,3,1,3,1,25,0.896,1,0,1.652
26,1,0,2,0,3,0.216,0,0,0.216
27,6,2,5,5,34,0.820,1,1,1.388
28,1,0,2,0,7,0.809,0,0,0.809
29,3,1,3,3,12,0.358,1,0,0.533
30,5,3,1,5,80,1.300,3,0,3.846
31,8,3,6,4,42,0.796,2,1,1.292
32,1,0,2,0,14,0.895,0,0,0.895
33,1,0,2,0,4,0.285,0,0,0.285
34,6,3,3,9,42,0.840,3,0,1.215
35,3,1,3,1,18,0.396,1,0,0.786
36,3,1,3,1,11,0.404,1,0,0.760
37,1,0,2,0,5,0.394,0,0,0.394
38,6,1,6,7,40,0.945,0,0,1.528
39,3,1,2,3,48,1.447,0,1,2.046
40,2,1,1,1,31,0.964,1,0,1.514
41,5,2,3,5,19,0.325,1,1,0.679
42,1,0,2,0,3,0.236,0,0,0.236
43,1,0,2,0,5,0.691,0,0,0.691
44,1,0,2,0,8,1.273,0,0,1.273
45,1,0,2,0,10,0.996,0,0,0.996
46,9,5,2,16,35,0.393,4,1,0.700
47,12,5,6,10,95,0.792,3,1,1.571
48,1,0,2,0,7,0.533,0,0,0.533
49,1,0,2,0,18,1.050,0,0,1.050
50,2,1,1,1,20,0.594,1,0,1.042
51,3,1,3,1,8,0.220,1,0,0.354
52,1,0,2,0,16,0.932,0,0,0.932
53,1,0,2,0,9,0.570,0,0,0.570
54,7,3,4,10,20,0.436,2,1,0.711
55,1,0,2,0,9,0.886,0,0,0.886
56,1,0,2,0,8,0.541,0,0,0.541
57,3,1,3,3,7,0.229,1,0,0.501
58,2,1,1,1,27,0.816,1,0,1.306
59,3,1,3,1,7,0.339,1,0,0.691
60,1,0,2,0,3,0.216,0,0,0.216
61,1,0,0,0,15,0.826,0,0,0.826
62,1,0,0,0,22,1.229,0,0,1.229
