 ,Value,Count
1,0,66778
2,1,27457
3,2,8317
4,3,5010
5,4,2840
6,5,1780
7,6,1332
8,7,1160
9,8,995
10,9,963
11,10,846
12,11,778
13,12,752
14,13,700
15,14,705
16,15,575
17,16,527
18,17,495
19,18,430
20,19,435
21,20,379
22,21,357
23,22,301
24,23,315
25,24,299
26,25,280
27,26,285
28,27,288
29,28,271
30,29,239
31,30,261
32,31,245
33,32,247
34,33,203
35,34,212
36,35,226
37,36,210
38,37,214
39,38,197
40,39,171
41,40,186
42,41,188
43,42,173
44,43,159
45,44,175
46,45,172
47,46,158
48,47,142
49,48,169
50,49,165
51,50,140
52,51,172
53,52,149
54,53,138
55,54,140
56,55,106
57,56,135
58,57,129
59,58,135
60,59,142
61,60,134
62,61,116
63,62,125
64,63,113
65,64,98
66,65,93
67,66,99
68,67,102
69,68,108
70,69,85
71,70,100
72,71,118
73,72,80
74,73,90
75,74,87
76,75,84
77,76,81
78,77,92
79,78,84
80,79,70
81,80,81
82,81,80
83,82,90
84,83,78
85,84,71
86,85,81
87,86,70
88,87,76
89,88,76
90,89,57
91,90,71
92,91,70
93,92,62
94,93,67
95,94,73
96,95,70
97,96,69
98,97,73
99,98,66
100,99,59
101,100,75
102,101,64
103,102,56
104,103,44
105,104,61
106,105,57
107,106,59
108,107,55
109,108,58
110,109,59
111,110,67
112,111,64
113,112,58
114,113,59
115,114,59
116,115,58
117,116,62
118,117,42
119,118,46
120,119,49
121,120,41
122,121,56
123,122,56
124,123,37
125,124,45
126,125,34
127,126,41
128,127,52
129,128,41
130,129,31
131,130,33
132,131,37
133,132,27
134,133,37
135,134,32
136,135,29
137,136,27
138,137,30
139,138,21
140,139,33
141,140,28
142,141,19
143,142,23
144,143,28
145,144,22
146,145,27
147,146,22
148,147,23
149,148,24
150,149,30
151,150,22
152,151,16
153,152,21
154,153,14
155,154,14
156,155,18
157,156,22
158,157,11
159,158,10
160,159,22
161,160,18
162,161,15
163,162,14
164,163,13
165,164,10
166,165,10
167,166,12
168,167,13
169,168,13
170,169,13
171,170,10
172,171,10
173,172,14
174,173,10
175,174,8
176,175,7
177,176,9
178,177,7
179,178,10
180,179,5
181,180,6
182,181,6
183,182,2
184,183,2
185,184,5
186,185,6
187,186,1
188,187,5
189,188,4
190,189,2
191,190,6
192,191,6
193,192,2
194,193,5
195,194,6
196,195,3
197,196,2
198,197,2
199,198,0
200,199,2
201,200,1
202,201,1
203,202,0
204,203,1
205,204,3
206,205,1
207,206,1
208,207,1
209,208,0
210,209,1
211,210,1
212,211,0
213,212,0
214,213,0
215,214,0
216,215,0
217,216,0
218,217,0
219,218,0
220,219,0
221,220,0
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,0
229,228,0
230,229,0
231,230,0
232,231,0
233,232,0
234,233,0
235,234,0
236,235,0
237,236,0
238,237,0
239,238,0
240,239,0
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
