 ,Value,Count
1,0,177212
2,1,48190
3,2,6222
4,3,3795
5,4,2701
6,5,2229
7,6,2116
8,7,2081
9,8,2050
10,9,1854
11,10,2058
12,11,2179
13,12,2169
14,13,2320
15,14,2438
16,15,2675
17,16,3071
18,17,3710
19,18,4579
20,19,5032
21,20,4991
22,21,5063
23,22,4783
24,23,4137
25,24,4161
26,25,4022
27,26,3708
28,27,3194
29,28,3151
30,29,3034
31,30,2629
32,31,2596
33,32,2305
34,33,2119
35,34,1773
36,35,1641
37,36,1501
38,37,1365
39,38,1359
40,39,1244
41,40,1108
42,41,1017
43,42,962
44,43,904
45,44,811
46,45,842
47,46,761
48,47,694
49,48,683
50,49,610
51,50,655
52,51,576
53,52,506
54,53,515
55,54,510
56,55,448
57,56,475
58,57,423
59,58,445
60,59,359
61,60,379
62,61,364
63,62,361
64,63,329
65,64,347
66,65,343
67,66,292
68,67,280
69,68,296
70,69,252
71,70,268
72,71,253
73,72,248
74,73,223
75,74,217
76,75,166
77,76,164
78,77,182
79,78,142
80,79,162
81,80,140
82,81,109
83,82,105
84,83,100
85,84,72
86,85,83
87,86,77
88,87,64
89,88,64
90,89,61
91,90,66
92,91,61
93,92,48
94,93,64
95,94,44
96,95,47
97,96,40
98,97,50
99,98,48
100,99,32
101,100,37
102,101,22
103,102,26
104,103,23
105,104,21
106,105,28
107,106,20
108,107,9
109,108,21
110,109,16
111,110,8
112,111,13
113,112,10
114,113,10
115,114,6
116,115,7
117,116,5
118,117,6
119,118,5
120,119,6
121,120,4
122,121,9
123,122,3
124,123,10
125,124,7
126,125,4
127,126,4
128,127,5
129,128,3
130,129,2
131,130,4
132,131,2
133,132,3
134,133,4
135,134,3
136,135,2
137,136,4
138,137,1
139,138,2
140,139,5
141,140,3
142,141,5
143,142,1
144,143,2
145,144,1
146,145,2
147,146,3
148,147,2
149,148,1
150,149,1
151,150,0
152,151,3
153,152,1
154,153,2
155,154,1
156,155,1
157,156,0
158,157,2
159,158,0
160,159,2
161,160,0
162,161,1
163,162,2
164,163,2
165,164,0
166,165,2
167,166,0
168,167,1
169,168,1
170,169,1
171,170,0
172,171,0
173,172,0
174,173,0
175,174,0
176,175,0
177,176,0
178,177,0
179,178,0
180,179,0
181,180,0
182,181,0
183,182,0
184,183,0
185,184,0
186,185,0
187,186,0
188,187,0
189,188,0
190,189,0
191,190,0
192,191,0
193,192,0
194,193,0
195,194,0
196,195,0
197,196,0
198,197,0
199,198,0
200,199,0
201,200,0
202,201,0
203,202,0
204,203,0
205,204,0
206,205,0
207,206,0
208,207,0
209,208,0
210,209,0
211,210,0
212,211,0
213,212,0
214,213,0
215,214,0
216,215,0
217,216,0
218,217,0
219,218,0
220,219,0
221,220,0
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,0
229,228,0
230,229,0
231,230,0
232,231,0
233,232,0
234,233,0
235,234,0
236,235,0
237,236,0
238,237,0
239,238,0
240,239,0
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
