 ,Value,Count
1,0,212009
2,1,28617
3,2,6561
4,3,4825
5,4,5627
6,5,7157
7,6,7931
8,7,6769
9,8,5257
10,9,3942
11,10,2897
12,11,2116
13,12,1764
14,13,1525
15,14,1306
16,15,1080
17,16,1032
18,17,906
19,18,864
20,19,769
21,20,668
22,21,667
23,22,629
24,23,609
25,24,541
26,25,538
27,26,472
28,27,429
29,28,442
30,29,408
31,30,461
32,31,417
33,32,393
34,33,366
35,34,332
36,35,348
37,36,318
38,37,286
39,38,288
40,39,243
41,40,284
42,41,250
43,42,253
44,43,258
45,44,239
46,45,197
47,46,229
48,47,208
49,48,177
50,49,209
51,50,188
52,51,192
53,52,226
54,53,206
55,54,186
56,55,178
57,56,187
58,57,174
59,58,169
60,59,159
61,60,175
62,61,180
63,62,164
64,63,152
65,64,149
66,65,148
67,66,164
68,67,133
69,68,159
70,69,136
71,70,158
72,71,137
73,72,144
74,73,133
75,74,137
76,75,156
77,76,134
78,77,135
79,78,136
80,79,124
81,80,124
82,81,118
83,82,103
84,83,109
85,84,117
86,85,135
87,86,112
88,87,106
89,88,88
90,89,96
91,90,93
92,91,87
93,92,72
94,93,75
95,94,82
96,95,74
97,96,63
98,97,67
99,98,70
100,99,74
101,100,54
102,101,68
103,102,55
104,103,44
105,104,47
106,105,44
107,106,40
108,107,34
109,108,44
110,109,34
111,110,22
112,111,22
113,112,16
114,113,26
115,114,17
116,115,29
117,116,18
118,117,10
119,118,12
120,119,13
121,120,9
122,121,8
123,122,10
124,123,7
125,124,7
126,125,10
127,126,7
128,127,6
129,128,4
130,129,1
131,130,1
132,131,3
133,132,3
134,133,2
135,134,2
136,135,4
137,136,5
138,137,3
139,138,2
140,139,0
141,140,1
142,141,5
143,142,2
144,143,2
145,144,0
146,145,0
147,146,0
148,147,0
149,148,0
150,149,0
151,150,0
152,151,0
153,152,0
154,153,0
155,154,0
156,155,0
157,156,0
158,157,0
159,158,0
160,159,0
161,160,0
162,161,0
163,162,0
164,163,0
165,164,0
166,165,0
167,166,0
168,167,0
169,168,0
170,169,0
171,170,0
172,171,0
173,172,0
174,173,0
175,174,0
176,175,0
177,176,0
178,177,0
179,178,0
180,179,0
181,180,0
182,181,0
183,182,0
184,183,0
185,184,0
186,185,0
187,186,0
188,187,0
189,188,0
190,189,0
191,190,0
192,191,0
193,192,0
194,193,0
195,194,0
196,195,0
197,196,0
198,197,0
199,198,0
200,199,0
201,200,0
202,201,0
203,202,0
204,203,0
205,204,0
206,205,0
207,206,0
208,207,0
209,208,0
210,209,0
211,210,0
212,211,0
213,212,0
214,213,0
215,214,0
216,215,0
217,216,0
218,217,0
219,218,0
220,219,0
221,220,0
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,0
229,228,0
230,229,0
231,230,0
232,231,0
233,232,0
234,233,0
235,234,0
236,235,0
237,236,0
238,237,0
239,238,0
240,239,0
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
