 ,Value,Count
1,0,4125562
2,1,280018
3,2,87756
4,3,51146
5,4,35798
6,5,26644
7,6,21218
8,7,17439
9,8,15118
10,9,12929
11,10,11542
12,11,10458
13,12,9117
14,13,8638
15,14,7870
16,15,7329
17,16,6803
18,17,6326
19,18,5953
20,19,5845
21,20,5351
22,21,5233
23,22,5101
24,23,4851
25,24,4538
26,25,4420
27,26,4165
28,27,4100
29,28,3864
30,29,3765
31,30,3656
32,31,3546
33,32,3394
34,33,3386
35,34,3255
36,35,3155
37,36,3081
38,37,2995
39,38,2916
40,39,2796
41,40,2759
42,41,2600
43,42,2570
44,43,2448
45,44,2303
46,45,2269
47,46,2223
48,47,2195
49,48,2031
50,49,1892
51,50,1872
52,51,1811
53,52,1720
54,53,1663
55,54,1540
56,55,1506
57,56,1409
58,57,1378
59,58,1363
60,59,1416
61,60,1264
62,61,1215
63,62,1149
64,63,1100
65,64,1058
66,65,1072
67,66,1061
68,67,974
69,68,942
70,69,909
71,70,850
72,71,817
73,72,832
74,73,718
75,74,705
76,75,649
77,76,657
78,77,630
79,78,623
80,79,562
81,80,492
82,81,496
83,82,472
84,83,474
85,84,399
86,85,401
87,86,402
88,87,321
89,88,329
90,89,312
91,90,288
92,91,288
93,92,254
94,93,258
95,94,217
96,95,228
97,96,228
98,97,215
99,98,192
100,99,156
101,100,141
102,101,134
103,102,120
104,103,117
105,104,102
106,105,85
107,106,97
108,107,98
109,108,86
110,109,73
111,110,82
112,111,67
113,112,49
114,113,55
115,114,69
116,115,50
117,116,35
118,117,32
119,118,34
120,119,39
121,120,41
122,121,35
123,122,25
124,123,29
125,124,20
126,125,15
127,126,27
128,127,18
129,128,9
130,129,17
131,130,15
132,131,13
133,132,7
134,133,6
135,134,8
136,135,4
137,136,2
138,137,6
139,138,5
140,139,3
141,140,3
142,141,2
143,142,5
144,143,1
145,144,2
146,145,2
147,146,3
148,147,1
149,148,0
150,149,0
151,150,1
152,151,0
153,152,0
154,153,0
155,154,0
156,155,0
157,156,0
158,157,0
159,158,0
160,159,0
161,160,0
162,161,0
163,162,0
164,163,0
165,164,0
166,165,0
167,166,0
168,167,0
169,168,0
170,169,0
171,170,0
172,171,0
173,172,0
174,173,0
175,174,0
176,175,0
177,176,0
178,177,0
179,178,0
180,179,0
181,180,0
182,181,0
183,182,0
184,183,0
185,184,0
186,185,0
187,186,0
188,187,0
189,188,0
190,189,0
191,190,0
192,191,0
193,192,0
194,193,0
195,194,0
196,195,0
197,196,0
198,197,0
199,198,0
200,199,0
201,200,0
202,201,0
203,202,0
204,203,0
205,204,0
206,205,0
207,206,0
208,207,0
209,208,0
210,209,0
211,210,0
212,211,0
213,212,0
214,213,0
215,214,0
216,215,0
217,216,0
218,217,0
219,218,0
220,219,0
221,220,0
222,221,0
223,222,0
224,223,0
225,224,0
226,225,0
227,226,0
228,227,0
229,228,0
230,229,0
231,230,0
232,231,0
233,232,0
234,233,0
235,234,0
236,235,0
237,236,0
238,237,0
239,238,0
240,239,0
241,240,0
242,241,0
243,242,0
244,243,0
245,244,0
246,245,0
247,246,0
248,247,0
249,248,0
250,249,0
251,250,0
252,251,0
253,252,0
254,253,0
255,254,0
256,255,0
