 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,3X_40_largestArea.tif,0.624,3.512,1.484,0.536,55.442,0.636,2.769,0.361,0.889,256,63
2,3X_40_largestArea.tif,5.904,34.787,4.811,1.562,58.674,0.061,3.080,0.325,0.429,353,84
3,3X_40_largestArea.tif,0.333,2.164,0.806,0.526,4.598,0.894,1.534,0.652,0.939,215,105
4,3X_40_largestArea.tif,0.112,1.377,0.561,0.254,4.002,0.743,2.207,0.453,0.879,212,123
5,3X_40_largestArea.tif,2.859,16.024,2.485,1.465,123.130,0.140,1.696,0.589,0.580,203,142
6,3X_40_largestArea.tif,0.241,2.465,1.027,0.298,165.295,0.498,3.440,0.291,0.834,149,158
7,3X_40_largestArea.tif,0.203,1.653,0.539,0.479,95.982,0.932,1.124,0.889,0.903,255,186
8,3X_40_largestArea.tif,0.109,1.243,0.440,0.314,66.790,0.883,1.400,0.714,0.876,333,199
9,3X_40_largestArea.tif,0.116,1.433,0.619,0.238,139.409,0.708,2.602,0.384,0.848,200,201
10,3X_40_largestArea.tif,1.299,9.437,1.941,0.852,150.405,0.183,2.278,0.439,0.408,171,203
11,3X_40_largestArea.tif,0.219,2.355,0.924,0.302,64.257,0.496,3.064,0.326,0.771,275,206
12,3X_40_largestArea.tif,0.166,1.714,0.717,0.296,33.915,0.712,2.426,0.412,0.872,313,228
13,3X_40_largestArea.tif,0.271,2.475,0.962,0.359,157.744,0.557,2.676,0.374,0.758,238,229
14,3X_40_largestArea.tif,0.496,3.131,1.327,0.476,18.165,0.636,2.789,0.359,0.852,280,234
15,3X_40_largestArea.tif,1.617,8.922,2.731,0.754,40.523,0.255,3.620,0.276,0.627,210,253
16,3X_40_largestArea.tif,0.172,1.558,0.538,0.407,21.598,0.890,1.323,0.756,0.905,267,255
17,3X_40_largestArea.tif,1.200,8.290,2.515,0.607,40.534,0.219,4.141,0.241,0.473,237,263
18,3X_40_largestArea.tif,0.116,1.232,0.423,0.348,0.000,0.958,1.215,0.823,0.914,208,268
19,3X_40_largestArea.tif,0.393,3.626,1.352,0.370,71.575,0.375,3.659,0.273,0.675,123,285
20,3X_40_largestArea.tif,0.114,1.218,0.397,0.366,78.806,0.966,1.084,0.922,0.881,258,285
21,3X_40_largestArea.tif,0.530,3.676,0.895,0.754,98.454,0.493,1.186,0.843,0.764,130,304
22,3X_40_largestArea.tif,0.136,1.342,0.469,0.368,60.027,0.946,1.274,0.785,0.932,151,311
23,3X_40_largestArea.tif,1.328,9.282,2.055,0.823,29.621,0.194,2.498,0.400,0.423,171,318
24,3X_40_largestArea.tif,2.942,20.185,4.085,0.917,68.693,0.091,4.456,0.224,0.497,118,322
