 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,6,3,3,5,101,0.914,3,0,1.718
2,3,1,3,1,53,0.894,1,0,1.793
3,1,0,2,0,14,0.797,0,0,0.797
4,3,1,3,1,58,1.035,1,0,1.710
5,1,0,2,0,1,0.103,0,0,0.103
6,1,0,2,0,25,1.212,0,0,1.212
7,6,3,3,9,175,1.546,3,0,2.263
8,1,0,2,0,6,0.315,0,0,0.315
9,5,2,4,6,91,0.963,2,0,2.005
10,1,0,2,0,35,1.602,0,0,1.602
11,1,0,2,0,2,0.163,0,0,0.163
12,1,0,2,0,25,1.282,0,0,1.282
13,3,1,3,1,39,0.689,1,0,0.949
14,1,0,2,0,22,1.137,0,0,1.137
15,3,1,3,1,56,0.948,1,0,1.878
16,6,3,3,7,91,0.810,3,0,1.523
17,1,0,2,0,35,1.707,0,0,1.707
18,1,0,2,0,3,0.188,0,0,0.188
19,1,0,2,0,83,4.049,0,0,4.049
20,1,0,2,0,16,0.811,0,0,0.811
21,1,0,2,0,31,1.520,0,0,1.520
22,1,0,2,0,7,0.428,0,0,0.428
23,5,2,4,4,68,0.723,2,0,1.282
24,5,2,4,4,63,0.740,2,0,1.381
25,1,0,2,0,0,0.043,0,0,0.043
26,1,0,2,0,62,2.926,0,0,2.926
27,0,0,1,0,0,0.000,0,0,0.000
28,1,0,2,0,35,1.637,0,0,1.637
29,1,0,2,0,33,1.816,0,0,1.816
30,1,0,2,0,0,0.043,0,0,0.043
31,3,1,3,3,108,1.884,1,0,4.618
32,1,0,2,0,11,0.687,0,0,0.687
33,1,0,2,0,0,0.043,0,0,0.043
34,1,0,2,0,51,2.670,0,0,2.670
35,1,0,2,0,11,0.510,0,0,0.510
36,1,0,2,0,69,3.488,0,0,3.488
37,1,0,2,0,17,0.924,0,0,0.924
38,1,0,2,0,20,0.981,0,0,0.981
39,1,0,2,0,6,0.315,0,0,0.315
40,1,0,2,0,0,0.043,0,0,0.043
41,0,0,1,0,0,0.000,0,0,0.000
42,1,0,2,0,28,1.410,0,0,1.410
43,1,0,2,0,11,0.581,0,0,0.581
