 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0X_53_largestArea.tif,0.588,5.049,2.103,0.356,66.431,0.290,5.909,0.169,0.667,134,77
2,0X_53_largestArea.tif,0.219,1.763,0.663,0.421,17.297,0.885,1.576,0.635,0.924,173,94
3,0X_53_largestArea.tif,0.550,4.489,1.465,0.478,51.892,0.343,3.065,0.326,0.674,153,97
4,0X_53_largestArea.tif,0.601,4.102,1.615,0.474,107.343,0.449,3.411,0.293,0.711,98,105
5,0X_53_largestArea.tif,0.179,1.533,0.494,0.461,177.030,0.958,1.072,0.933,0.908,185,114
6,0X_53_largestArea.tif,3.179,21.383,2.574,1.572,145.687,0.087,1.637,0.611,0.414,203,118
7,0X_53_largestArea.tif,0.027,0.591,0.211,0.164,51.264,0.976,1.287,0.777,0.857,163,122
8,0X_53_largestArea.tif,0.190,1.608,0.548,0.442,34.904,0.924,1.240,0.806,0.925,65,133
9,0X_53_largestArea.tif,0.677,5.087,2.351,0.367,96.827,0.329,6.414,0.156,0.769,93,154
10,0X_53_largestArea.tif,0.289,2.029,0.767,0.480,153.213,0.884,1.597,0.626,0.928,246,157
11,0X_53_largestArea.tif,0.241,1.763,0.567,0.541,134.987,0.973,1.048,0.954,0.927,131,162
12,0X_53_largestArea.tif,0.148,1.402,0.464,0.407,127.201,0.948,1.140,0.877,0.927,31,172
13,0X_53_largestArea.tif,0.921,6.637,1.469,0.798,169.776,0.263,1.841,0.543,0.479,54,181
14,0X_53_largestArea.tif,0.112,1.243,0.410,0.349,38.559,0.913,1.175,0.851,0.867,266,187
15,0X_53_largestArea.tif,0.731,5.108,2.388,0.390,101.064,0.352,6.130,0.163,0.784,34,195
16,0X_53_largestArea.tif,0.237,1.994,0.776,0.389,98.582,0.749,1.997,0.501,0.897,239,203
17,0X_53_largestArea.tif,0.463,3.442,1.542,0.382,54.496,0.491,4.033,0.248,0.776,117,204
18,0X_53_largestArea.tif,0.060,0.892,0.290,0.262,152.813,0.943,1.108,0.903,0.835,252,215
19,0X_53_largestArea.tif,0.266,2.054,0.788,0.430,67.488,0.792,1.833,0.545,0.905,68,217
20,0X_53_largestArea.tif,0.610,4.985,1.732,0.448,58.869,0.308,3.866,0.259,0.625,290,220
21,0X_53_largestArea.tif,0.118,1.257,0.426,0.351,95.003,0.935,1.213,0.825,0.915,78,222
22,0X_53_largestArea.tif,1.057,6.726,1.408,0.956,117.040,0.294,1.473,0.679,0.537,136,224
23,0X_53_largestArea.tif,0.096,1.108,0.391,0.313,128.981,0.982,1.249,0.800,0.876,153,226
24,0X_53_largestArea.tif,0.116,1.243,0.446,0.331,162.858,0.942,1.347,0.742,0.889,113,233
25,0X_53_largestArea.tif,1.493,9.808,1.680,1.131,150.976,0.195,1.485,0.673,0.490,179,233
26,0X_53_largestArea.tif,0.123,1.292,0.447,0.351,34.583,0.926,1.275,0.784,0.901,190,247
27,0X_53_largestArea.tif,0.371,2.770,1.163,0.406,105.777,0.608,2.866,0.349,0.867,255,247
28,0X_53_largestArea.tif,0.148,1.413,0.486,0.389,35.527,0.934,1.251,0.799,0.906,297,256
29,0X_53_largestArea.tif,0.065,0.917,0.329,0.252,6.507,0.974,1.309,0.764,0.878,82,261
30,0X_53_largestArea.tif,0.483,3.417,1.489,0.413,149.520,0.520,3.605,0.277,0.793,122,269
31,0X_53_largestArea.tif,0.204,1.653,0.548,0.475,152.047,0.940,1.155,0.866,0.908,75,270
32,0X_53_largestArea.tif,0.337,2.234,0.767,0.559,30.989,0.847,1.373,0.728,0.899,176,276
33,0X_53_largestArea.tif,0.308,2.089,0.757,0.517,150.894,0.886,1.465,0.683,0.919,205,287
34,0X_53_largestArea.tif,0.704,4.713,1.714,0.523,122.958,0.398,3.277,0.305,0.698,229,287
35,0X_53_largestArea.tif,0.083,1.052,0.361,0.294,99.955,0.945,1.227,0.815,0.911,191,290
36,0X_53_largestArea.tif,0.090,1.112,0.342,0.337,90.000,0.919,1.015,0.985,0.893,118,293
37,0X_53_largestArea.tif,0.118,1.388,0.517,0.289,38.794,0.767,1.789,0.559,0.839,107,294
38,0X_53_largestArea.tif,0.170,1.523,0.534,0.405,147.574,0.922,1.318,0.759,0.926,212,314
39,0X_53_largestArea.tif,0.208,1.788,0.664,0.399,171.289,0.818,1.666,0.600,0.895,177,315
40,0X_53_largestArea.tif,0.152,1.473,0.533,0.363,6.623,0.880,1.469,0.681,0.894,142,317
