 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,0,0,1,0,0,0.000,0,0,0.000
2,0,0,1,0,0,0.000,0,0,0.000
3,1,0,2,0,0,0.060,0,0,0.060
4,54,32,12,58,893,0.905,32,0,3.584
5,14,7,7,15,324,1.234,7,0,3.170
6,13,7,5,9,222,0.899,7,0,3.000
7,1,0,2,0,31,1.625,0,0,1.625
8,3,1,3,3,36,0.687,1,0,1.353
9,1,0,2,0,5,0.290,0,0,0.290
10,3,1,3,1,26,0.488,1,0,0.899
11,1,0,2,0,5,0.326,0,0,0.326
12,1,0,2,0,21,1.077,0,0,1.077
13,1,0,2,0,2,0.163,0,0,0.163
14,3,1,3,1,43,0.805,1,0,1.491
15,26,14,10,22,520,1.047,14,0,3.014
16,1,0,2,0,1,0.103,0,0,0.103
17,1,0,2,0,1,0.085,0,0,0.085
18,3,1,3,3,114,1.940,1,0,2.890
19,1,0,2,0,8,0.436,0,0,0.436
20,0,0,1,0,0,0.000,0,0,0.000
