 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,f_37_FinalTH.tif,0.156,255,255,255,14.320,3.755,2.475,0.563,0.352,172.374,0.319,1.601,0.625,0.630,339,84
2,f_37_FinalTH.tif,0.382,255,255,255,16.482,4.771,4.684,1.267,0.384,28.080,0.219,3.304,0.303,0.545,397,102
3,f_37_FinalTH.tif,0.668,255,255,255,11.691,4.909,5.736,1.699,0.500,150.288,0.255,3.396,0.294,0.615,254,103
4,f_37_FinalTH.tif,0.340,255,255,255,14.510,5.188,3.396,1.139,0.380,120.432,0.371,2.996,0.334,0.627,333,106
5,f_37_FinalTH.tif,0.228,255,255,255,5.191,5.134,1.944,0.622,0.466,89.156,0.758,1.334,0.750,0.860,124,113
6,f_37_FinalTH.tif,0.313,255,255,255,9.194,5.347,4.203,0.771,0.517,47.641,0.223,1.490,0.671,0.483,229,117
7,f_37_FinalTH.tif,0.239,255,255,255,13.757,5.462,2.740,1.048,0.290,136.473,0.400,3.612,0.277,0.673,315,117
8,f_37_FinalTH.tif,0.302,255,255,255,6.271,5.399,3.452,1.031,0.373,170.216,0.319,2.765,0.362,0.635,134,120
9,f_37_FinalTH.tif,0.262,255,255,255,15.711,5.558,2.801,1.007,0.332,152.685,0.420,3.034,0.330,0.690,361,122
10,f_37_FinalTH.tif,0.212,255,255,255,10.621,5.693,2.815,1.090,0.247,156.039,0.336,4.408,0.227,0.638,239,126
11,f_37_FinalTH.tif,0.163,255,255,255,17.501,6.057,1.689,0.559,0.371,144.027,0.718,1.505,0.665,0.841,408,137
12,f_37_FinalTH.tif,0.163,255,255,255,10.499,6.291,1.653,0.527,0.393,44.960,0.749,1.341,0.746,0.833,244,142
13,f_37_FinalTH.tif,0.280,255,255,255,16.833,6.439,2.404,0.822,0.434,51.815,0.610,1.894,0.528,0.801,398,142
14,f_37_FinalTH.tif,0.201,255,255,255,4.555,6.770,2.475,0.792,0.323,172.175,0.412,2.452,0.408,0.683,103,153
15,f_37_FinalTH.tif,0.170,255,255,255,9.657,7.017,1.823,0.556,0.389,70.438,0.643,1.427,0.701,0.803,229,157
16,f_37_FinalTH.tif,0.536,255,255,255,7.173,7.539,4.132,1.511,0.451,30.439,0.394,3.347,0.299,0.738,182,165
17,f_37_FinalTH.tif,0.528,255,255,255,5.284,7.740,4.344,1.495,0.450,147.239,0.352,3.322,0.301,0.650,113,171
18,f_37_FinalTH.tif,0.592,255,255,255,13.011,8.265,4.925,1.872,0.402,47.422,0.307,4.654,0.215,0.630,315,175
19,f_37_FinalTH.tif,0.340,255,255,255,14.720,7.809,3.131,1.248,0.347,21.855,0.436,3.595,0.278,0.785,353,176
20,f_37_FinalTH.tif,0.221,255,255,255,10.002,7.849,2.189,0.901,0.312,176.800,0.579,2.891,0.346,0.800,231,180
21,f_37_FinalTH.tif,0.318,255,255,255,4.285,8.117,2.199,0.797,0.509,78.509,0.827,1.566,0.639,0.919,102,181
22,f_37_FinalTH.tif,0.259,255,255,255,16.570,8.104,2.390,0.679,0.485,52.269,0.569,1.398,0.715,0.819,386,184
23,f_37_FinalTH.tif,0.188,255,255,255,9.481,8.469,2.666,0.944,0.254,144.451,0.333,3.721,0.269,0.662,215,192
24,f_37_FinalTH.tif,0.436,255,255,255,14.584,8.960,5.385,1.786,0.311,42.370,0.189,5.748,0.174,0.499,352,195
25,f_37_FinalTH.tif,0.221,255,255,255,6.300,8.732,1.834,0.673,0.418,115.698,0.825,1.612,0.620,0.910,145,197
26,f_37_FinalTH.tif,0.150,255,255,255,10.316,8.920,1.813,0.596,0.321,134.510,0.574,1.860,0.538,0.748,237,202
27,f_37_FinalTH.tif,0.313,255,255,255,5.755,9.176,2.620,0.996,0.400,104.426,0.573,2.491,0.401,0.826,134,203
28,f_37_FinalTH.tif,0.327,255,255,255,13.226,9.231,3.207,1.349,0.309,44.418,0.400,4.362,0.229,0.782,321,206
29,f_37_FinalTH.tif,0.268,255,255,255,15.673,9.524,2.330,0.670,0.509,54.691,0.620,1.317,0.759,0.781,370,216
30,f_37_FinalTH.tif,0.195,255,255,255,10.829,9.775,2.931,0.573,0.434,41.892,0.286,1.318,0.759,0.585,253,222
31,f_37_FinalTH.tif,0.264,255,255,255,9.172,9.856,1.979,0.642,0.524,111.068,0.848,1.227,0.815,0.885,214,224
32,f_37_FinalTH.tif,0.228,255,255,255,13.368,9.944,1.954,0.667,0.435,27.705,0.750,1.533,0.652,0.863,314,227
33,f_37_FinalTH.tif,0.194,255,255,255,6.712,10.037,1.653,0.577,0.427,120.856,0.890,1.353,0.739,0.903,155,229
34,f_37_FinalTH.tif,0.208,255,255,255,11.586,10.396,1.994,0.707,0.375,82.563,0.658,1.887,0.530,0.855,269,236
35,f_37_FinalTH.tif,0.213,255,255,255,8.408,10.606,2.039,0.774,0.351,39.210,0.645,2.205,0.454,0.776,200,242
36,f_37_FinalTH.tif,0.251,255,255,255,14.842,10.742,2.485,0.852,0.376,50.182,0.512,2.266,0.441,0.770,353,243
37,f_37_FinalTH.tif,0.266,255,255,255,8.522,11.471,2.114,0.800,0.423,8.690,0.748,1.888,0.530,0.870,201,264
