 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,c_25_FinalTH.tif,0.145,0,0,0,6.810,0.888,1.622,0.609,0.302,94.893,0.691,2.014,0.496,0.870,157,15
2,c_25_FinalTH.tif,0.832,0,0,0,3.037,2.169,5.539,1.434,0.739,20.009,0.341,1.941,0.515,0.583,64,40
3,c_25_FinalTH.tif,0.702,0,0,0,7.842,2.749,5.601,1.897,0.471,119.770,0.281,4.026,0.248,0.531,170,44
4,c_25_FinalTH.tif,0.816,0,0,0,5.424,3.447,6.226,2.113,0.492,82.476,0.265,4.297,0.233,0.590,125,53
5,c_25_FinalTH.tif,0.488,0,0,0,7.069,2.944,4.328,1.257,0.495,154.622,0.328,2.540,0.394,0.542,163,60
6,c_25_FinalTH.tif,0.183,0,0,0,6.797,3.426,1.678,0.668,0.348,159.466,0.815,1.917,0.522,0.898,154,76
7,c_25_FinalTH.tif,0.232,0,0,0,2.598,3.591,1.763,0.608,0.485,129.569,0.936,1.255,0.797,0.928,57,78
8,c_25_FinalTH.tif,0.063,0,0,0,6.011,3.656,1.002,0.402,0.200,28.685,0.793,2.006,0.498,0.854,141,83
9,c_25_FinalTH.tif,1.091,0,0,0,7.773,5.011,7.941,1.439,0.965,30.145,0.217,1.491,0.671,0.484,184,97
10,c_25_FinalTH.tif,0.318,0,0,0,5.856,5.128,2.956,1.354,0.299,124.027,0.458,4.525,0.221,0.844,129,107
11,c_25_FinalTH.tif,0.230,0,0,0,5.441,5.417,2.581,1.012,0.289,130.343,0.434,3.502,0.286,0.679,123,117
12,c_25_FinalTH.tif,0.089,0,0,0,7.885,5.682,1.037,0.374,0.302,172.790,1.000,1.240,0.806,0.907,183,130
13,c_25_FinalTH.tif,0.159,0,0,0,8.531,5.975,1.448,0.509,0.398,43.538,0.954,1.279,0.782,0.903,200,135
14,c_25_FinalTH.tif,0.564,0,0,0,6.282,6.354,4.473,1.161,0.619,127.019,0.355,1.876,0.533,0.625,142,137
15,c_25_FinalTH.tif,0.678,0,0,0,4.286,7.099,6.035,1.878,0.460,57.880,0.234,4.083,0.245,0.505,113,142
16,c_25_FinalTH.tif,1.567,0,0,0,7.303,7.684,12.257,1.917,1.041,49.528,0.131,1.841,0.543,0.402,189,143
17,c_25_FinalTH.tif,0.261,0,0,0,8.600,6.944,2.349,1.001,0.331,95.826,0.594,3.019,0.331,0.870,200,151
18,c_25_FinalTH.tif,0.546,0,0,0,5.317,7.989,4.493,0.948,0.734,129.933,0.340,1.293,0.774,0.643,124,174
19,c_25_FinalTH.tif,0.125,0,0,0,7.626,8.412,1.548,0.635,0.250,77.744,0.655,2.534,0.395,0.868,179,191
20,c_25_FinalTH.tif,0.154,0,0,0,8.080,8.786,1.413,0.478,0.409,63.120,0.968,1.169,0.856,0.909,189,201
21,c_25_FinalTH.tif,0.403,0,0,0,7.167,9.518,3.622,1.484,0.346,39.863,0.386,4.287,0.233,0.668,176,210
22,c_25_FinalTH.tif,0.150,0,0,0,5.696,9.306,1.448,0.525,0.364,33.695,0.900,1.440,0.694,0.897,133,214
23,c_25_FinalTH.tif,0.277,0,0,0,8.203,9.482,2.465,1.052,0.335,22.541,0.573,3.142,0.318,0.832,196,217
24,c_25_FinalTH.tif,0.156,0,0,0,9.901,9.902,1.473,0.489,0.405,66.035,0.901,1.209,0.827,0.896,232,227
25,c_25_FinalTH.tif,0.378,0,0,0,9.181,10.753,3.475,1.529,0.315,97.008,0.393,4.857,0.206,0.735,214,234
26,c_25_FinalTH.tif,0.210,0,0,0,6.835,10.518,2.074,0.866,0.309,48.090,0.613,2.806,0.356,0.797,165,239
27,c_25_FinalTH.tif,1.131,0,0,0,7.887,11.353,7.852,2.101,0.685,42.074,0.230,3.065,0.326,0.471,191,243
28,c_25_FinalTH.tif,0.953,0,0,0,4.310,12.111,6.593,1.955,0.621,176.812,0.276,3.149,0.318,0.534,74,274
29,c_25_FinalTH.tif,0.179,0,0,0,6.192,12.222,1.533,0.521,0.438,115.345,0.958,1.189,0.841,0.912,144,281
30,c_25_FinalTH.tif,0.402,0,0,0,10.788,12.800,3.247,1.285,0.398,134.635,0.479,3.230,0.310,0.710,246,287
31,c_25_FinalTH.tif,0.063,0,0,0,11.245,12.518,0.952,0.380,0.212,128.136,0.878,1.789,0.559,0.854,262,290
32,c_25_FinalTH.tif,0.282,0,0,0,7.606,13.498,2.064,0.736,0.488,162.612,0.832,1.506,0.664,0.902,174,311
33,c_25_FinalTH.tif,3.249,13.062,0,255,9.691,16.247,19.532,4.152,0.996,108.165,0.107,4.167,0.240,0.319,196,317
34,c_25_FinalTH.tif,1.067,0,0,0,13.287,15.270,8.324,3.903,0.348,137.875,0.194,11.209,0.089,0.688,278,323
35,c_25_FinalTH.tif,0.821,0,0,0,8.053,15.114,5.446,1.970,0.531,116.566,0.348,3.713,0.269,0.620,173,332
36,c_25_FinalTH.tif,0.094,0,0,0,11.024,15.464,1.413,0.621,0.193,119.128,0.592,3.215,0.311,0.800,256,357
37,c_25_FinalTH.tif,0.096,0,0,0,9.173,15.539,1.097,0.371,0.329,16.786,1.000,1.130,0.885,0.891,215,361
38,c_25_FinalTH.tif,0.536,0,0,0,11.340,16.528,3.346,1.431,0.476,65.463,0.601,3.004,0.333,0.864,270,374
39,c_25_FinalTH.tif,1.572,0,0,0,11.725,18.788,11.896,1.864,1.074,103.132,0.140,1.736,0.576,0.359,263,406
