 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,o_02_FinalTH.tif,0.087,0,0,0,14.250,0.348,1.147,0.458,0.241,56.244,0.829,1.897,0.527,0.873,334,4
2,o_02_FinalTH.tif,0.128,0,0,0,10.730,0.953,1.317,0.431,0.380,31.965,0.930,1.135,0.881,0.910,250,18
3,o_02_FinalTH.tif,0.483,0,0,0,11.954,1.156,4.043,1.263,0.487,7.732,0.371,2.592,0.386,0.620,287,18
4,o_02_FinalTH.tif,0.282,0,0,0,13.276,1.133,3.120,1.014,0.355,168.517,0.364,2.859,0.350,0.602,302,18
5,o_02_FinalTH.tif,0.369,0,0,0,11.041,1.873,3.151,1.226,0.383,118.889,0.467,3.196,0.313,0.730,252,33
6,o_02_FinalTH.tif,0.293,0,0,0,12.237,1.809,2.209,0.868,0.430,23.035,0.755,2.021,0.495,0.903,289,36
7,o_02_FinalTH.tif,0.275,0,0,0,13.857,2.076,2.359,1.005,0.348,76.793,0.621,2.884,0.347,0.879,326,38
8,o_02_FinalTH.tif,0.098,0,0,0,13.308,1.972,1.342,0.592,0.210,79.161,0.681,2.820,0.355,0.857,312,40
9,o_02_FinalTH.tif,0.335,0,0,0,10.328,2.328,3.257,0.903,0.472,66.286,0.397,1.915,0.522,0.655,242,43
10,o_02_FinalTH.tif,0.375,0,0,0,12.709,2.498,3.066,0.943,0.505,72.358,0.501,1.866,0.536,0.726,299,46
11,o_02_FinalTH.tif,0.056,0,0,0,9.793,2.321,0.967,0.398,0.179,71.881,0.754,2.219,0.451,0.849,231,50
12,o_02_FinalTH.tif,0.536,0,0,0,11.336,2.953,4.328,1.508,0.452,169.261,0.359,3.333,0.300,0.647,252,61
13,o_02_FinalTH.tif,0.105,0,0,0,13.841,3.153,1.193,0.434,0.308,50.797,0.927,1.407,0.710,0.866,326,69
14,o_02_FinalTH.tif,0.219,0,0,0,12.720,3.506,1.799,0.687,0.406,140.268,0.850,1.692,0.591,0.903,295,76
15,o_02_FinalTH.tif,0.215,0,0,0,10.762,3.653,1.969,0.812,0.338,22.595,0.698,2.404,0.416,0.881,252,81
16,o_02_FinalTH.tif,0.109,0,0,0,11.543,3.733,1.182,0.386,0.358,120.737,0.976,1.077,0.928,0.889,270,83
17,o_02_FinalTH.tif,0.586,0,0,0,9.554,4.438,4.423,1.373,0.544,74.646,0.377,2.525,0.396,0.616,224,91
18,o_02_FinalTH.tif,0.150,0,0,0,12.192,4.143,1.448,0.509,0.376,117.817,0.900,1.355,0.738,0.888,285,91
19,o_02_FinalTH.tif,0.257,0,0,0,13.334,4.177,1.873,0.605,0.541,63.813,0.920,1.118,0.895,0.931,310,92
20,o_02_FinalTH.tif,0.199,0,0,0,10.953,4.348,1.778,0.706,0.359,76.986,0.791,1.968,0.508,0.909,258,94
21,o_02_FinalTH.tif,0.063,0,0,0,0.940,4.410,0.952,0.384,0.210,37.954,0.878,1.829,0.547,0.854,23,100
22,o_02_FinalTH.tif,0.648,0,0,0,10.270,5.678,5.172,2.328,0.354,84.351,0.304,6.574,0.152,0.804,242,109
23,o_02_FinalTH.tif,0.183,0,0,0,12.905,4.914,1.583,0.556,0.419,84.284,0.917,1.326,0.754,0.910,302,109
24,o_02_FinalTH.tif,0.335,0,0,0,13.913,5.418,2.664,1.149,0.371,96.959,0.593,3.100,0.323,0.877,323,115
25,o_02_FinalTH.tif,0.241,0,0,0,11.597,5.499,1.933,0.776,0.395,108.192,0.809,1.964,0.509,0.911,269,121
26,o_02_FinalTH.tif,0.452,0,0,0,12.287,6.314,3.973,1.176,0.490,23.090,0.360,2.400,0.417,0.595,290,139
27,o_02_FinalTH.tif,0.279,0,0,0,12.665,7.106,2.170,0.897,0.395,129.398,0.744,2.269,0.441,0.868,293,158
28,o_02_FinalTH.tif,0.152,0,0,0,6.903,7.138,1.413,0.465,0.416,62.717,0.957,1.119,0.893,0.908,162,162
29,o_02_FinalTH.tif,0.112,0,0,0,11.576,7.177,1.232,0.456,0.313,62.239,0.928,1.454,0.688,0.919,271,164
30,o_02_FinalTH.tif,0.405,0,0,0,11.008,7.844,3.131,1.266,0.408,104.951,0.520,3.104,0.322,0.799,255,168
31,o_02_FinalTH.tif,0.156,0,0,0,11.820,7.774,1.413,0.456,0.435,87.874,0.980,1.049,0.954,0.915,277,177
32,o_02_FinalTH.tif,0.727,0,0,0,13.360,8.810,4.882,2.248,0.412,92.277,0.384,5.458,0.183,0.825,312,184
33,o_02_FinalTH.tif,0.526,0,0,0,11.930,8.492,3.041,1.204,0.557,49.875,0.715,2.163,0.462,0.879,286,186
34,o_02_FinalTH.tif,0.270,0,0,0,6.231,8.850,1.909,0.648,0.530,56.733,0.930,1.222,0.818,0.928,145,201
35,o_02_FinalTH.tif,0.765,0,0,0,12.390,10.020,5.720,1.939,0.503,72.198,0.294,3.858,0.259,0.607,293,206
36,o_02_FinalTH.tif,0.177,0,0,0,13.909,9.601,1.633,0.619,0.365,80.579,0.836,1.699,0.589,0.925,325,219
37,o_02_FinalTH.tif,0.060,0,0,0,11.229,9.523,0.892,0.314,0.242,78.454,0.943,1.299,0.770,0.857,263,220
38,o_02_FinalTH.tif,1.091,0,0,0,9.413,10.395,7.715,1.539,0.902,52.930,0.230,1.706,0.586,0.633,230,222
39,o_02_FinalTH.tif,0.257,0,0,0,4.033,10.357,1.933,0.700,0.467,6.513,0.864,1.500,0.667,0.925,91,238
40,o_02_FinalTH.tif,0.223,0,0,0,12.962,10.744,1.774,0.660,0.429,46.767,0.889,1.538,0.650,0.911,305,246
41,o_02_FinalTH.tif,0.168,0,0,0,14.567,10.917,1.558,0.574,0.374,49.234,0.871,1.535,0.651,0.903,342,251
42,o_02_FinalTH.tif,0.145,0,0,0,3.107,10.936,1.388,0.474,0.389,34.994,0.944,1.220,0.819,0.899,72,252
43,o_02_FinalTH.tif,0.112,0,0,0,4.247,10.935,1.243,0.473,0.302,36.908,0.913,1.566,0.639,0.899,99,253
44,o_02_FinalTH.tif,0.127,0,0,0,10.329,11.746,1.303,0.441,0.365,135.000,0.938,1.208,0.828,0.881,241,271
45,o_02_FinalTH.tif,0.121,0,0,0,12.324,11.906,1.278,0.420,0.367,57.617,0.933,1.144,0.874,0.870,288,275
46,o_02_FinalTH.tif,0.322,0,0,0,9.478,12.276,2.355,0.979,0.419,64.433,0.730,2.335,0.428,0.904,225,278
47,o_02_FinalTH.tif,0.139,0,0,0,14.555,12.081,1.363,0.451,0.393,148.445,0.942,1.146,0.872,0.885,340,279
48,o_02_FinalTH.tif,0.342,0,0,0,13.218,12.637,2.114,0.694,0.628,57.847,0.962,1.105,0.905,0.938,310,289
49,o_02_FinalTH.tif,0.624,0,0,0,6.445,13.392,4.334,1.876,0.424,63.925,0.418,4.430,0.226,0.774,159,295
50,o_02_FinalTH.tif,0.458,0,0,0,11.165,13.061,3.016,1.257,0.464,130.671,0.632,2.713,0.369,0.838,255,296
51,o_02_FinalTH.tif,0.192,0,0,0,4.110,13.598,1.763,0.659,0.371,105.294,0.775,1.777,0.563,0.869,95,312
52,o_02_FinalTH.tif,0.056,0,0,0,10.820,13.510,0.867,0.277,0.258,45.002,0.937,1.071,0.934,0.816,254,314
53,o_02_FinalTH.tif,0.159,0,0,0,13.642,13.832,1.438,0.493,0.411,56.661,0.968,1.198,0.835,0.931,319,320
54,o_02_FinalTH.tif,1.111,0,0,0,15.964,16.321,8.178,3.566,0.397,102.767,0.209,8.992,0.111,0.627,365,341
55,o_02_FinalTH.tif,0.132,0,0,0,12.169,15.263,1.353,0.485,0.347,94.698,0.907,1.396,0.716,0.896,285,353
56,o_02_FinalTH.tif,0.116,0,0,0,13.803,15.610,1.243,0.414,0.357,60.880,0.942,1.160,0.862,0.877,324,362
57,o_02_FinalTH.tif,0.467,0,0,0,12.783,16.189,3.355,1.502,0.396,100.487,0.521,3.795,0.264,0.864,295,365
58,o_02_FinalTH.tif,0.250,0,0,0,14.517,16.513,2.570,1.083,0.294,129.788,0.475,3.689,0.271,0.750,333,376
59,o_02_FinalTH.tif,0.161,0,0,0,13.709,16.398,1.568,0.558,0.367,127.542,0.823,1.520,0.658,0.877,319,379
60,o_02_FinalTH.tif,0.069,0,0,0,14.062,16.881,0.977,0.312,0.280,72.447,0.905,1.115,0.896,0.844,330,393
61,o_02_FinalTH.tif,0.148,0,0,0,16.839,17.215,1.568,0.624,0.303,53.838,0.758,2.064,0.485,0.845,397,398
62,o_02_FinalTH.tif,0.141,0,0,0,4.370,17.678,1.809,0.770,0.233,127.132,0.542,3.300,0.303,0.743,99,408
63,o_02_FinalTH.tif,0.161,0,0,0,13.417,18.187,1.498,0.540,0.380,168.885,0.902,1.421,0.704,0.904,312,423
64,o_02_FinalTH.tif,0.152,0,0,0,16.678,18.724,1.438,0.467,0.414,81.345,0.924,1.129,0.886,0.908,389,435
65,o_02_FinalTH.tif,0.300,0,0,0,13.109,19.030,2.104,0.732,0.522,64.547,0.853,1.402,0.713,0.912,309,438
66,o_02_FinalTH.tif,0.648,0,0,0,14.793,19.455,4.052,1.780,0.463,76.020,0.496,3.842,0.260,0.831,352,438
67,o_02_FinalTH.tif,0.150,0,0,0,5.820,19.415,1.483,0.571,0.335,126.256,0.858,1.703,0.587,0.883,134,450
68,o_02_FinalTH.tif,0.326,0,0,0,15.572,19.533,2.139,0.766,0.541,87.840,0.895,1.414,0.707,0.925,363,450
69,o_02_FinalTH.tif,0.101,0,0,0,12.979,19.759,1.303,0.506,0.255,122.636,0.750,1.984,0.504,0.848,301,459
70,o_02_FinalTH.tif,0.315,0,0,0,18.596,19.853,2.054,0.690,0.581,109.547,0.938,1.188,0.842,0.933,433,459
71,o_02_FinalTH.tif,0.628,0,0,0,11.275,20.309,3.442,1.362,0.587,126.044,0.666,2.321,0.431,0.886,258,462
72,o_02_FinalTH.tif,0.103,0,0,0,17.796,20.078,1.243,0.440,0.298,112.435,0.839,1.474,0.678,0.870,417,467
73,o_02_FinalTH.tif,0.498,0,0,0,20.076,20.535,3.807,1.580,0.401,167.904,0.431,3.941,0.254,0.767,457,476
74,o_02_FinalTH.tif,0.313,0,0,0,10.133,20.711,2.680,1.109,0.359,39.770,0.548,3.085,0.324,0.762,242,477
75,o_02_FinalTH.tif,0.850,0,0,0,18.314,20.933,6.483,1.271,0.852,1.756,0.254,1.492,0.670,0.557,443,478
76,o_02_FinalTH.tif,0.159,0,0,0,12.565,20.834,1.473,0.479,0.423,65.888,0.922,1.132,0.884,0.893,294,484
77,o_02_FinalTH.tif,0.648,0,0,0,15.123,20.983,4.218,1.683,0.490,159.238,0.458,3.434,0.291,0.779,338,485
78,o_02_FinalTH.tif,0.090,0,0,0,19.382,20.996,1.207,0.487,0.236,164.396,0.780,2.060,0.485,0.840,452,490
79,o_02_FinalTH.tif,0.302,0,0,0,8.246,21.579,2.680,1.048,0.367,118.261,0.529,2.853,0.350,0.788,190,497
80,o_02_FinalTH.tif,0.481,0,0,0,16.463,22.379,5.454,1.930,0.317,76.164,0.203,6.079,0.164,0.551,388,499
81,o_02_FinalTH.tif,0.282,0,0,0,15.705,22.240,2.280,0.949,0.379,138.762,0.682,2.504,0.399,0.836,363,514
82,o_02_FinalTH.tif,0.152,0,0,0,12.467,22.475,1.448,0.480,0.403,95.816,0.911,1.192,0.839,0.884,293,522
83,o_02_FinalTH.tif,0.264,0,0,0,13.532,22.601,1.898,0.662,0.508,81.094,0.921,1.304,0.767,0.930,315,524
84,o_02_FinalTH.tif,0.595,0,0,0,10.563,23.004,3.502,1.436,0.528,67.209,0.610,2.722,0.367,0.820,251,525
85,o_02_FinalTH.tif,0.213,0,0,0,15.381,23.046,1.678,0.572,0.475,99.409,0.953,1.203,0.831,0.922,360,535
86,o_02_FinalTH.tif,0.165,0,0,0,14.119,23.086,1.463,0.486,0.431,63.828,0.967,1.128,0.887,0.929,331,537
87,o_02_FinalTH.tif,0.427,0,0,0,12.563,24.089,5.093,1.843,0.295,78.526,0.207,6.248,0.160,0.472,298,540
88,o_02_FinalTH.tif,0.096,0,0,0,9.608,23.179,1.243,0.511,0.239,29.455,0.780,2.139,0.467,0.841,226,541
89,o_02_FinalTH.tif,0.065,0,0,0,13.644,23.630,0.927,0.316,0.263,155.859,0.952,1.201,0.833,0.837,319,552
90,o_02_FinalTH.tif,0.168,0,0,0,15.570,23.723,1.473,0.468,0.458,120.547,0.975,1.023,0.978,0.916,364,552
91,o_02_FinalTH.tif,0.067,0,0,0,10.515,24.011,0.942,0.357,0.239,46.329,0.948,1.493,0.670,0.902,247,561
92,o_02_FinalTH.tif,0.315,0,0,0,13.751,24.349,3.081,1.063,0.377,34.762,0.417,2.818,0.355,0.707,329,561
93,o_02_FinalTH.tif,0.058,0,0,0,13.153,24.054,0.857,0.334,0.221,171.858,0.991,1.514,0.661,0.901,306,563
94,o_02_FinalTH.tif,0.152,0,0,0,14.876,24.184,1.653,0.712,0.272,150.753,0.699,2.617,0.382,0.853,343,564
95,o_02_FinalTH.tif,0.125,0,0,0,12.059,24.345,1.303,0.446,0.356,75.453,0.924,1.254,0.797,0.879,283,567
96,o_02_FinalTH.tif,0.128,0,0,0,14.351,24.571,1.292,0.425,0.385,72.365,0.966,1.106,0.904,0.916,335,573
97,o_02_FinalTH.tif,0.161,0,0,0,11.538,24.793,1.548,0.616,0.333,178.745,0.845,1.848,0.541,0.913,268,579
98,o_02_FinalTH.tif,0.612,0,0,0,14.318,25.147,5.684,1.951,0.399,4.528,0.238,4.889,0.205,0.514,359,579
99,o_02_FinalTH.tif,0.090,0,0,0,10.396,25.424,1.087,0.391,0.294,73.229,0.962,1.328,0.753,0.909,244,593
100,o_02_FinalTH.tif,0.264,0,0,0,10.803,25.952,2.359,1.004,0.335,82.941,0.597,2.996,0.334,0.851,255,599
