 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,r_27_FinalTH.tif,0.306,255,255,255,11.621,1.627,2.334,0.897,0.434,22.748,0.705,2.065,0.484,0.897,270,33
2,r_27_FinalTH.tif,0.409,255,255,255,12.340,2.126,2.485,0.904,0.576,36.274,0.832,1.571,0.637,0.924,291,42
3,r_27_FinalTH.tif,0.673,255,255,255,9.584,2.918,5.736,1.980,0.433,77.043,0.257,4.573,0.219,0.585,235,44
4,r_27_FinalTH.tif,0.534,255,255,255,13.858,3.017,3.145,1.331,0.511,97.133,0.678,2.606,0.384,0.910,324,56
5,r_27_FinalTH.tif,0.411,255,255,255,11.690,2.976,2.956,1.271,0.411,147.720,0.591,3.091,0.323,0.836,265,60
6,r_27_FinalTH.tif,0.177,255,255,255,10.088,3.163,1.643,0.637,0.354,41.439,0.825,1.798,0.556,0.903,240,68
7,r_27_FinalTH.tif,0.852,255,255,255,15.315,3.675,5.641,1.913,0.567,40.305,0.337,3.373,0.296,0.639,365,68
8,r_27_FinalTH.tif,2.115,255,255,255,17.335,4.450,14.103,2.454,1.098,130.513,0.134,2.235,0.447,0.506,391,69
9,r_27_FinalTH.tif,0.344,255,255,255,15.941,5.001,2.404,0.951,0.460,119.079,0.747,2.064,0.484,0.900,371,107
10,r_27_FinalTH.tif,1.281,255,255,255,14.952,6.479,8.653,3.546,0.460,83.311,0.215,7.710,0.130,0.624,350,111
11,r_27_FinalTH.tif,0.261,255,255,255,16.658,5.611,1.848,0.621,0.534,59.869,0.958,1.164,0.859,0.929,390,125
12,r_27_FinalTH.tif,0.599,255,255,255,8.741,6.725,4.102,1.790,0.426,92.406,0.447,4.202,0.238,0.808,202,140
13,r_27_FinalTH.tif,0.181,255,255,255,17.653,6.404,1.693,0.555,0.415,89.931,0.793,1.338,0.747,0.870,416,143
14,r_27_FinalTH.tif,0.626,255,255,255,10.102,6.716,4.253,1.925,0.414,152.827,0.435,4.647,0.215,0.831,217,147
15,r_27_FinalTH.tif,0.179,255,255,255,18.204,7.296,1.714,0.526,0.433,164.484,0.767,1.215,0.823,0.835,427,165
16,r_27_FinalTH.tif,1.171,255,255,255,13.027,7.909,6.918,2.211,0.674,22.025,0.307,3.280,0.305,0.686,326,171
17,r_27_FinalTH.tif,0.432,255,255,255,9.491,7.816,2.429,0.852,0.646,67.784,0.921,1.317,0.759,0.939,222,174
18,r_27_FinalTH.tif,0.785,255,255,255,12.264,9.079,4.674,1.770,0.565,154.068,0.452,3.132,0.319,0.716,271,199
19,r_27_FinalTH.tif,0.186,255,255,255,17.471,8.883,1.954,0.585,0.406,36.290,0.613,1.441,0.694,0.766,414,202
20,r_27_FinalTH.tif,0.219,255,255,255,10.790,8.977,1.728,0.618,0.451,107.587,0.921,1.371,0.729,0.920,251,204
21,r_27_FinalTH.tif,0.706,255,255,255,14.428,9.600,4.041,1.676,0.536,6.565,0.543,3.125,0.320,0.846,350,217
22,r_27_FinalTH.tif,0.237,255,255,255,9.363,9.863,2.029,0.791,0.381,113.255,0.724,2.075,0.482,0.882,217,223
23,r_27_FinalTH.tif,0.194,255,255,255,8.792,10.048,1.763,0.658,0.375,74.266,0.782,1.757,0.569,0.884,206,229
24,r_27_FinalTH.tif,0.669,255,255,255,6.531,10.382,4.454,1.663,0.512,152.988,0.424,3.247,0.308,0.791,144,232
25,r_27_FinalTH.tif,0.282,255,255,255,14.435,10.678,2.344,0.927,0.388,12.460,0.645,2.391,0.418,0.832,335,246
26,r_27_FinalTH.tif,0.226,255,255,255,8.561,11.036,1.763,0.618,0.466,90.144,0.914,1.324,0.755,0.919,200,252
27,r_27_FinalTH.tif,0.635,255,255,255,10.946,11.790,5.226,2.341,0.345,35.710,0.292,6.777,0.148,0.649,272,262
28,r_27_FinalTH.tif,0.519,255,255,255,7.587,11.781,4.419,0.958,0.690,178.419,0.334,1.387,0.721,0.637,183,263
29,r_27_FinalTH.tif,0.981,255,255,255,6.479,12.125,6.657,1.519,0.822,129.568,0.278,1.848,0.541,0.651,141,265
30,r_27_FinalTH.tif,0.190,255,255,255,11.922,11.746,1.643,0.570,0.424,31.196,0.884,1.345,0.743,0.909,278,271
31,r_27_FinalTH.tif,1.196,255,255,255,5.763,14.081,7.919,2.700,0.564,82.876,0.240,4.788,0.209,0.546,133,290
32,r_27_FinalTH.tif,0.393,255,255,255,5.094,13.049,2.755,1.065,0.469,89.168,0.650,2.268,0.441,0.866,117,295
33,r_27_FinalTH.tif,0.512,255,255,255,7.262,13.511,3.431,1.489,0.438,156.041,0.546,3.400,0.294,0.882,155,309
34,r_27_FinalTH.tif,0.593,255,255,255,4.691,14.645,3.577,1.396,0.541,56.308,0.583,2.578,0.388,0.818,113,331
