 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,3,1,3,1,43,0.799,1,0,0.959
2,1,0,2,0,9,0.478,0,0,0.478
3,3,1,3,3,10,0.248,1,0,0.308
4,5,2,4,6,23,0.318,2,0,0.659
5,3,1,3,1,57,0.998,1,0,1.512
6,3,1,3,1,35,0.633,1,0,0.992
7,3,1,3,1,35,0.627,1,0,1.162
8,3,1,3,3,28,0.538,1,0,1.112
9,1,0,2,0,25,1.176,0,0,1.176
10,1,0,2,0,55,2.681,0,0,2.681
11,5,2,4,4,67,0.765,2,0,2.507
12,3,1,3,1,21,0.393,1,0,0.666
13,1,0,2,0,18,0.932,0,0,0.932
14,1,0,2,0,62,3.226,0,0,3.226
15,0,0,1,0,0,0.000,0,0,0.000
16,1,0,2,0,14,0.726,0,0,0.726
17,1,0,2,0,2,0.163,0,0,0.163
18,1,0,2,0,4,0.266,0,0,0.266
19,1,0,2,0,0,0.060,0,0,0.060
20,1,0,2,0,19,1.027,0,0,1.027
21,1,0,2,0,1,0.085,0,0,0.085
22,1,0,2,0,13,0.648,0,0,0.648
23,1,0,2,0,16,0.846,0,0,0.846
24,1,0,2,0,17,0.907,0,0,0.907
25,1,0,2,0,11,0.528,0,0,0.528
26,1,0,2,0,52,2.519,0,0,2.519
27,3,1,3,3,11,0.268,1,0,0.428
28,1,0,2,0,9,0.496,0,0,0.496
29,1,0,2,0,11,0.528,0,0,0.528
30,1,0,2,0,16,0.899,0,0,0.899
31,1,0,2,0,57,2.749,0,0,2.749
32,1,0,2,0,8,0.489,0,0,0.489
33,3,1,3,3,15,0.319,1,0,0.393
34,1,0,2,0,20,1.052,0,0,1.052
35,1,0,2,0,3,0.205,0,0,0.205
36,6,2,5,6,107,0.967,1,1,3.992
