 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,9,0.478,0,0,0.478
2,1,0,2,0,1,0.103,0,0,0.103
3,1,0,2,0,22,1.154,0,0,1.154
4,1,0,2,0,100,4.966,0,0,4.966
5,1,0,2,0,12,0.606,0,0,0.606
6,1,0,2,0,0,0.060,0,0,0.060
7,1,0,2,0,20,1.069,0,0,1.069
8,1,0,2,0,0,0.060,0,0,0.060
9,3,1,3,1,70,1.205,1,0,1.923
10,5,2,4,2,238,2.427,2,0,7.657
11,3,1,3,1,12,0.254,1,0,0.351
12,1,0,2,0,40,1.973,0,0,1.973
13,1,0,2,0,11,0.599,0,0,0.599
14,1,0,2,0,8,0.436,0,0,0.436
15,1,0,2,0,51,2.652,0,0,2.652
16,1,0,2,0,41,2.016,0,0,2.016
17,3,1,3,1,94,1.645,1,0,2.730
18,1,0,2,0,28,1.374,0,0,1.374
19,1,0,2,0,36,1.803,0,0,1.803
20,1,0,2,0,32,1.827,0,0,1.827
21,1,0,2,0,12,0.571,0,0,0.571
22,3,1,3,3,38,0.715,1,0,1.520
23,1,0,2,0,25,1.405,0,0,1.405
24,1,0,2,0,13,0.648,0,0,0.648
25,1,0,2,0,32,1.545,0,0,1.545
26,1,0,2,0,11,0.581,0,0,0.581
27,1,0,2,0,12,0.729,0,0,0.729
28,1,0,2,0,31,1.573,0,0,1.573
29,1,0,2,0,10,0.626,0,0,0.626
30,1,0,2,0,24,1.240,0,0,1.240
31,1,0,2,0,26,1.272,0,0,1.272
32,1,0,2,0,10,0.591,0,0,0.591
33,1,0,2,0,9,0.443,0,0,0.443
34,3,1,3,1,41,0.794,1,0,1.080
35,1,0,2,0,39,2.071,0,0,2.071
36,1,0,2,0,11,0.599,0,0,0.599
37,1,0,2,0,18,0.861,0,0,0.861
38,1,0,2,0,26,1.413,0,0,1.413
39,1,0,2,0,2,0.128,0,0,0.128
