 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,4,0.213,0,0,0.213
2,1,0,2,0,5,0.290,0,0,0.290
3,1,0,2,0,2,0.163,0,0,0.163
4,1,0,2,0,28,1.498,0,0,1.498
5,1,0,2,0,0,0.060,0,0,0.060
6,0,0,1,0,0,0.000,0,0,0.000
7,1,0,2,0,15,0.822,0,0,0.822
8,5,2,4,4,49,0.582,2,0,0.846
9,1,0,2,0,32,1.545,0,0,1.545
10,1,0,2,0,9,0.513,0,0,0.513
11,1,0,2,0,13,0.719,0,0,0.719
12,1,0,2,0,46,2.087,0,0,2.087
13,3,1,3,1,16,0.346,1,0,0.566
14,1,0,2,0,14,0.761,0,0,0.761
15,1,0,2,0,13,0.666,0,0,0.666
16,1,0,2,0,13,0.648,0,0,0.648
17,3,1,3,1,27,0.490,1,0,1.077
18,1,0,2,0,18,0.896,0,0,0.896
19,1,0,2,0,15,0.822,0,0,0.822
20,1,0,2,0,5,0.273,0,0,0.273
21,1,0,2,0,12,0.729,0,0,0.729
22,1,0,2,0,19,1.062,0,0,1.062
23,1,0,2,0,8,0.418,0,0,0.418
24,1,0,2,0,31,1.678,0,0,1.678
25,1,0,2,0,26,1.413,0,0,1.413
26,1,0,2,0,7,0.376,0,0,0.376
27,1,0,2,0,12,0.694,0,0,0.694
28,1,0,2,0,0,0.043,0,0,0.043
29,1,0,2,0,48,2.419,0,0,2.419
30,1,0,2,0,5,0.308,0,0,0.308
31,0,0,1,0,0,0.000,0,0,0.000
32,1,0,2,0,43,2.083,0,0,2.083
33,1,0,2,0,17,0.871,0,0,0.871
34,1,0,2,0,7,0.464,0,0,0.464
35,0,0,1,0,0,0.000,0,0,0.000
36,1,0,2,0,1,0.085,0,0,0.085
37,1,0,2,0,3,0.223,0,0,0.223
38,1,0,2,0,22,1.049,0,0,1.049
39,1,0,2,0,22,1.084,0,0,1.084
40,1,0,2,0,1,0.085,0,0,0.085
41,1,0,2,0,3,0.223,0,0,0.223
42,1,0,2,0,7,0.358,0,0,0.358
43,1,0,2,0,0,0.060,0,0,0.060
44,1,0,2,0,48,2.349,0,0,2.349
45,0,0,1,0,0,0.000,0,0,0.000
46,1,0,2,0,39,1.790,0,0,1.790
47,1,0,2,0,4,0.230,0,0,0.230
48,1,0,2,0,22,1.102,0,0,1.102
49,1,0,2,0,2,0.145,0,0,0.145
50,0,0,1,0,0,0.000,0,0,0.000
51,0,0,1,0,0,0.000,0,0,0.000
52,1,0,2,0,12,0.659,0,0,0.659
53,1,0,2,0,15,0.716,0,0,0.716
54,1,0,2,0,1,0.103,0,0,0.103
55,0,0,1,0,0,0.000,0,0,0.000
56,1,0,2,0,12,0.747,0,0,0.747
57,1,0,2,0,2,0.180,0,0,0.180
58,1,0,2,0,30,1.512,0,0,1.512
59,1,0,2,0,25,1.247,0,0,1.247
60,1,0,2,0,7,0.428,0,0,0.428
61,0,0,1,0,0,0.000,0,0,0.000
62,1,0,2,0,73,3.535,0,0,3.535
63,1,0,2,0,2,0.128,0,0,0.128
64,1,0,2,0,10,0.591,0,0,0.591
65,0,0,1,0,0,0.000,0,0,0.000
66,1,0,2,0,48,2.366,0,0,2.366
67,0,0,1,0,0,0.000,0,0,0.000
68,3,1,3,3,50,0.915,1,0,1.257
69,1,0,2,0,0,0.060,0,0,0.060
70,1,0,2,0,25,1.264,0,0,1.264
