 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,9,0.425,0,0,0.425
2,0,0,1,0,0,0.000,0,0,0.000
3,1,0,2,0,3,0.205,0,0,0.205
4,1,0,2,0,2,0.145,0,0,0.145
5,1,0,2,0,1,0.085,0,0,0.085
6,1,0,2,0,76,3.909,0,0,3.909
7,1,0,2,0,37,1.933,0,0,1.933
8,3,1,3,1,81,1.379,1,0,2.242
9,1,0,2,0,12,0.588,0,0,0.588
10,3,1,3,1,6,0.139,1,0,0.230
11,1,0,2,0,8,0.436,0,0,0.436
12,1,0,2,0,4,0.283,0,0,0.283
13,1,0,2,0,17,0.942,0,0,0.942
14,1,0,2,0,25,1.247,0,0,1.247
15,1,0,2,0,45,2.291,0,0,2.291
16,1,0,2,0,3,0.188,0,0,0.188
17,1,0,2,0,9,0.461,0,0,0.461
18,1,0,2,0,15,0.822,0,0,0.822
19,1,0,2,0,0,0.060,0,0,0.060
20,1,0,2,0,0,0.043,0,0,0.043
21,1,0,2,0,15,0.822,0,0,0.822
22,1,0,2,0,20,0.999,0,0,0.999
23,3,1,3,1,36,0.623,1,0,1.417
24,0,0,1,0,0,0.000,0,0,0.000
25,5,2,4,4,68,0.747,2,0,0.914
26,0,0,1,0,0,0.000,0,0,0.000
27,0,0,1,0,0,0.000,0,0,0.000
28,3,1,3,3,9,0.222,1,0,0.230
29,1,0,2,0,13,0.719,0,0,0.719
30,3,1,3,1,35,0.662,1,0,1.062
31,1,0,2,0,6,0.315,0,0,0.315
32,1,0,2,0,10,0.503,0,0,0.503
33,1,0,2,0,11,0.634,0,0,0.634
34,1,0,2,0,5,0.308,0,0,0.308
35,1,0,2,0,0,0.043,0,0,0.043
36,3,1,3,1,14,0.276,1,0,0.623
37,1,0,2,0,8,0.436,0,0,0.436
38,1,0,2,0,19,0.992,0,0,0.992
39,1,0,2,0,15,0.751,0,0,0.751
40,1,0,2,0,49,2.479,0,0,2.479
41,1,0,2,0,24,1.310,0,0,1.310
42,1,0,2,0,5,0.255,0,0,0.255
43,1,0,2,0,11,0.581,0,0,0.581
44,3,1,3,3,38,0.704,1,0,1.530
45,1,0,2,0,15,0.804,0,0,0.804
46,0,0,1,0,0,0.000,0,0,0.000
47,1,0,2,0,5,0.326,0,0,0.326
48,1,0,2,0,18,0.932,0,0,0.932
49,1,0,2,0,23,1.285,0,0,1.285
50,1,0,2,0,11,0.599,0,0,0.599
51,1,0,2,0,6,0.368,0,0,0.368
52,1,0,2,0,3,0.205,0,0,0.205
53,1,0,2,0,15,0.839,0,0,0.839
54,1,0,2,0,18,0.843,0,0,0.843
55,1,0,2,0,0,0.043,0,0,0.043
56,0,0,1,0,0,0.000,0,0,0.000
57,0,0,1,0,0,0.000,0,0,0.000
58,1,0,2,0,2,0.163,0,0,0.163
59,0,0,1,0,0,0.000,0,0,0.000
60,0,0,1,0,0,0.000,0,0,0.000
61,1,0,2,0,12,0.694,0,0,0.694
62,1,0,2,0,8,0.489,0,0,0.489
63,1,0,2,0,7,0.393,0,0,0.393
