C1,C2,C1/C2,Obj. Func,Time
0.01094169,0.00477666,2.29065707,1.056374624,11631.3031
0.00978896,0.00767095,1.276107914,1.002548045,14779.9894
0.00776758,0.00737778,1.052834321,1.00601676,14440.93802
0.00758466,0.00198721,3.81673804,1.133185521,14776.75799
0.00690794,0.00833073,0.829211846,1.164571001,8785.208757
0.00453268,0.00981971,0.461590006,1.150228561,11138.05125
0.01114076,0.00442294,2.518858497,1.073103714,11019.09911
0.01102202,0.00161611,6.820092692,1.124658242,9079.799435
0.01153953,0.00670841,1.720158726,1.006222607,15334.61851
0.01094716,0.00218833,5.002517902,1.06440188,15766.51333
0.01073166,0.00404804,2.651075582,1.108421268,9537.936935
0.01218149,0.00792999,1.536129302,1.149372433,6003.094299
0.01288366,0.00543395,2.370956671,1.052253741,11027.663
0.00638269,0.00740342,0.862127233,1.016657313,8867.466277
0.00855941,0.00707567,1.209696043,0.986762746,9587.681605
