Label,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
1,0.124,1.616,0.472,0.414,1.000,14.028,14.712,1.320,1.711,0,1.200,14.411,1.546,0.575,14.411,1.546,0.575,0.814,0.410,0.205,45.866,-83.507,63.163,1.986,3.975,2.002,14.468,1.564,0.000,0.114
2,329.185,2192.480,389.905,0.001,-327.500,3.177,46.239,1.515,41.351,0,4.800,23.818,21.833,2.178,23.818,21.833,2.178,26.800,17.902,2.463,44.584,-1.484,-1.070,1.497,10.882,7.269,25.905,38.907,4.400,0.261
3,0.059,0.769,0.437,0.874,0.000,17.938,18.280,4.301,4.839,0,0.400,18.115,4.583,0.200,18.115,4.583,0.200,0.408,0.344,0.243,0.000,-90.000,-174.735,1.186,1.678,1.414,18.036,4.448,0.000,0.081
4,1.482,10.804,1.836,0.197,-1.000,9.629,11.389,5.621,7.234,0,2.000,10.487,6.372,1.030,10.487,6.372,1.030,1.216,0.953,0.664,13.031,-87.205,-111.967,1.276,1.830,1.434,10.704,6.452,0.000,0.163
5,0.296,2.768,0.731,0.468,1.000,19.844,20.675,12.757,13.539,0,1.600,20.287,13.132,0.714,20.287,13.132,0.714,0.946,0.399,0.358,25.414,72.025,-64.265,2.371,2.644,1.115,20.284,13.148,0.800,0.114
6,9.349,59.903,10.177,0.046,-1.000,13.588,19.453,14.077,20.187,0,4.800,16.225,16.700,2.179,16.225,16.700,2.179,3.918,2.322,1.169,-39.055,10.422,-110.080,1.687,3.351,1.986,14.761,17.498,0.400,0.196
7,0.324,2.386,0.670,0.874,1.000,19.356,20.333,18.134,18.965,0,0.800,19.832,18.525,0.385,19.832,18.525,0.385,0.651,0.560,0.320,36.059,43.550,-92.340,1.163,2.034,1.750,19.551,18.280,0.000,0.130
8,1.133,9.276,2.680,0.182,1.000,14.761,18.329,18.525,21.311,0,0.800,16.440,19.885,0.459,16.440,19.885,0.459,2.765,0.661,0.552,-43.523,0.211,144.502,4.185,5.013,1.198,17.889,18.720,0.000,0.130
9,0.812,6.064,1.492,0.335,1.000,17.694,19.160,18.623,20.627,0,0.800,18.304,19.613,0.402,18.304,19.613,0.402,1.347,0.610,0.522,-61.900,-1.639,74.960,2.209,2.581,1.169,18.916,18.769,0.000,0.130
10,0.687,4.826,1.062,0.475,1.000,20.431,21.555,18.965,19.991,0,2.000,21.038,19.518,0.931,21.038,19.518,0.931,1.248,0.538,0.454,39.536,74.304,-69.432,2.322,2.748,1.183,21.018,19.502,0.000,0.179
11,1.339,8.528,2.118,0.327,0.000,15.836,17.352,20.724,23.559,0,0.800,16.545,22.043,0.411,16.545,22.043,0.411,1.669,0.633,0.602,-73.389,0.704,162.210,2.635,2.773,1.053,16.570,20.871,0.000,0.130
12,2.227,17.973,3.408,0.097,1.000,26.883,29.718,22.533,25.563,0,2.000,28.521,24.187,0.945,28.521,24.187,0.945,2.197,1.103,0.974,-46.977,3.671,143.733,1.992,2.255,1.132,28.985,23.168,0.000,0.196
13,5.169,37.266,6.115,0.058,-2.000,35.241,38.711,21.897,26.296,0,4.000,36.767,23.980,1.971,36.767,23.980,1.971,2.482,2.263,0.957,153.132,-53.476,-169.085,1.097,2.592,2.363,37.050,23.217,0.000,0.147
14,0.469,4.666,1.663,0.245,0.000,6.012,7.478,23.706,25.856,0,1.600,6.761,24.785,0.958,6.761,24.785,0.958,1.735,0.514,0.329,-55.980,33.322,-89.582,3.379,5.272,1.560,7.234,23.950,0.000,0.098
15,0.639,4.701,1.002,0.445,0.500,17.889,19.258,23.804,24.928,0,2.000,18.563,24.294,0.913,18.563,24.294,0.913,1.286,0.518,0.433,40.095,-58.568,66.937,2.485,2.973,1.196,18.427,24.048,0.000,0.179
