 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,361,184,132,514,2809,1.331,150,27,5.262
2,1,0,2,0,59,6.249,0,0,6.249
3,9,4,5,11,42,1.123,3,1,2.456
4,3,1,3,1,2,0.462,1,0,0.455
5,15,8,5,19,140,1.700,7,1,4.353
6,4,1,4,1,20,0.954,0,1,1.304
7,1,0,2,0,12,1.788,0,0,1.788
8,335,174,99,511,2281,1.282,135,28,4.237
9,3,1,3,1,23,1.084,1,0,1.189
10,1,0,2,0,8,1.174,0,0,1.174
11,3,1,3,1,6,0.306,1,0,0.475
12,1,0,2,0,15,0.863,0,0,0.863
13,1,0,2,0,7,0.533,0,0,0.533
14,1,0,2,0,1,0.098,0,0,0.098
15,1,0,2,0,16,3.826,0,0,3.826
16,5,2,4,2,25,0.631,2,0,0.786
17,7,3,3,6,83,1.561,2,0,3.828
18,2,1,1,1,22,1.544,1,0,1.805
19,1,0,2,0,12,1.788,0,0,1.788
20,0,0,1,0,0,0.000,0,0,0.000
21,3,1,3,3,23,1.690,1,0,2.760
22,1,0,2,0,10,1.347,0,0,1.347
23,1,0,2,0,13,1.851,0,0,1.851
24,4,2,2,2,22,1.156,2,0,3.273
25,5,2,4,6,24,0.802,2,0,1.264
26,1,0,2,0,16,3.069,0,0,3.069
27,1,0,2,0,2,0.207,0,0,0.207
28,4,2,2,2,17,1.005,2,0,2.283
29,1,0,2,0,0,0.406,0,0,0.406
30,1,0,2,0,3,0.573,0,0,0.573
31,5,2,4,6,32,0.976,2,0,1.796
32,1,0,2,0,39,6.727,0,0,6.727
33,5,2,4,2,49,1.196,2,0,2.369
34,2,1,1,1,16,1.022,1,0,1.215
35,1,0,2,0,5,1.756,0,0,1.756
36,1,0,2,0,6,0.423,0,0,0.423
37,1,0,2,0,5,0.671,0,0,0.671
38,6,3,3,3,49,1.174,3,0,1.909
39,3,1,3,1,43,0.990,1,0,1.787
40,1,0,2,0,1,0.138,0,0,0.138
41,1,0,2,0,4,0.622,0,0,0.622
42,1,0,2,0,4,0.639,0,0,0.639
43,1,0,2,0,16,1.309,0,0,1.309
44,1,0,2,0,9,0.651,0,0,0.651
45,1,0,2,0,4,0.305,0,0,0.305
46,1,0,2,0,22,1.225,0,0,1.225
47,1,0,2,0,10,0.700,0,0,0.700
48,1,0,2,0,11,0.749,0,0,0.749
49,1,0,2,0,9,0.550,0,0,0.550
50,1,0,2,0,6,0.464,0,0,0.464
51,1,0,2,0,6,0.383,0,0,0.383
52,1,0,2,0,3,0.236,0,0,0.236
