 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.726,255,255,255,3.282,1.151,0.802,136.958,0.847,1.435,0.697,0.929,219,64
2,0.599,255,255,255,2.971,0.961,0.793,83.871,0.853,1.212,0.825,0.923,92,65
3,0.289,255,255,255,2.019,0.663,0.556,53.635,0.893,1.192,0.839,0.938,446,77
4,0.593,255,255,255,3.106,1.104,0.684,48.861,0.773,1.613,0.620,0.912,254,86
5,0.751,255,255,255,3.417,1.345,0.711,42.442,0.808,1.893,0.528,0.930,352,86
6,0.543,255,255,255,2.830,1.051,0.658,11.730,0.852,1.597,0.626,0.952,418,87
7,0.740,255,255,255,3.973,1.352,0.697,4.532,0.589,1.940,0.515,0.815,184,88
8,1.625,255,255,255,6.392,2.139,0.967,52.025,0.500,2.211,0.452,0.747,492,96
9,0.248,255,255,255,2.124,0.601,0.526,131.978,0.690,1.143,0.875,0.878,69,102
10,0.327,255,255,255,2.089,0.735,0.567,14.749,0.943,1.296,0.772,0.931,314,105
11,0.519,255,255,255,2.645,0.888,0.744,19.751,0.933,1.194,0.838,0.941,288,113
12,0.592,255,255,255,3.195,1.297,0.581,167.720,0.728,2.233,0.448,0.940,385,113
13,0.545,255,255,255,3.021,1.065,0.651,169.849,0.750,1.636,0.611,0.904,168,127
14,0.441,255,255,255,2.465,0.813,0.691,20.767,0.913,1.177,0.850,0.930,549,130
15,0.271,255,255,255,2.139,0.812,0.426,74.258,0.745,1.907,0.524,0.898,247,133
16,0.246,255,255,255,2.079,0.868,0.361,170.706,0.716,2.406,0.416,0.907,197,135
17,2.976,255,255,255,13.109,4.134,0.917,58.055,0.218,4.510,0.222,0.636,305,147
18,1.447,255,255,255,6.332,2.069,0.891,174.775,0.454,2.322,0.431,0.776,196,150
19,0.400,255,255,255,2.404,0.809,0.630,43.572,0.869,1.284,0.779,0.923,528,160
20,0.340,255,255,255,2.415,0.835,0.519,86.400,0.733,1.609,0.621,0.887,401,161
21,0.268,255,255,255,1.909,0.602,0.567,135.285,0.924,1.062,0.941,0.919,438,163
22,0.876,255,255,255,4.292,1.693,0.659,161.877,0.597,2.570,0.389,0.888,469,172
23,1.102,255,255,255,6.116,1.769,0.793,116.815,0.370,2.231,0.448,0.659,424,173
24,0.602,255,255,255,2.825,0.947,0.810,5.763,0.948,1.168,0.856,0.947,46,179
25,0.552,255,255,255,2.780,0.967,0.726,88.028,0.897,1.332,0.751,0.937,326,185
26,0.812,255,255,255,3.807,1.409,0.734,173.360,0.704,1.919,0.521,0.874,528,199
27,0.235,255,255,255,1.763,0.600,0.499,13.079,0.951,1.203,0.831,0.925,345,200
28,0.669,255,255,255,3.166,1.238,0.688,38.946,0.839,1.799,0.556,0.950,161,204
29,1.610,255,255,255,6.722,2.480,0.827,30.506,0.448,2.999,0.333,0.781,211,204
30,0.850,255,255,255,4.153,1.727,0.627,51.402,0.620,2.755,0.363,0.868,124,212
31,0.490,255,255,255,2.805,1.060,0.589,85.958,0.783,1.800,0.556,0.922,98,219
32,1.393,255,255,255,5.715,2.149,0.825,65.862,0.536,2.604,0.384,0.803,532,223
33,0.212,255,255,255,1.834,0.722,0.373,33.827,0.791,1.934,0.517,0.883,418,230
34,1.102,255,255,255,4.908,1.961,0.716,85.106,0.575,2.740,0.365,0.839,435,239
35,1.453,255,255,255,7.053,1.731,1.069,116.102,0.367,1.619,0.618,0.698,115,250
36,0.423,255,255,255,2.695,1.070,0.504,164.505,0.733,2.125,0.471,0.890,146,258
37,0.244,255,255,255,2.570,0.898,0.346,46.117,0.465,2.596,0.385,0.696,380,258
38,0.548,255,255,255,3.767,1.380,0.506,20.873,0.485,2.728,0.367,0.737,306,266
39,0.414,255,255,255,2.429,0.819,0.644,57.434,0.882,1.271,0.787,0.929,532,269
40,0.762,255,255,255,4.678,1.688,0.574,6.983,0.437,2.940,0.340,0.785,188,274
41,0.364,255,255,255,2.294,0.840,0.551,57.592,0.868,1.524,0.656,0.922,164,275
