 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.711,249.160,0,255,4.695,1.045,0.866,146.424,0.405,1.207,0.829,0.693,333,15
2,2.332,255.000,255,255,11.381,2.435,1.219,125.288,0.226,1.997,0.501,0.524,212,22
3,1.165,255.000,255,255,5.566,1.507,0.984,80.976,0.473,1.531,0.653,0.787,248,22
4,2.813,255.000,255,255,10.539,2.984,1.201,142.335,0.318,2.485,0.402,0.682,32,23
5,0.297,255.000,255,255,2.164,0.684,0.552,85.737,0.796,1.239,0.807,0.909,309,44
6,4.062,250.002,0,255,19.807,3.395,1.523,118.575,0.130,2.229,0.449,0.475,135,45
7,4.264,255.000,255,255,18.320,2.674,2.030,37.978,0.160,1.317,0.759,0.595,326,63
8,0.297,255.000,255,255,3.056,0.976,0.387,89.716,0.399,2.520,0.397,0.618,224,86
9,0.943,255.000,255,255,5.767,1.182,1.016,19.799,0.356,1.163,0.860,0.694,102,91
10,0.695,255.000,255,255,4.068,1.639,0.540,128.112,0.528,3.036,0.329,0.814,54,110
11,0.635,255.000,255,255,3.697,1.354,0.597,105.309,0.584,2.267,0.441,0.854,267,110
12,2.862,254.033,0,255,13.926,2.776,1.313,151.060,0.185,2.114,0.473,0.584,398,121
13,2.016,249.277,0,255,10.381,2.007,1.278,160.600,0.235,1.570,0.637,0.586,198,128
14,0.769,255.000,255,255,5.269,1.501,0.652,80.803,0.348,2.302,0.434,0.701,286,131
15,0.867,255.000,255,255,4.954,1.615,0.683,5.197,0.444,2.364,0.423,0.700,139,148
16,1.002,255.000,255,255,4.703,1.523,0.838,23.206,0.569,1.818,0.550,0.829,383,169
17,0.753,255.000,255,255,3.852,1.341,0.715,156.004,0.637,1.877,0.533,0.825,161,177
18,0.320,255.000,255,255,2.425,0.721,0.566,148.571,0.684,1.274,0.785,0.868,472,179
19,1.836,252.488,0,255,10.925,1.865,1.254,155.345,0.193,1.488,0.672,0.546,324,181
20,0.624,249.087,0,255,3.085,0.914,0.869,21.196,0.824,1.052,0.951,0.909,228,194
21,0.273,255.000,255,255,1.958,0.701,0.496,11.349,0.895,1.414,0.707,0.932,419,197
22,0.811,249.308,0,255,4.182,1.565,0.660,176.599,0.582,2.373,0.421,0.870,391,199
23,1.069,255.000,255,255,5.220,2.085,0.653,28.917,0.493,3.194,0.313,0.808,444,202
24,0.324,252.151,0,255,2.299,0.744,0.554,65.230,0.770,1.343,0.745,0.884,202,222
25,0.329,226.978,0,255,2.365,0.721,0.581,41.265,0.740,1.241,0.806,0.869,469,227
26,0.324,255.000,255,255,2.330,0.928,0.444,114.696,0.750,2.090,0.478,0.902,354,232
27,0.713,251.764,0,255,6.713,1.269,0.715,129.609,0.199,1.774,0.564,0.550,270,234
28,2.564,251.221,0,255,14.627,3.407,0.958,152.637,0.151,3.555,0.281,0.459,421,241
29,0.999,253.152,0,255,4.413,1.334,0.953,28.615,0.645,1.399,0.715,0.849,211,243
30,1.294,252.503,0,255,6.686,1.639,1.005,121.093,0.364,1.631,0.613,0.688,336,248
31,1.064,252.832,0,255,7.008,2.050,0.661,45.651,0.272,3.101,0.322,0.608,240,261
32,0.204,255.000,255,255,1.703,0.546,0.477,86.228,0.886,1.145,0.873,0.900,358,282
33,0.470,255.000,255,255,3.437,0.994,0.602,8.157,0.500,1.650,0.606,0.743,320,284
34,0.602,255.000,255,255,3.211,0.907,0.846,114.176,0.734,1.073,0.932,0.887,183,292
35,0.250,255.000,255,255,2.550,0.645,0.493,96.391,0.483,1.310,0.763,0.756,243,311
36,0.297,250.335,0,255,3.742,0.777,0.486,171.033,0.266,1.596,0.626,0.622,435,315
37,3.908,254.056,0,255,15.470,3.326,1.496,119.998,0.205,2.223,0.450,0.511,296,318
38,0.362,255.000,255,255,3.222,1.229,0.375,141.471,0.438,3.280,0.305,0.762,337,334
39,0.443,255.000,255,255,3.728,0.863,0.654,87.456,0.401,1.321,0.757,0.723,456,341
40,1.140,252.167,0,255,6.678,1.414,1.027,113.158,0.321,1.377,0.726,0.709,215,347
41,0.219,255.000,255,255,2.029,0.776,0.359,68.999,0.668,2.163,0.462,0.849,415,351
42,0.232,255.000,255,255,2.330,0.576,0.512,132.391,0.536,1.126,0.888,0.755,364,363
43,0.371,255.000,255,255,3.247,0.724,0.652,48.060,0.442,1.110,0.901,0.721,416,373
44,0.282,255.000,255,255,2.465,0.893,0.403,36.029,0.584,2.217,0.451,0.817,190,385
45,0.255,255.000,255,255,2.730,0.796,0.408,2.723,0.430,1.951,0.513,0.736,389,397
46,0.825,253.322,0,255,3.842,1.062,0.989,38.875,0.702,1.073,0.932,0.875,230,398
47,0.335,255.000,255,255,2.896,0.861,0.495,95.732,0.502,1.740,0.575,0.755,309,431
