 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.631,255,255,255,4.419,1.744,0.461,112.478,0.406,3.781,0.264,0.741,154,29
2,0.577,255,255,255,3.753,1.197,0.614,44.265,0.515,1.949,0.513,0.798,238,60
3,0.387,255,255,255,2.935,0.949,0.519,100.334,0.565,1.828,0.547,0.812,193,175
4,0.460,255,255,255,3.753,1.143,0.512,105.322,0.410,2.232,0.448,0.727,343,207
5,0.695,255,255,255,5.381,1.168,0.757,175.925,0.302,1.542,0.648,0.710,440,210
6,0.811,255,255,255,5.215,1.893,0.545,177.466,0.374,3.472,0.288,0.733,296,214
7,0.787,255,255,255,6.958,1.561,0.642,44.495,0.204,2.433,0.411,0.505,415,226
8,0.297,255,255,255,2.259,0.861,0.439,33.501,0.731,1.962,0.510,0.884,513,238
9,0.877,255,255,255,4.904,1.507,0.741,71.591,0.458,2.033,0.492,0.790,575,239
10,0.224,255,255,255,2.610,0.905,0.316,28.694,0.414,2.868,0.349,0.665,357,275
11,0.709,255,255,255,4.514,1.458,0.619,57.289,0.437,2.353,0.425,0.737,535,277
12,1.064,255,255,255,6.433,1.260,1.075,28.704,0.323,1.172,0.853,0.730,453,288
13,0.530,255,255,255,2.836,1.024,0.659,146.136,0.828,1.555,0.643,0.916,476,296
14,0.215,255,255,255,1.909,0.645,0.425,68.048,0.743,1.518,0.659,0.885,80,300
15,0.242,255,255,255,2.691,0.758,0.407,56.453,0.421,1.863,0.537,0.619,404,308
16,0.798,255,255,255,6.518,1.192,0.852,54.323,0.236,1.400,0.714,0.561,238,314
17,1.147,255,255,255,4.975,1.795,0.814,148.079,0.582,2.206,0.453,0.848,146,325
18,0.221,255,255,255,2.319,0.642,0.437,105.145,0.516,1.468,0.681,0.731,282,334
19,0.595,255,255,255,5.400,2.041,0.371,93.257,0.257,5.495,0.182,0.726,126,338
20,0.338,255,255,255,2.896,0.784,0.549,134.080,0.507,1.429,0.700,0.789,385,348
21,2.052,255,255,255,9.161,2.750,0.950,125.256,0.307,2.894,0.345,0.663,651,349
22,0.313,255,255,255,2.465,0.752,0.530,50.565,0.648,1.420,0.704,0.826,152,370
23,0.539,255,255,255,4.143,1.051,0.653,130.544,0.395,1.610,0.621,0.674,323,374
24,0.722,255,255,255,3.286,1.023,0.899,85.076,0.840,1.138,0.879,0.909,42,377
25,0.451,255,255,255,2.575,0.828,0.693,169.549,0.854,1.195,0.837,0.907,695,387
26,2.113,255,255,255,12.122,2.595,1.037,169.713,0.181,2.503,0.399,0.534,130,407
27,0.358,255,255,255,4.114,1.260,0.362,36.590,0.266,3.481,0.287,0.578,217,407
28,0.472,255,255,255,3.211,1.043,0.576,38.752,0.575,1.809,0.553,0.803,704,411
29,0.394,255,255,255,2.825,1.026,0.490,83.290,0.621,2.095,0.477,0.823,263,414
30,1.388,255,255,255,8.176,1.576,1.121,177.328,0.261,1.406,0.711,0.666,688,441
31,0.251,255,255,255,2.811,0.731,0.438,41.306,0.400,1.671,0.598,0.633,285,445
32,0.219,255,255,255,1.788,0.679,0.410,66.959,0.860,1.656,0.604,0.913,313,471
