 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.792,255.000,255,255,3.541,1.353,0.746,14.778,0.794,1.814,0.551,0.933,716,62
2,1.089,255.000,255,255,5.014,2.091,0.663,110.204,0.544,3.152,0.317,0.855,455,82
3,1.458,255.000,255,255,6.678,1.973,0.941,9.352,0.411,2.097,0.477,0.767,510,93
4,0.827,255.000,255,255,4.303,1.589,0.663,28.719,0.561,2.398,0.417,0.796,399,99
5,0.850,255.000,255,255,5.265,1.201,0.901,128.137,0.385,1.333,0.750,0.670,425,102
6,0.783,255.000,255,255,5.070,1.644,0.607,31.694,0.383,2.709,0.369,0.686,570,106
7,0.385,255.000,255,255,2.234,0.737,0.666,27.559,0.970,1.107,0.904,0.940,850,108
8,1.257,255.000,255,255,5.315,2.206,0.726,32.824,0.559,3.040,0.329,0.815,775,113
9,0.729,255.000,255,255,3.792,1.310,0.709,106.570,0.637,1.848,0.541,0.864,383,128
10,1.594,255.000,255,255,8.786,1.758,1.154,162.367,0.259,1.524,0.656,0.555,414,130
11,0.304,255.000,255,255,2.294,0.828,0.467,103.324,0.726,1.773,0.564,0.889,275,134
12,0.644,255.000,255,255,3.166,1.199,0.684,70.396,0.808,1.752,0.571,0.932,884,145
13,0.563,255.000,255,255,4.118,1.291,0.555,6.161,0.417,2.327,0.430,0.732,496,148
14,2.712,249.897,0,255,12.532,2.039,1.694,48.579,0.217,1.204,0.831,0.652,365,149
15,0.396,255.000,255,255,2.465,0.908,0.555,51.861,0.820,1.635,0.612,0.914,467,159
16,1.923,255.000,255,255,10.491,1.861,1.316,13.514,0.220,1.414,0.707,0.577,587,167
17,0.655,255.000,255,255,3.452,1.387,0.601,123.310,0.691,2.307,0.434,0.858,263,179
18,0.868,255.000,255,255,3.987,1.161,0.952,77.079,0.686,1.220,0.820,0.872,521,186
19,0.355,255.000,255,255,2.284,0.867,0.521,163.903,0.854,1.666,0.600,0.933,484,200
20,0.554,255.000,255,255,3.888,1.273,0.554,13.845,0.460,2.298,0.435,0.779,707,200
21,0.517,255.000,255,255,2.645,0.911,0.723,62.805,0.929,1.260,0.794,0.941,837,202
22,1.055,255.000,255,255,5.410,1.800,0.746,6.304,0.453,2.412,0.415,0.747,287,205
23,1.988,255.000,255,255,9.688,2.263,1.119,68.415,0.266,2.023,0.494,0.576,194,211
24,0.282,255.000,255,255,2.189,0.818,0.439,5.611,0.740,1.861,0.537,0.899,601,216
25,0.320,255.000,255,255,2.239,0.868,0.470,73.969,0.803,1.850,0.541,0.934,321,218
26,0.378,255.000,255,255,2.344,0.831,0.579,177.583,0.865,1.435,0.697,0.925,567,219
27,0.744,255.000,255,255,3.622,1.218,0.777,177.147,0.712,1.567,0.638,0.865,412,223
28,1.353,253.636,0,255,7.663,1.884,0.915,73.155,0.290,2.059,0.486,0.598,459,232
29,0.852,255.000,255,255,4.016,1.661,0.653,12.132,0.664,2.544,0.393,0.901,546,233
30,3.633,255.000,255,255,20.121,3.138,1.474,170.225,0.113,2.128,0.470,0.533,599,237
31,2.381,255.000,255,255,12.522,2.499,1.213,48.239,0.191,2.060,0.485,0.479,714,252
32,0.512,255.000,255,255,3.006,1.050,0.621,2.267,0.712,1.692,0.591,0.860,522,261
33,0.633,255.000,255,255,4.027,1.467,0.550,144.381,0.491,2.670,0.375,0.701,256,270
34,0.713,255.000,255,255,3.807,1.206,0.753,36.716,0.618,1.602,0.624,0.819,193,281
35,2.102,255.000,255,255,11.566,2.017,1.327,104.905,0.198,1.519,0.658,0.603,773,281
36,1.095,255.000,255,255,5.952,1.797,0.776,89.011,0.388,2.316,0.432,0.682,587,284
37,0.691,255.000,255,255,3.647,1.208,0.728,16.313,0.653,1.659,0.603,0.828,239,285
38,0.273,255.000,255,255,1.979,0.745,0.467,28.511,0.877,1.596,0.627,0.915,443,287
39,0.333,255.000,255,255,2.139,0.707,0.600,16.794,0.914,1.179,0.848,0.932,159,295
40,0.561,255.000,255,255,3.265,1.320,0.541,4.919,0.661,2.442,0.410,0.910,363,296
41,1.677,255.000,255,255,8.215,2.200,0.970,74.130,0.312,2.267,0.441,0.626,113,300
42,0.577,255.000,255,255,2.900,1.033,0.712,163.480,0.862,1.451,0.689,0.935,403,300
43,0.872,255.000,255,255,4.639,1.128,0.984,59.857,0.509,1.146,0.872,0.749,255,301
