 ,Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,XStart,YStart
1,0.490,255.000,255,255,4.854,1.028,0.607,78.876,0.261,1.694,0.590,0.552,333,75
2,1.350,255.000,255,255,6.161,2.346,0.733,169.700,0.447,3.202,0.312,0.713,407,78
3,0.849,255.000,255,255,3.728,1.094,0.988,31.112,0.767,1.107,0.903,0.900,384,114
4,0.773,255.000,255,255,3.836,1.579,0.623,97.628,0.660,2.535,0.395,0.885,329,135
5,1.171,254.212,0,255,5.440,1.994,0.747,101.128,0.497,2.669,0.375,0.803,279,138
6,0.707,255.000,255,255,3.467,1.204,0.748,12.907,0.740,1.609,0.621,0.886,443,145
7,1.091,255.000,255,255,5.375,1.817,0.764,46.904,0.475,2.377,0.421,0.748,366,147
8,0.572,255.000,255,255,3.091,1.092,0.667,36.485,0.752,1.639,0.610,0.899,496,154
9,0.803,255.000,255,255,4.533,1.926,0.531,14.905,0.491,3.626,0.276,0.869,438,172
10,0.908,255.000,255,255,4.394,1.585,0.730,54.901,0.591,2.172,0.460,0.799,391,177
11,1.845,255.000,255,255,10.235,2.269,1.036,91.498,0.221,2.190,0.457,0.525,586,178
12,4.887,244.332,0,255,19.005,4.801,1.296,5.590,0.170,3.704,0.270,0.456,547,180
13,2.594,255.000,255,255,11.347,2.904,1.138,67.087,0.253,2.552,0.392,0.597,247,206
14,0.959,255.000,255,255,4.829,1.896,0.644,36.490,0.517,2.946,0.339,0.825,286,211
15,0.525,255.000,255,255,2.691,0.847,0.789,141.391,0.911,1.074,0.931,0.931,396,214
16,0.485,255.000,255,255,2.620,0.818,0.755,32.021,0.888,1.083,0.923,0.924,317,224
17,0.539,255.000,255,255,3.021,1.103,0.622,61.029,0.743,1.772,0.564,0.870,377,225
18,0.926,255.000,255,255,4.462,1.846,0.639,168.426,0.585,2.889,0.346,0.879,465,225
19,1.413,255.000,255,255,6.477,1.868,0.963,74.483,0.423,1.940,0.516,0.687,349,228
20,0.347,255.000,255,255,2.570,0.865,0.511,122.497,0.661,1.692,0.591,0.831,634,242
21,0.481,255.000,255,255,3.031,1.045,0.587,11.156,0.658,1.781,0.561,0.861,238,244
22,0.675,255.000,255,255,4.838,1.990,0.432,84.562,0.362,4.607,0.217,0.750,570,260
23,1.446,255.000,255,255,6.993,2.608,0.706,110.333,0.371,3.696,0.271,0.726,714,269
24,0.261,255.000,255,255,2.124,0.901,0.368,44.697,0.726,2.445,0.409,0.909,255,270
25,1.509,255.000,255,255,6.516,1.613,1.191,91.969,0.447,1.354,0.739,0.743,310,278
26,1.044,255.000,255,255,4.224,1.636,0.812,123.931,0.735,2.014,0.497,0.893,663,287
27,1.945,255.000,255,255,9.456,2.138,1.158,40.675,0.273,1.846,0.542,0.665,202,291
28,0.320,255.000,255,255,2.079,0.711,0.574,119.889,0.931,1.238,0.807,0.934,697,298
29,1.245,255.000,255,255,5.435,1.697,0.934,11.320,0.529,1.818,0.550,0.781,607,301
30,4.331,255.000,255,255,19.901,3.389,1.627,87.817,0.137,2.083,0.480,0.410,272,302
31,1.337,255.000,255,255,6.286,2.161,0.788,169.960,0.425,2.743,0.365,0.776,508,303
32,2.032,255.000,255,255,9.383,2.373,1.090,65.771,0.290,2.177,0.459,0.591,747,304
33,0.501,255.000,255,255,3.350,1.378,0.463,173.515,0.561,2.978,0.336,0.879,337,310
34,0.765,255.000,255,255,3.813,1.571,0.620,44.127,0.662,2.532,0.395,0.877,391,323
35,0.241,255.000,255,255,1.909,0.605,0.506,47.271,0.830,1.197,0.836,0.899,491,337
36,1.509,255.000,255,255,7.423,2.446,0.785,127.646,0.344,3.114,0.321,0.606,686,341
37,0.389,255.000,255,255,2.394,0.836,0.592,78.492,0.853,1.411,0.709,0.929,510,346
38,1.771,255.000,255,255,7.379,2.949,0.765,39.921,0.409,3.857,0.259,0.760,410,358
39,3.467,255.000,255,255,15.881,3.023,1.460,90.261,0.173,2.070,0.483,0.591,665,361
40,1.189,255.000,255,255,5.983,1.911,0.792,124.134,0.417,2.412,0.415,0.723,181,362
41,1.142,255.000,255,255,6.166,1.660,0.875,92.766,0.377,1.897,0.527,0.623,335,365
42,2.068,234.921,0,255,6.257,1.886,1.396,140.995,0.664,1.351,0.740,0.845,581,370
43,0.979,255.000,255,255,4.058,1.639,0.761,148.745,0.747,2.154,0.464,0.936,461,380
44,0.749,255.000,255,255,3.686,1.476,0.646,156.942,0.693,2.285,0.438,0.910,524,386
45,0.487,255.000,255,255,2.830,1.060,0.585,75.952,0.764,1.812,0.552,0.926,161,390
46,2.365,255.000,255,255,10.866,2.724,1.105,130.209,0.252,2.464,0.406,0.538,813,397
47,0.733,255.000,255,255,3.201,1.076,0.867,32.911,0.899,1.242,0.805,0.936,121,403
48,0.360,255.000,255,255,2.199,0.778,0.589,45.399,0.936,1.320,0.757,0.941,565,410
49,6.475,254.929,0,255,29.849,4.779,1.725,55.795,0.091,2.770,0.361,0.346,862,415
50,0.662,255.000,255,255,3.091,1.095,0.770,52.465,0.871,1.422,0.703,0.934,170,420
51,0.355,255.000,255,255,2.184,0.747,0.605,35.076,0.934,1.235,0.810,0.925,268,423
52,2.035,255.000,255,255,9.638,3.696,0.701,157.759,0.275,5.270,0.190,0.670,345,424
53,4.438,248.659,0,255,19.709,3.396,1.664,144.649,0.144,2.042,0.490,0.420,725,429
54,0.519,255.000,255,255,2.996,1.020,0.648,31.547,0.727,1.575,0.635,0.872,289,439
55,0.387,255.000,255,255,2.691,0.787,0.627,35.503,0.672,1.256,0.796,0.828,897,439
56,2.242,255.000,255,255,11.030,2.667,1.070,41.787,0.232,2.493,0.401,0.531,240,440
57,0.861,255.000,255,255,4.163,1.577,0.696,41.625,0.624,2.267,0.441,0.813,604,442
58,0.324,255.000,255,255,2.149,0.742,0.556,102.032,0.881,1.334,0.750,0.918,265,447
59,1.527,255.000,255,255,6.832,2.056,0.946,76.312,0.411,2.174,0.460,0.707,168,450
60,0.555,255.000,255,255,3.106,1.220,0.580,60.790,0.724,2.105,0.475,0.921,633,451
61,0.559,255.000,255,255,2.840,0.892,0.798,162.333,0.871,1.119,0.894,0.936,485,453
62,0.277,255.000,255,255,1.909,0.633,0.557,3.631,0.955,1.136,0.880,0.930,189,459
63,0.698,255.000,255,255,3.763,1.653,0.538,44.948,0.620,3.075,0.325,0.877,550,461
64,0.385,255.000,255,255,2.440,0.795,0.617,109.620,0.814,1.287,0.777,0.889,429,474
65,0.232,255.000,255,255,1.909,0.695,0.424,31.830,0.799,1.640,0.610,0.886,241,478
66,3.904,255.000,255,255,17.710,3.730,1.333,103.617,0.156,2.799,0.357,0.452,70,486
67,0.691,255.000,255,255,3.606,1.488,0.591,80.665,0.668,2.518,0.397,0.923,252,494
