 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,31,1.449,0,0,1.449
2,1,0,2,0,3,0.205,0,0,0.205
3,3,1,3,1,56,1.001,1,0,1.565
4,1,0,2,0,21,1.130,0,0,1.130
5,1,0,2,0,0,0.060,0,0,0.060
6,0,0,1,0,0,0.000,0,0,0.000
7,1,0,2,0,9,0.496,0,0,0.496
8,1,0,2,0,31,1.678,0,0,1.678
9,1,0,2,0,18,0.896,0,0,0.896
10,1,0,2,0,6,0.351,0,0,0.351
11,1,0,2,0,23,1.179,0,0,1.179
12,1,0,2,0,1,0.103,0,0,0.103
13,3,1,3,1,134,2.242,1,0,3.308
14,1,0,2,0,1,0.103,0,0,0.103
15,1,0,2,0,80,3.939,0,0,3.939
16,3,1,3,3,80,1.346,1,0,1.597
17,1,0,2,0,8,0.541,0,0,0.541
18,1,0,2,0,3,0.170,0,0,0.170
19,1,0,2,0,19,0.939,0,0,0.939
20,5,2,4,6,158,1.614,2,0,2.596
21,1,0,2,0,15,0.804,0,0,0.804
22,1,0,2,0,55,2.963,0,0,2.963
23,1,0,2,0,6,0.351,0,0,0.351
24,1,0,2,0,2,0.128,0,0,0.128
25,1,0,2,0,2,0.145,0,0,0.145
26,1,0,2,0,19,0.904,0,0,0.904
27,1,0,2,0,3,0.188,0,0,0.188
28,4,1,4,5,24,0.393,0,1,0.471
29,1,0,2,0,17,0.907,0,0,0.907
30,1,0,2,0,21,1.182,0,0,1.182
31,1,0,2,0,0,0.060,0,0,0.060
32,1,0,2,0,2,0.163,0,0,0.163
33,1,0,2,0,0,0.060,0,0,0.060
34,7,3,5,7,135,1.031,3,0,2.572
35,3,1,3,3,31,0.599,1,0,0.874
36,1,0,2,0,38,1.994,0,0,1.994
37,0,0,1,0,0,0.000,0,0,0.000
38,1,0,2,0,5,0.308,0,0,0.308
39,1,0,2,0,22,1.172,0,0,1.172
40,1,0,2,0,3,0.188,0,0,0.188
41,1,0,2,0,42,2.058,0,0,2.058
42,1,0,2,0,19,1.045,0,0,1.045
43,1,0,2,0,2,0.128,0,0,0.128
44,1,0,2,0,50,2.715,0,0,2.715
45,1,0,2,0,2,0.180,0,0,0.180
46,1,0,2,0,39,1.966,0,0,1.966
47,1,0,2,0,2,0.163,0,0,0.163
48,1,0,2,0,1,0.103,0,0,0.103
49,5,2,4,4,147,1.539,2,0,2.578
50,3,1,3,3,22,0.459,1,0,0.924
51,1,0,2,0,5,0.290,0,0,0.290
52,1,0,2,0,31,1.661,0,0,1.661
53,7,3,5,5,55,0.437,3,0,1.151
54,1,0,2,0,13,0.666,0,0,0.666
55,1,0,2,0,5,0.326,0,0,0.326
56,1,0,2,0,4,0.248,0,0,0.248
57,1,0,2,0,35,1.813,0,0,1.813
58,5,3,1,5,33,0.380,3,0,0.599
59,1,0,2,0,4,0.248,0,0,0.248
60,1,0,2,0,84,3.985,0,0,3.985
61,1,0,2,0,0,0.060,0,0,0.060
62,1,0,2,0,32,1.580,0,0,1.580
63,1,0,2,0,4,0.230,0,0,0.230
64,1,0,2,0,7,0.446,0,0,0.446
65,1,0,2,0,24,1.381,0,0,1.381
66,1,0,2,0,24,1.275,0,0,1.275
67,1,0,2,0,1,0.120,0,0,0.120
68,3,1,3,1,34,0.648,1,0,0.984
69,1,0,2,0,31,1.573,0,0,1.573
70,1,0,2,0,18,0.914,0,0,0.914
71,1,0,2,0,10,0.538,0,0,0.538
72,1,0,2,0,12,0.588,0,0,0.588
73,1,0,2,0,1,0.103,0,0,0.103
74,1,0,2,0,0,0.043,0,0,0.043
75,1,0,2,0,12,0.676,0,0,0.676
76,1,0,2,0,5,0.343,0,0,0.343
77,1,0,2,0,2,0.163,0,0,0.163
78,1,0,2,0,14,0.779,0,0,0.779
79,1,0,2,0,15,0.733,0,0,0.733
80,1,0,2,0,109,5.542,0,0,5.542
81,1,0,2,0,16,0.829,0,0,0.829
82,3,1,3,1,37,0.661,1,0,0.889
83,1,0,2,0,4,0.248,0,0,0.248
84,1,0,2,0,59,2.922,0,0,2.922
85,1,0,2,0,26,1.466,0,0,1.466
86,1,0,2,0,3,0.188,0,0,0.188
87,1,0,2,0,31,1.467,0,0,1.467
88,1,0,2,0,10,0.556,0,0,0.556
89,1,0,2,0,15,0.874,0,0,0.874
90,5,2,4,4,64,0.696,2,0,1.024
91,1,0,2,0,90,4.294,0,0,4.294
92,1,0,2,0,22,1.031,0,0,1.031
93,0,0,1,0,0,0.000,0,0,0.000
94,3,1,3,3,82,1.521,1,0,2.064
95,1,0,2,0,8,0.489,0,0,0.489
96,1,0,2,0,18,0.843,0,0,0.843
97,1,0,2,0,9,0.425,0,0,0.425
98,1,0,2,0,0,0.043,0,0,0.043
99,1,0,2,0,4,0.230,0,0,0.230
100,1,0,2,0,6,0.333,0,0,0.333
101,1,0,2,0,0,0.060,0,0,0.060
102,1,0,2,0,36,1.838,0,0,1.838
103,1,0,2,0,1,0.103,0,0,0.103
