 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,5,2,4,6,38,0.467,2,0,0.769
2,7,3,5,3,80,0.624,3,0,1.884
3,1,0,2,0,4,0.248,0,0,0.248
4,1,0,2,0,25,1.212,0,0,1.212
5,1,0,2,0,18,0.914,0,0,0.914
6,1,0,2,0,15,0.769,0,0,0.769
7,5,2,4,2,24,0.278,2,0,0.648
8,5,2,4,2,53,0.596,2,0,1.377
9,5,2,4,4,44,0.518,2,0,1.317
10,3,1,3,1,20,0.411,1,0,1.045
11,3,1,3,1,49,0.878,1,0,2.096
12,1,0,2,0,7,0.393,0,0,0.393
13,1,0,2,0,4,0.248,0,0,0.248
14,3,1,3,1,24,0.465,1,0,0.924
15,1,0,2,0,0,0.043,0,0,0.043
16,3,1,3,3,22,0.459,1,0,0.659
17,1,0,2,0,7,0.464,0,0,0.464
18,1,0,2,0,28,1.515,0,0,1.515
19,1,0,2,0,24,1.222,0,0,1.222
20,1,0,2,0,9,0.496,0,0,0.496
21,1,0,2,0,18,1.020,0,0,1.020
22,0,0,1,0,0,0.000,0,0,0.000
23,1,0,2,0,11,0.581,0,0,0.581
24,1,0,2,0,0,0.060,0,0,0.060
25,1,0,2,0,0,0.043,0,0,0.043
26,3,1,3,1,29,0.542,1,0,0.761
27,1,0,2,0,1,0.103,0,0,0.103
28,3,1,3,1,80,1.330,1,0,2.621
29,1,0,2,0,1,0.103,0,0,0.103
30,1,0,2,0,0,0.043,0,0,0.043
31,3,1,3,1,36,0.653,1,0,1.009
32,1,0,2,0,15,0.769,0,0,0.769
33,1,0,2,0,1,0.103,0,0,0.103
34,0,0,1,0,0,0.000,0,0,0.000
35,1,0,2,0,3,0.188,0,0,0.188
36,1,0,2,0,24,1.134,0,0,1.134
37,1,0,2,0,15,0.769,0,0,0.769
38,1,0,2,0,16,0.846,0,0,0.846
39,1,0,2,0,4,0.213,0,0,0.213
40,1,0,2,0,31,1.731,0,0,1.731
41,3,1,3,1,11,0.240,1,0,0.411
42,1,0,2,0,2,0.163,0,0,0.163
43,1,0,2,0,1,0.103,0,0,0.103
44,3,1,3,3,33,0.603,1,0,0.981
45,3,1,3,1,22,0.454,1,0,0.634
46,0,0,1,0,0,0.000,0,0,0.000
47,1,0,2,0,25,1.300,0,0,1.300
48,1,0,2,0,21,1.165,0,0,1.165
49,1,0,2,0,1,0.103,0,0,0.103
50,1,0,2,0,21,1.059,0,0,1.059
51,7,3,5,3,66,0.534,3,0,1.307
52,1,0,2,0,16,0.882,0,0,0.882
53,3,1,3,1,37,0.685,1,0,1.094
54,1,0,2,0,10,0.521,0,0,0.521
55,3,1,3,1,39,0.725,1,0,1.335
56,1,0,2,0,11,0.581,0,0,0.581
57,1,0,2,0,15,0.786,0,0,0.786
58,3,1,3,3,18,0.397,1,0,0.814
59,3,1,3,3,32,0.619,1,0,0.984
60,7,3,5,3,49,0.376,3,0,1.127
61,1,0,2,0,17,0.907,0,0,0.907
62,7,3,5,7,48,0.426,3,0,0.701
63,1,0,2,0,18,0.967,0,0,0.967
64,5,2,4,4,100,1.023,2,0,3.578
65,3,1,3,3,41,0.770,1,0,0.992
66,1,0,2,0,5,0.290,0,0,0.290
67,1,0,2,0,13,0.701,0,0,0.701
68,1,0,2,0,12,0.659,0,0,0.659
69,1,0,2,0,10,0.626,0,0,0.626
70,4,2,2,2,41,0.580,2,0,1.257
71,1,0,2,0,20,1.017,0,0,1.017
72,4,1,4,5,17,0.292,0,1,0.486
73,1,0,0,0,46,2.231,0,0,2.231
