 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,1,0,2,0,51,2.458,0,0,2.458
2,3,1,3,3,56,0.994,1,0,1.460
3,1,0,2,0,20,1.105,0,0,1.105
4,1,0,2,0,13,0.719,0,0,0.719
5,0,0,1,0,0,0.000,0,0,0.000
6,1,0,2,0,7,0.446,0,0,0.446
7,3,1,3,3,66,1.148,1,0,2.947
8,1,0,2,0,7,0.393,0,0,0.393
9,1,0,2,0,57,2.749,0,0,2.749
10,1,0,2,0,10,0.591,0,0,0.591
11,1,0,2,0,36,1.838,0,0,1.838
12,1,0,2,0,22,1.137,0,0,1.137
13,1,0,2,0,37,1.969,0,0,1.969
14,1,0,2,0,45,2.203,0,0,2.203
15,1,0,2,0,10,0.538,0,0,0.538
16,3,1,3,3,75,1.410,1,0,3.803
17,3,1,3,3,58,1.099,1,0,2.450
18,1,0,2,0,35,1.796,0,0,1.796
19,0,0,1,0,0,0.000,0,0,0.000
20,3,1,3,3,20,0.378,1,0,0.461
21,1,0,2,0,14,0.709,0,0,0.709
22,1,0,2,0,16,0.899,0,0,0.899
23,5,2,4,2,34,0.385,2,0,0.719
24,1,0,2,0,32,1.668,0,0,1.668
25,5,2,4,2,84,0.870,2,0,1.300
26,0,0,1,0,0,0.000,0,0,0.000
27,1,0,2,0,21,1.182,0,0,1.182
28,3,1,3,3,54,0.954,1,0,1.520
29,3,1,3,3,17,0.365,1,0,0.513
30,1,0,2,0,20,0.964,0,0,0.964
31,1,0,2,0,50,2.434,0,0,2.434
32,1,0,2,0,10,0.538,0,0,0.538
33,3,1,3,3,4,0.139,1,0,0.273
34,3,1,3,1,30,0.509,1,0,0.769
35,1,0,2,0,17,0.818,0,0,0.818
36,1,0,2,0,20,0.999,0,0,0.999
37,1,0,2,0,31,1.537,0,0,1.537
38,1,0,2,0,19,1.009,0,0,1.009
39,1,0,2,0,4,0.248,0,0,0.248
40,3,1,3,1,57,0.980,1,0,2.384
41,1,0,2,0,1,0.085,0,0,0.085
42,1,0,2,0,14,0.761,0,0,0.761
43,1,0,2,0,18,0.861,0,0,0.861
44,1,0,2,0,2,0.180,0,0,0.180
45,1,0,2,0,23,1.250,0,0,1.250
46,1,0,2,0,55,2.928,0,0,2.928
47,1,0,2,0,5,0.308,0,0,0.308
48,1,0,2,0,57,2.590,0,0,2.590
49,3,1,3,3,84,1.403,1,0,1.885
50,1,0,2,0,2,0.145,0,0,0.145
51,1,0,2,0,1,0.120,0,0,0.120
52,1,0,2,0,1,0.103,0,0,0.103
53,1,0,2,0,40,2.132,0,0,2.132
54,5,2,4,2,106,1.071,2,0,1.622
55,3,1,3,3,54,0.954,1,0,1.204
56,1,0,2,0,11,0.616,0,0,0.616
57,1,0,2,0,1,0.085,0,0,0.085
58,1,0,2,0,0,0.060,0,0,0.060
59,1,0,2,0,40,1.991,0,0,1.991
60,1,0,2,0,37,1.898,0,0,1.898
61,1,0,2,0,6,0.333,0,0,0.333
62,1,0,2,0,10,0.538,0,0,0.538
63,0,0,1,0,0,0.000,0,0,0.000
64,1,0,2,0,2,0.163,0,0,0.163
65,1,0,2,0,11,0.634,0,0,0.634
66,1,0,2,0,50,2.451,0,0,2.451
67,1,0,2,0,17,0.889,0,0,0.889
68,3,1,3,3,73,1.241,1,0,2.734
69,3,1,3,3,113,1.926,1,0,4.080
70,3,1,3,3,42,0.760,1,0,1.332
71,0,0,1,0,0,0.000,0,0,0.000
72,1,0,2,0,2,0.128,0,0,0.128
73,7,3,5,5,197,1.438,3,0,3.616
74,0,0,1,0,0,0.000,0,0,0.000
75,1,0,2,0,7,0.376,0,0,0.376
76,0,0,1,0,0,0.000,0,0,0.000
77,1,0,2,0,29,1.487,0,0,1.487
78,1,0,2,0,0,0.043,0,0,0.043
79,1,0,2,0,27,1.473,0,0,1.473
80,1,0,2,0,10,0.521,0,0,0.521
81,1,0,2,0,18,0.932,0,0,0.932
82,1,0,2,0,1,0.120,0,0,0.120
83,3,1,3,1,62,1.033,1,0,1.470
84,1,0,2,0,27,1.455,0,0,1.455
85,1,0,2,0,1,0.085,0,0,0.085
86,1,0,2,0,2,0.180,0,0,0.180
87,3,1,3,1,44,0.807,1,0,1.728
88,1,0,2,0,11,0.616,0,0,0.616
89,1,0,2,0,1,0.103,0,0,0.103
90,3,1,3,1,72,1.228,1,0,2.929
91,1,0,2,0,1,0.103,0,0,0.103
92,1,0,2,0,3,0.223,0,0,0.223
93,1,0,2,0,40,2.008,0,0,2.008
94,1,0,2,0,19,0.974,0,0,0.974
95,1,0,2,0,11,0.581,0,0,0.581
96,1,0,2,0,2,0.128,0,0,0.128
97,1,0,2,0,1,0.120,0,0,0.120
98,1,0,2,0,1,0.085,0,0,0.085
99,3,1,3,3,34,0.618,1,0,1.222
100,1,0,2,0,18,1.002,0,0,1.002
101,1,0,2,0,23,1.179,0,0,1.179
102,1,0,2,0,9,0.461,0,0,0.461
103,1,0,2,0,1,0.120,0,0,0.120
104,1,0,2,0,23,1.091,0,0,1.091
105,1,0,2,0,0,0.060,0,0,0.060
106,1,0,2,0,26,1.289,0,0,1.289
107,1,0,2,0,6,0.403,0,0,0.403
108,1,0,2,0,4,0.230,0,0,0.230
109,9,4,6,10,147,0.911,4,0,2.269
110,5,2,4,4,88,0.924,2,0,1.438
111,1,0,2,0,21,1.059,0,0,1.059
112,1,0,2,0,1,0.103,0,0,0.103
113,1,0,2,0,34,1.647,0,0,1.647
114,1,0,2,0,21,1.200,0,0,1.200
115,1,0,2,0,3,0.205,0,0,0.205
116,1,0,2,0,19,1.097,0,0,1.097
117,1,0,2,0,11,0.669,0,0,0.669
118,1,0,2,0,13,0.684,0,0,0.684
119,1,0,2,0,0,0.060,0,0,0.060
120,3,1,3,1,134,2.207,1,0,4.902
121,1,0,2,0,1,0.103,0,0,0.103
122,1,0,2,0,2,0.145,0,0,0.145
123,1,0,2,0,0,0.060,0,0,0.060
124,0,0,1,0,0,0.000,0,0,0.000
125,1,0,2,0,29,1.364,0,0,1.364
126,1,0,2,0,0,0.043,0,0,0.043
127,3,1,3,1,45,0.792,1,0,0.889
128,1,0,2,0,41,1.963,0,0,1.963
129,1,0,2,0,12,0.623,0,0,0.623
130,1,0,2,0,11,0.704,0,0,0.704
131,3,1,3,1,45,0.804,1,0,0.932
132,3,1,3,3,63,1.064,1,0,2.423
