 ,# Branches,# Junctions,# End-point voxels,# Junction voxels,# Slab voxels,Average Branch Length,# Triple points,# Quadruple points,Maximum Branch Length
1,5,2,4,4,121,1.237,2,0,2.699
2,1,0,2,0,17,0.889,0,0,0.889
3,1,0,2,0,0,0.043,0,0,0.043
4,1,0,2,0,0,0.043,0,0,0.043
5,1,0,2,0,22,1.154,0,0,1.154
6,1,0,2,0,7,0.428,0,0,0.428
7,5,2,4,2,92,0.984,2,0,1.438
8,1,0,2,0,48,2.225,0,0,2.225
9,1,0,2,0,9,0.513,0,0,0.513
10,1,0,2,0,4,0.266,0,0,0.266
11,0,0,1,0,0,0.000,0,0,0.000
12,1,0,2,0,48,2.278,0,0,2.278
13,1,0,2,0,29,1.435,0,0,1.435
14,1,0,2,0,25,1.194,0,0,1.194
15,1,0,2,0,6,0.315,0,0,0.315
16,3,1,3,3,76,1.325,1,0,2.462
17,1,0,2,0,5,0.326,0,0,0.326
18,1,0,2,0,9,0.513,0,0,0.513
19,5,2,4,4,81,0.900,2,0,1.714
20,1,0,2,0,43,2.189,0,0,2.189
21,8,4,4,6,123,0.830,4,0,1.377
22,1,0,2,0,97,4.767,0,0,4.767
23,1,0,2,0,28,1.410,0,0,1.410
24,1,0,2,0,12,0.729,0,0,0.729
25,1,0,2,0,8,0.436,0,0,0.436
26,5,2,4,2,76,0.826,2,0,1.165
27,6,3,3,7,86,0.792,3,0,1.392
28,1,0,2,0,54,2.586,0,0,2.586
29,1,0,2,0,33,1.816,0,0,1.816
30,1,0,2,0,75,3.638,0,0,3.638
31,3,1,3,3,98,1.866,1,0,3.189
32,6,3,3,5,134,1.162,3,0,1.881
33,1,0,2,0,13,0.701,0,0,0.701
34,1,0,2,0,59,3.134,0,0,3.134
35,5,2,3,7,192,1.983,1,1,3.262
36,1,0,2,0,9,0.566,0,0,0.566
37,7,3,5,7,266,1.968,3,0,3.846
38,1,0,2,0,27,1.279,0,0,1.279
39,1,0,2,0,10,0.521,0,0,0.521
40,1,0,2,0,21,1.165,0,0,1.165
41,7,3,5,7,210,1.617,3,0,4.080
42,1,0,2,0,7,0.464,0,0,0.464
43,1,0,2,0,26,1.501,0,0,1.501
44,9,5,3,9,240,1.407,5,0,3.208
45,1,0,2,0,70,3.443,0,0,3.443
46,1,0,2,0,5,0.326,0,0,0.326
47,1,0,2,0,1,0.120,0,0,0.120
48,3,1,3,3,223,3.738,1,0,4.599
49,1,0,2,0,29,1.576,0,0,1.576
50,32,16,16,28,1054,1.708,16,0,5.617
51,1,0,2,0,25,1.229,0,0,1.229
52,1,0,2,0,16,0.811,0,0,0.811
53,4,2,2,4,130,1.671,2,0,3.350
54,1,0,2,0,105,5.108,0,0,5.108
55,1,0,2,0,3,0.223,0,0,0.223
56,1,0,2,0,68,3.534,0,0,3.534
57,9,5,3,7,130,0.796,5,0,1.463
58,1,0,2,0,73,3.711,0,0,3.711
59,4,2,2,4,79,1.067,2,0,1.700
60,1,0,2,0,44,2.214,0,0,2.214
61,1,0,2,0,4,0.283,0,0,0.283
62,0,0,1,0,0,0.000,0,0,0.000
63,1,0,2,0,7,0.411,0,0,0.411
64,9,4,5,9,272,1.553,3,1,3.964
65,1,0,2,0,3,0.205,0,0,0.205
66,1,0,2,0,16,0.794,0,0,0.794
67,1,0,2,0,75,3.708,0,0,3.708
68,1,0,2,0,34,1.753,0,0,1.753
69,1,0,2,0,22,1.260,0,0,1.260
70,17,10,4,20,278,0.892,10,0,2.376
71,1,0,2,0,18,0.879,0,0,0.879
72,1,0,2,0,98,4.828,0,0,4.828
73,1,0,2,0,79,4.284,0,0,4.284
74,1,0,2,0,44,2.214,0,0,2.214
75,5,2,4,6,61,0.684,2,0,0.942
76,1,0,2,0,52,2.677,0,0,2.677
77,3,1,3,1,62,1.021,1,0,1.757
78,1,0,2,0,38,1.870,0,0,1.870
79,2,1,1,3,122,3.034,1,0,5.497
80,0,0,1,0,0,0.000,0,0,0.000
81,1,0,2,0,9,0.513,0,0,0.513
82,7,3,5,9,214,1.646,3,0,4.363
83,1,0,2,0,3,0.188,0,0,0.188
84,1,0,2,0,1,0.085,0,0,0.085
85,1,0,2,0,3,0.223,0,0,0.223
86,1,0,2,0,8,0.524,0,0,0.524
87,1,0,2,0,27,1.350,0,0,1.350
88,1,0,2,0,1,0.085,0,0,0.085
89,2,1,1,1,117,2.888,1,0,5.348
90,0,0,1,0,0,0.000,0,0,0.000
