
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
22720,,Surface,1,Image 1,1,Class A,226,
10255,,Surface,1,Image 1,1,Class A,227,
32780,,Surface,1,Image 1,1,Class A,228,
20534,,Surface,1,Image 1,1,Class A,229,
12613,,Surface,1,Image 1,1,Class A,230,
22793,,Surface,1,Image 1,1,Class A,232,
22472,,Surface,1,Image 1,1,Class A,233,
12273,,Surface,1,Image 1,1,Class A,234,
20842,,Surface,1,Image 1,1,Class A,239,
20042,,Surface,1,Image 1,1,Class A,240,
20851,,Surface,1,Image 1,1,Class A,241,
20354,,Surface,1,Image 1,1,Class A,242,
20848,,Surface,1,Image 1,1,Class A,243,
10719,,Surface,1,Image 1,1,Class A,244,
22613,,Surface,1,Image 1,1,Class A,246,
8748,,Surface,1,Image 1,1,Class A,247,
14103,,Surface,1,Image 1,1,Class A,248,
19063,,Surface,1,Image 1,1,Class A,249,
22527,,Surface,1,Image 1,1,Class A,250,
16542,,Surface,1,Image 1,1,Class A,251,
11008,,Surface,1,Image 1,1,Class A,252,
25258,,Surface,1,Image 1,1,Class A,253,
20765,,Surface,1,Image 1,1,Class A,254,
20716,,Surface,1,Image 1,1,Class A,255,
36278,,Surface,1,Image 1,1,Class A,256,
11112,,Surface,1,Image 1,1,Class A,257,
26786,,Surface,1,Image 1,1,Class A,258,
43074,,Surface,1,Image 1,1,Class A,259,
34766,,Surface,1,Image 1,1,Class A,260,
28939,,Surface,1,Image 1,1,Class A,261,
14751,,Surface,1,Image 1,1,Class A,262,
17164,,Surface,1,Image 1,1,Class A,264,
19697,,Surface,1,Image 1,1,Class A,265,
20857,,Surface,1,Image 1,1,Class A,266,
24974,,Surface,1,Image 1,1,Class A,267,
16915,,Surface,1,Image 1,1,Class A,268,
22977,,Surface,1,Image 1,1,Class A,269,
19670,,Surface,1,Image 1,1,Class A,270,
59139,,Surface,1,Image 1,1,Class B,271,
23733,,Surface,1,Image 1,1,Class A,272,
10166,,Surface,1,Image 1,1,Class A,273,
11600,,Surface,1,Image 1,1,Class A,274,
21810,,Surface,1,Image 1,1,Class A,275,
9855,,Surface,1,Image 1,1,Class A,276,
35654,,Surface,1,Image 1,1,Class A,277,
17114,,Surface,1,Image 1,1,Class A,278,
14685,,Surface,1,Image 1,1,Class A,279,
42695,,Surface,1,Image 1,1,Class A,280,
22199,,Surface,1,Image 1,1,Class A,281,
37558,,Surface,1,Image 1,1,Class A,282,
33894,,Surface,1,Image 1,1,Class A,283,
10620,,Surface,1,Image 1,1,Class A,284,
24806,,Surface,1,Image 1,1,Class A,285,
18840,,Surface,1,Image 1,1,Class A,286,
17147,,Surface,1,Image 1,1,Class A,287,
11630,,Surface,1,Image 1,1,Class A,288,
22113,,Surface,1,Image 1,1,Class A,289,
21082,,Surface,1,Image 1,1,Class A,290,
22897,,Surface,1,Image 1,1,Class A,291,
38065,,Surface,1,Image 1,1,Class A,292,
13539,,Surface,1,Image 1,1,Class A,293,
14299,,Surface,1,Image 1,1,Class A,294,
26394,,Surface,1,Image 1,1,Class A,295,
16477,,Surface,1,Image 1,1,Class A,296,
14212,,Surface,1,Image 1,1,Class A,297,
44037,,Surface,1,Image 1,1,Class A,298,
27234,,Surface,1,Image 1,1,Class A,299,
11951,,Surface,1,Image 1,1,Class A,300,
28127,,Surface,1,Image 1,1,Class A,301,
15741,,Surface,1,Image 1,1,Class A,302,
43262,,Surface,1,Image 1,1,Class B,303,
19056,,Surface,1,Image 1,1,Class A,304,
11785,,Surface,1,Image 1,1,Class A,305,
17560,,Surface,1,Image 1,1,Class A,306,
39796,,Surface,1,Image 1,1,Class A,307,
9847,,Surface,1,Image 1,1,Class A,308,
24960,,Surface,1,Image 1,1,Class A,309,
15351,,Surface,1,Image 1,1,Class A,310,
13420,,Surface,1,Image 1,1,Class A,311,
12749,,Surface,1,Image 1,1,Class A,312,
20460,,Surface,1,Image 1,1,Class A,313,
20632,,Surface,1,Image 1,1,Class A,314,
30927,,Surface,1,Image 1,1,Class A,315,
23195,,Surface,1,Image 1,1,Class A,316,
15814,,Surface,1,Image 1,1,Class A,317,
26926,,Surface,1,Image 1,1,Class A,318,
14355,,Surface,1,Image 1,1,Class A,319,
18303,,Surface,1,Image 1,1,Class A,320,
39982,,Surface,1,Image 1,1,Class A,321,
18707,,Surface,1,Image 1,1,Class A,322,
33326,,Surface,1,Image 1,1,Class A,323,
16361,,Surface,1,Image 1,1,Class A,324,
25409,,Surface,1,Image 1,1,Class A,325,
28252,,Surface,1,Image 1,1,Class A,326,
31763,,Surface,1,Image 1,1,Class A,327,
17543,,Surface,1,Image 1,1,Class A,328,
33903,,Surface,1,Image 1,1,Class A,329,
10086,,Surface,1,Image 1,1,Class A,330,
11029,,Surface,1,Image 1,1,Class A,331,
15379,,Surface,1,Image 1,1,Class A,332,
52390,,Surface,1,Image 1,1,Class B,333,
23181,,Surface,1,Image 1,1,Class A,334,
18487,,Surface,1,Image 1,1,Class A,335,
23166,,Surface,1,Image 1,1,Class A,336,
15579,,Surface,1,Image 1,1,Class A,337,
24941,,Surface,1,Image 1,1,Class A,338,
20733,,Surface,1,Image 1,1,Class A,339,
17420,,Surface,1,Image 1,1,Class A,340,
24508,,Surface,1,Image 1,1,Class A,341,
27098,,Surface,1,Image 1,1,Class A,342,
28828,,Surface,1,Image 1,1,Class A,343,
