
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
14786.1,,Surface,1,Image 1,1,Class A,226,
9752.9,,Surface,1,Image 1,1,Class A,227,
15417.9,,Surface,1,Image 1,1,Class A,228,
11776.5,,Surface,1,Image 1,1,Class A,229,
11075.3,,Surface,1,Image 1,1,Class A,230,
17055.8,,Surface,1,Image 1,1,Class A,232,
13946.8,,Surface,1,Image 1,1,Class A,233,
10194.4,,Surface,1,Image 1,1,Class A,234,
13669.1,,Surface,1,Image 1,1,Class A,239,
12051.1,,Surface,1,Image 1,1,Class A,240,
13915.5,,Surface,1,Image 1,1,Class A,241,
12807.9,,Surface,1,Image 1,1,Class A,242,
13250.9,,Surface,1,Image 1,1,Class A,243,
9112.45,,Surface,1,Image 1,1,Class A,244,
13765.3,,Surface,1,Image 1,1,Class A,246,
7995.64,,Surface,1,Image 1,1,Class A,247,
10879,,Surface,1,Image 1,1,Class A,248,
12089.9,,Surface,1,Image 1,1,Class A,249,
14167.3,,Surface,1,Image 1,1,Class A,250,
12054.4,,Surface,1,Image 1,1,Class A,251,
10134.8,,Surface,1,Image 1,1,Class A,252,
12861.4,,Surface,1,Image 1,1,Class A,253,
13048.1,,Surface,1,Image 1,1,Class A,254,
14047.1,,Surface,1,Image 1,1,Class A,255,
17809.3,,Surface,1,Image 1,1,Class A,256,
9501.75,,Surface,1,Image 1,1,Class A,257,
13440,,Surface,1,Image 1,1,Class A,258,
17365,,Surface,1,Image 1,1,Class A,259,
14620.8,,Surface,1,Image 1,1,Class A,260,
13177.5,,Surface,1,Image 1,1,Class A,261,
11134.5,,Surface,1,Image 1,1,Class A,262,
13147.7,,Surface,1,Image 1,1,Class A,264,
13325,,Surface,1,Image 1,1,Class A,265,
13624.4,,Surface,1,Image 1,1,Class A,266,
14649.9,,Surface,1,Image 1,1,Class A,267,
11327.3,,Surface,1,Image 1,1,Class A,268,
12676.3,,Surface,1,Image 1,1,Class A,269,
12346.4,,Surface,1,Image 1,1,Class A,270,
18211.8,,Surface,1,Image 1,1,Class B,271,
13509.7,,Surface,1,Image 1,1,Class A,272,
9570.4,,Surface,1,Image 1,1,Class A,273,
9501.45,,Surface,1,Image 1,1,Class A,274,
12700.7,,Surface,1,Image 1,1,Class A,275,
8584.18,,Surface,1,Image 1,1,Class A,276,
15684.6,,Surface,1,Image 1,1,Class A,277,
12039.1,,Surface,1,Image 1,1,Class A,278,
12148.4,,Surface,1,Image 1,1,Class A,279,
21576.5,,Surface,1,Image 1,1,Class A,280,
15876.4,,Surface,1,Image 1,1,Class A,281,
