
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
4405,,Surface,1,Image 1,1,Class A,226,
8873,,Surface,1,Image 1,1,Class A,227,
2011,,Surface,1,Image 1,1,Class A,228,
3995,,Surface,1,Image 1,1,Class A,229,
8228,,Surface,1,Image 1,1,Class A,230,
8768,,Surface,1,Image 1,1,Class A,232,
5032,,Surface,1,Image 1,1,Class A,233,
7710,,Surface,1,Image 1,1,Class A,234,
5350,,Surface,1,Image 1,1,Class A,239,
3229,,Surface,1,Image 1,1,Class A,240,
5994,,Surface,1,Image 1,1,Class A,241,
5435,,Surface,1,Image 1,1,Class A,242,
5286,,Surface,1,Image 1,1,Class A,243,
7224,,Surface,1,Image 1,1,Class A,244,
4449,,Surface,1,Image 1,1,Class A,246,
6970,,Surface,1,Image 1,1,Class A,247,
6975,,Surface,1,Image 1,1,Class A,248,
4160,,Surface,1,Image 1,1,Class A,249,
6402,,Surface,1,Image 1,1,Class A,250,
6966,,Surface,1,Image 1,1,Class A,251,
9208,,Surface,1,Image 1,1,Class A,252,
3854,,Surface,1,Image 1,1,Class A,253,
6119,,Surface,1,Image 1,1,Class A,254,
4768,,Surface,1,Image 1,1,Class A,255,
3959,,Surface,1,Image 1,1,Class A,256,
7753,,Surface,1,Image 1,1,Class A,257,
4177,,Surface,1,Image 1,1,Class A,258,
1941,,Surface,1,Image 1,1,Class A,259,
4248,,Surface,1,Image 1,1,Class A,260,
2054,,Surface,1,Image 1,1,Class A,261,
7478,,Surface,1,Image 1,1,Class A,262,
6085,,Surface,1,Image 1,1,Class A,264,
6686,,Surface,1,Image 1,1,Class A,265,
4534,,Surface,1,Image 1,1,Class A,266,
6768,,Surface,1,Image 1,1,Class A,267,
4976,,Surface,1,Image 1,1,Class A,268,
2186,,Surface,1,Image 1,1,Class A,269,
4930,,Surface,1,Image 1,1,Class A,270,
1574,,Surface,1,Image 1,1,Class B,271,
4253,,Surface,1,Image 1,1,Class A,272,
8530,,Surface,1,Image 1,1,Class A,273,
6461,,Surface,1,Image 1,1,Class A,274,
4382,,Surface,1,Image 1,1,Class A,275,
7255,,Surface,1,Image 1,1,Class A,276,
4527,,Surface,1,Image 1,1,Class A,277,
6511,,Surface,1,Image 1,1,Class A,278,
7913,,Surface,1,Image 1,1,Class A,279,
6238,,Surface,1,Image 1,1,Class A,280,
5840,,Surface,1,Image 1,1,Class A,281,
2067,,Surface,1,Image 1,1,Class A,282,
6529,,Surface,1,Image 1,1,Class A,283,
8206,,Surface,1,Image 1,1,Class A,284,
6258,,Surface,1,Image 1,1,Class A,285,
8317,,Surface,1,Image 1,1,Class A,286,
6238,,Surface,1,Image 1,1,Class A,287,
9628,,Surface,1,Image 1,1,Class A,288,
8517,,Surface,1,Image 1,1,Class A,289,
5021,,Surface,1,Image 1,1,Class A,290,
4697,,Surface,1,Image 1,1,Class A,291,
4301,,Surface,1,Image 1,1,Class A,292,
6101,,Surface,1,Image 1,1,Class A,293,
10980,,Surface,1,Image 1,1,Class A,294,
2906,,Surface,1,Image 1,1,Class A,295,
8121,,Surface,1,Image 1,1,Class A,296,
