
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,Set 1,ID,
0.84445,,Surface,1,Class A,226,
0.705115,,Surface,1,Class A,227,
0.955649,,Surface,1,Class A,228,
0.786439,,Surface,1,Class A,229,
0.766589,,Surface,1,Class A,230,
0.930437,,Surface,1,Class A,232,
0.968439,,Surface,1,Class A,233,
0.900739,,Surface,1,Class A,234,
0.932205,,Surface,1,Class A,239,
0.76471,,Surface,1,Class A,240,
0.944658,,Surface,1,Class A,241,
0.858817,,Surface,1,Class A,242,
0.937694,,Surface,1,Class A,243,
0.815083,,Surface,1,Class A,244,
0.885237,,Surface,1,Class A,246,
0.626283,,Surface,1,Class A,247,
0.925849,,Surface,1,Class A,248,
0.958361,,Surface,1,Class A,249,
0.738858,,Surface,1,Class A,250,
0.933829,,Surface,1,Class A,251,
0.492088,,Surface,1,Class A,252,
0.629438,,Surface,1,Class A,253,
0.957689,,Surface,1,Class A,254,
0.932161,,Surface,1,Class A,255,
0.670511,,Surface,1,Class A,256,
0.612866,,Surface,1,Class A,257,
0.576997,,Surface,1,Class A,258,
0.538086,,Surface,1,Class A,259,
0.630672,,Surface,1,Class A,260,
0.69132,,Surface,1,Class A,261,
0.9295,,Surface,1,Class A,262,
0.901129,,Surface,1,Class A,264,
0.948968,,Surface,1,Class A,265,
0.846387,,Surface,1,Class A,266,
0.647995,,Surface,1,Class A,267,
0.837567,,Surface,1,Class A,268,
0.599151,,Surface,1,Class A,269,
0.969132,,Surface,1,Class A,270,
0.390519,,Surface,1,Class B,271,
0.968763,,Surface,1,Class A,272,
0.779927,,Surface,1,Class A,273,
0.862586,,Surface,1,Class A,274,
0.953628,,Surface,1,Class A,275,
0.710903,,Surface,1,Class A,276,
0.554527,,Surface,1,Class A,277,
0.936205,,Surface,1,Class A,278,
0.920169,,Surface,1,Class A,279,
0.967383,,Surface,1,Class A,280,
0.927845,,Surface,1,Class A,281,
0.545586,,Surface,1,Class A,282,
0.943107,,Surface,1,Class A,283,
0.66694,,Surface,1,Class A,284,
0.912537,,Surface,1,Class A,285,
0.909778,,Surface,1,Class A,286,
0.823905,,Surface,1,Class A,287,
0.778903,,Surface,1,Class A,288,
0.961009,,Surface,1,Class A,289,
0.932885,,Surface,1,Class A,290,
0.652292,,Surface,1,Class A,291,
0.921064,,Surface,1,Class A,292,
0.921284,,Surface,1,Class A,293,
0.869777,,Surface,1,Class A,294,
0.907992,,Surface,1,Class A,295,
0.902681,,Surface,1,Class A,296,
0.832896,,Surface,1,Class A,297,
0.693533,,Surface,1,Class A,298,
0.935245,,Surface,1,Class A,299,
0.839669,,Surface,1,Class A,300,
0.671895,,Surface,1,Class A,301,
0.823232,,Surface,1,Class A,302,
0.349833,,Surface,1,Class B,303,
0.838989,,Surface,1,Class A,304,
0.839305,,Surface,1,Class A,305,
