
Volume
 ==================== 
Volume,Unit,Category,Time,Set 1,ID,
0.126912,µm^3,Surface,1,Class A,226,
0.000684129,µm^3,Surface,1,Class A,227,
0.155351,µm^3,Surface,1,Class A,228,
0.173915,µm^3,Surface,1,Class A,229,
0.000530322,µm^3,Surface,1,Class A,230,
0.0071854,µm^3,Surface,1,Class A,232,
0.0519483,µm^3,Surface,1,Class A,233,
0.00693683,µm^3,Surface,1,Class A,234,
0.0752187,µm^3,Surface,1,Class A,239,
0.14262,µm^3,Surface,1,Class A,240,
0.101437,µm^3,Surface,1,Class A,241,
0.110829,µm^3,Surface,1,Class A,242,
0.112462,µm^3,Surface,1,Class A,243,
0.00640068,µm^3,Surface,1,Class A,244,
0.0664449,µm^3,Surface,1,Class A,246,
0.00647323,µm^3,Surface,1,Class A,247,
0.0427284,µm^3,Surface,1,Class A,248,
0.0930737,µm^3,Surface,1,Class A,249,
0.234522,µm^3,Surface,1,Class A,250,
0.0101725,µm^3,Surface,1,Class A,251,
0.00189827,µm^3,Surface,1,Class A,252,
0.402157,µm^3,Surface,1,Class A,253,
0.0691613,µm^3,Surface,1,Class A,254,
0.0997906,µm^3,Surface,1,Class A,255,
0.866257,µm^3,Surface,1,Class A,256,
0.00264369,µm^3,Surface,1,Class A,257,
0.694957,µm^3,Surface,1,Class A,258,
1.11611,µm^3,Surface,1,Class A,259,
0.625743,µm^3,Surface,1,Class A,260,
0.332963,µm^3,Surface,1,Class A,261,
0.0187342,µm^3,Surface,1,Class A,262,
0.0255765,µm^3,Surface,1,Class A,264,
0.0709626,µm^3,Surface,1,Class A,265,
0.121356,µm^3,Surface,1,Class A,266,
0.438317,µm^3,Surface,1,Class A,267,
0.107387,µm^3,Surface,1,Class A,268,
0.550595,µm^3,Surface,1,Class A,269,
0.0837506,µm^3,Surface,1,Class A,270,
3.62043,µm^3,Surface,1,Class B,271,
0.0571354,µm^3,Surface,1,Class A,272,
0.00133543,µm^3,Surface,1,Class A,273,
0.011354,µm^3,Surface,1,Class A,274,
0.0679129,µm^3,Surface,1,Class A,275,
0.00580855,µm^3,Surface,1,Class A,276,
1.03482,µm^3,Surface,1,Class A,277,
0.0432087,µm^3,Surface,1,Class A,278,
0.0100326,µm^3,Surface,1,Class A,279,
0.188561,µm^3,Surface,1,Class A,280,
0.0650497,µm^3,Surface,1,Class A,281,
0.835894,µm^3,Surface,1,Class A,282,
0.152338,µm^3,Surface,1,Class A,283,
0.0012415,µm^3,Surface,1,Class A,284,
0.0827433,µm^3,Surface,1,Class A,285,
0.0593613,µm^3,Surface,1,Class A,286,
0.0496377,µm^3,Surface,1,Class A,287,
0.000695795,µm^3,Surface,1,Class A,288,
0.0309726,µm^3,Surface,1,Class A,289,
0.061622,µm^3,Surface,1,Class A,290,
0.380776,µm^3,Surface,1,Class A,291,
0.196384,µm^3,Surface,1,Class A,292,
0.0280052,µm^3,Surface,1,Class A,293,
0.00197095,µm^3,Surface,1,Class A,294,
0.141854,µm^3,Surface,1,Class A,295,
0.0320858,µm^3,Surface,1,Class A,296,
0.0368727,µm^3,Surface,1,Class A,297,
0.914381,µm^3,Surface,1,Class A,298,
0.101151,µm^3,Surface,1,Class A,299,
0.0105086,µm^3,Surface,1,Class A,300,
0.416123,µm^3,Surface,1,Class A,301,
