
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
13091.3,,Surface,1,Image 1,1,Class A,246,
11783.1,,Surface,1,Image 1,1,Class A,247,
15096.7,,Surface,1,Image 1,1,Class A,248,
12317.1,,Surface,1,Image 1,1,Class A,249,
9430.96,,Surface,1,Image 1,1,Class A,250,
14105.4,,Surface,1,Image 1,1,Class A,251,
10123.1,,Surface,1,Image 1,1,Class A,252,
11441.9,,Surface,1,Image 1,1,Class A,253,
16367.8,,Surface,1,Image 1,1,Class A,254,
11899.4,,Surface,1,Image 1,1,Class A,259,
10072.6,,Surface,1,Image 1,1,Class A,260,
11189.4,,Surface,1,Image 1,1,Class A,261,
13443.7,,Surface,1,Image 1,1,Class A,262,
11264,,Surface,1,Image 1,1,Class A,263,
12168.1,,Surface,1,Image 1,1,Class A,264,
13096.6,,Surface,1,Image 1,1,Class A,266,
10381.8,,Surface,1,Image 1,1,Class A,267,
15789.6,,Surface,1,Image 1,1,Class A,268,
18482.2,,Surface,1,Image 1,1,Class A,269,
13459.5,,Surface,1,Image 1,1,Class A,270,
9968.94,,Surface,1,Image 1,1,Class A,271,
11891.7,,Surface,1,Image 1,1,Class A,272,
18179.8,,Surface,1,Image 1,1,Class A,273,
7535.81,,Surface,1,Image 1,1,Class A,274,
10261.5,,Surface,1,Image 1,1,Class A,279,
11160.8,,Surface,1,Image 1,1,Class A,280,
15713.5,,Surface,1,Image 1,1,Class A,281,
9775.29,,Surface,1,Image 1,1,Class A,283,
9932.92,,Surface,1,Image 1,1,Class A,284,
17623.5,,Surface,1,Image 1,1,Class A,285,
14110.5,,Surface,1,Image 1,1,Class A,286,
8430.08,,Surface,1,Image 1,1,Class A,287,
8920.4,,Surface,1,Image 1,1,Class A,288,
10429.2,,Surface,1,Image 1,1,Class A,289,
17039.2,,Surface,1,Image 1,1,Class A,290,
11153.3,,Surface,1,Image 1,1,Class A,292,
