
Volume
 ==================== 
Volume,Unit,Category,Time,Set 1,ID,
0.000311984,µm^3,Surface,1,Class A,246,
0.015596,µm^3,Surface,1,Class A,247,
0.144686,µm^3,Surface,1,Class A,248,
0.000314325,µm^3,Surface,1,Class A,249,
0.0217857,µm^3,Surface,1,Class A,250,
0.521936,µm^3,Surface,1,Class A,251,
0.00445614,µm^3,Surface,1,Class A,252,
0.0665632,µm^3,Surface,1,Class A,253,
0.139766,µm^3,Surface,1,Class A,254,
0.0244791,µm^3,Surface,1,Class A,259,
0.0456119,µm^3,Surface,1,Class A,260,
0.00697335,µm^3,Surface,1,Class A,261,
0.318061,µm^3,Surface,1,Class A,262,
0.101475,µm^3,Surface,1,Class A,263,
0.0048225,µm^3,Surface,1,Class A,264,
0.109413,µm^3,Surface,1,Class A,266,
0.00314128,µm^3,Surface,1,Class A,267,
0.35462,µm^3,Surface,1,Class A,268,
0.539589,µm^3,Surface,1,Class A,269,
0.00308281,µm^3,Surface,1,Class A,270,
0.00108972,µm^3,Surface,1,Class A,271,
0.0910426,µm^3,Surface,1,Class A,272,
0.128843,µm^3,Surface,1,Class A,273,
0.000136404,µm^3,Surface,1,Class A,274,
0.070602,µm^3,Surface,1,Class A,279,
0.0173925,µm^3,Surface,1,Class A,280,
0.0548524,µm^3,Surface,1,Class A,281,
0.0699957,µm^3,Surface,1,Class A,283,
0.0205292,µm^3,Surface,1,Class A,284,
1.09852,µm^3,Surface,1,Class A,285,
0.970618,µm^3,Surface,1,Class A,286,
0.000108438,µm^3,Surface,1,Class A,287,
0.0161145,µm^3,Surface,1,Class A,288,
0.150453,µm^3,Surface,1,Class A,289,
0.814286,µm^3,Surface,1,Class A,290,
0.0206349,µm^3,Surface,1,Class A,292,
0.0570598,µm^3,Surface,1,Class A,293,
0.106122,µm^3,Surface,1,Class A,298,
0.0103176,µm^3,Surface,1,Class A,299,
0.00198655,µm^3,Surface,1,Class A,300,
0.000950375,µm^3,Surface,1,Class A,301,
0.00908274,µm^3,Surface,1,Class A,302,
0.00804597,µm^3,Surface,1,Class A,305,
0.0358553,µm^3,Surface,1,Class A,312,
0.0539418,µm^3,Surface,1,Class A,313,
0.495078,µm^3,Surface,1,Class A,315,
0.290047,µm^3,Surface,1,Class A,317,
0.155802,µm^3,Surface,1,Class A,318,
0.002619,µm^3,Surface,1,Class A,322,
0.00620599,µm^3,Surface,1,Class A,323,
0.0442452,µm^3,Surface,1,Class A,324,
0.0587175,µm^3,Surface,1,Class A,331,
0.034711,µm^3,Surface,1,Class A,332,
0.0417822,µm^3,Surface,1,Class A,337,
0.00990284,µm^3,Surface,1,Class A,338,
0.490032,µm^3,Surface,1,Class A,340,
0.0187014,µm^3,Surface,1,Class A,342,
