
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
25510,,Surface,1,Image 1,1,Class A,1077,
28022,,Surface,1,Image 1,1,Class A,1078,
26725,,Surface,1,Image 1,1,Class A,1079,
43390,,Surface,1,Image 1,1,Class A,1080,
19990,,Surface,1,Image 1,1,Class A,1081,
35102,,Surface,1,Image 1,1,Class A,1082,
10448,,Surface,1,Image 1,1,Class A,1083,
26092,,Surface,1,Image 1,1,Class A,1084,
15837,,Surface,1,Image 1,1,Class A,1085,
45744,,Surface,1,Image 1,1,Class A,1086,
22566,,Surface,1,Image 1,1,Class A,1087,
11865,,Surface,1,Image 1,1,Class A,1088,
11373,,Surface,1,Image 1,1,Class A,1089,
31180,,Surface,1,Image 1,1,Class A,1090,
24551,,Surface,1,Image 1,1,Class A,1091,
24591,,Surface,1,Image 1,1,Class A,1092,
24597,,Surface,1,Image 1,1,Class A,1093,
17768,,Surface,1,Image 1,1,Class A,1094,
15798,,Surface,1,Image 1,1,Class A,1095,
11567,,Surface,1,Image 1,1,Class A,1096,
28392,,Surface,1,Image 1,1,Class A,1097,
28946,,Surface,1,Image 1,1,Class A,1098,
13475,,Surface,1,Image 1,1,Class A,1099,
28895,,Surface,1,Image 1,1,Class A,1100,
13396,,Surface,1,Image 1,1,Class A,1101,
17667,,Surface,1,Image 1,1,Class A,1102,
13762,,Surface,1,Image 1,1,Class A,1103,
13594,,Surface,1,Image 1,1,Class A,1104,
13377,,Surface,1,Image 1,1,Class A,1105,
32215,,Surface,1,Image 1,1,Class A,1106,
12180,,Surface,1,Image 1,1,Class A,1107,
21658,,Surface,1,Image 1,1,Class A,1108,
23783,,Surface,1,Image 1,1,Class A,1111,
14886,,Surface,1,Image 1,1,Class A,1112,
29722,,Surface,1,Image 1,1,Class A,1113,
31398,,Surface,1,Image 1,1,Class A,1114,
39854,,Surface,1,Image 1,1,Class A,1115,
37339,,Surface,1,Image 1,1,Class A,1116,
9993,,Surface,1,Image 1,1,Class A,1117,
11589,,Surface,1,Image 1,1,Class A,1118,
21318,,Surface,1,Image 1,1,Class A,1119,
26098,,Surface,1,Image 1,1,Class A,1120,
19761,,Surface,1,Image 1,1,Class A,1121,
33642,,Surface,1,Image 1,1,Class A,1122,
12433,,Surface,1,Image 1,1,Class A,1123,
19141,,Surface,1,Image 1,1,Class A,1124,
19712,,Surface,1,Image 1,1,Class A,1125,
30024,,Surface,1,Image 1,1,Class A,1126,
17922,,Surface,1,Image 1,1,Class A,1127,
20694,,Surface,1,Image 1,1,Class A,1128,
42201,,Surface,1,Image 1,1,Class A,1129,
13977,,Surface,1,Image 1,1,Class A,1130,
30026,,Surface,1,Image 1,1,Class A,1131,
29532,,Surface,1,Image 1,1,Class A,1132,
44271,,Surface,1,Image 1,1,Class A,1133,
25048,,Surface,1,Image 1,1,Class A,1134,
23449,,Surface,1,Image 1,1,Class A,1135,
27254,,Surface,1,Image 1,1,Class A,1136,
36537,,Surface,1,Image 1,1,Class A,1137,
17698,,Surface,1,Image 1,1,Class A,1138,
11967,,Surface,1,Image 1,1,Class A,1139,
25286,,Surface,1,Image 1,1,Class A,1140,
20155,,Surface,1,Image 1,1,Class A,1141,
14480,,Surface,1,Image 1,1,Class A,1142,
16671,,Surface,1,Image 1,1,Class A,1143,
15985,,Surface,1,Image 1,1,Class A,1144,
16060,,Surface,1,Image 1,1,Class A,1145,
13576,,Surface,1,Image 1,1,Class A,1146,
13424,,Surface,1,Image 1,1,Class A,1147,
14861,,Surface,1,Image 1,1,Class A,1148,
16833,,Surface,1,Image 1,1,Class A,1149,
15361,,Surface,1,Image 1,1,Class A,1150,
17610,,Surface,1,Image 1,1,Class A,1151,
22707,,Surface,1,Image 1,1,Class A,1152,
40294,,Surface,1,Image 1,1,Class A,1153,
21749,,Surface,1,Image 1,1,Class A,1154,
10377,,Surface,1,Image 1,1,Class A,1155,
12810,,Surface,1,Image 1,1,Class A,1156,
32836,,Surface,1,Image 1,1,Class A,1157,
23038,,Surface,1,Image 1,1,Class A,1158,
15938,,Surface,1,Image 1,1,Class A,1159,
13387,,Surface,1,Image 1,1,Class A,1160,
38201,,Surface,1,Image 1,1,Class A,1161,
12519,,Surface,1,Image 1,1,Class A,1162,
21979,,Surface,1,Image 1,1,Class A,1163,
11693,,Surface,1,Image 1,1,Class A,1164,
32626,,Surface,1,Image 1,1,Class A,1165,
