
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
5683,,Surface,1,Image 1,1,Class A,1077,
2539,,Surface,1,Image 1,1,Class A,1078,
1500,,Surface,1,Image 1,1,Class A,1079,
2263,,Surface,1,Image 1,1,Class A,1080,
4679,,Surface,1,Image 1,1,Class A,1081,
2258,,Surface,1,Image 1,1,Class A,1082,
7047,,Surface,1,Image 1,1,Class A,1083,
3728,,Surface,1,Image 1,1,Class A,1084,
6920,,Surface,1,Image 1,1,Class A,1085,
7148,,Surface,1,Image 1,1,Class A,1086,
2430,,Surface,1,Image 1,1,Class A,1087,
8309,,Surface,1,Image 1,1,Class A,1088,
8702,,Surface,1,Image 1,1,Class A,1089,
6516,,Surface,1,Image 1,1,Class A,1090,
1753,,Surface,1,Image 1,1,Class A,1091,
9365,,Surface,1,Image 1,1,Class A,1092,
1177,,Surface,1,Image 1,1,Class A,1093,
6801,,Surface,1,Image 1,1,Class A,1094,
3010,,Surface,1,Image 1,1,Class A,1095,
7002,,Surface,1,Image 1,1,Class A,1096,
1239,,Surface,1,Image 1,1,Class A,1097,
2517,,Surface,1,Image 1,1,Class A,1098,
6105,,Surface,1,Image 1,1,Class A,1099,
3511,,Surface,1,Image 1,1,Class A,1100,
5187,,Surface,1,Image 1,1,Class A,1101,
9011,,Surface,1,Image 1,1,Class A,1102,
5866,,Surface,1,Image 1,1,Class A,1103,
5866,,Surface,1,Image 1,1,Class A,1104,
7060,,Surface,1,Image 1,1,Class A,1105,
543,,Surface,1,Image 1,1,Class A,1106,
5089,,Surface,1,Image 1,1,Class A,1107,
1430,,Surface,1,Image 1,1,Class A,1108,
12010,,Surface,1,Image 1,1,Class A,1111,
5378,,Surface,1,Image 1,1,Class A,1112,
3771,,Surface,1,Image 1,1,Class A,1113,
1652,,Surface,1,Image 1,1,Class A,1114,
3046,,Surface,1,Image 1,1,Class A,1115,
2255,,Surface,1,Image 1,1,Class A,1116,
7296,,Surface,1,Image 1,1,Class A,1117,
4063,,Surface,1,Image 1,1,Class A,1118,
3978,,Surface,1,Image 1,1,Class A,1119,
853,,Surface,1,Image 1,1,Class A,1120,
3221,,Surface,1,Image 1,1,Class A,1121,
0,,Surface,1,Image 1,1,Class A,1122,
5155,,Surface,1,Image 1,1,Class A,1123,
2762,,Surface,1,Image 1,1,Class A,1124,
5731,,Surface,1,Image 1,1,Class A,1125,
5573,,Surface,1,Image 1,1,Class A,1126,
5132,,Surface,1,Image 1,1,Class A,1127,
9499,,Surface,1,Image 1,1,Class A,1128,
1777,,Surface,1,Image 1,1,Class A,1129,
7681,,Surface,1,Image 1,1,Class A,1130,
3102,,Surface,1,Image 1,1,Class A,1131,
9027,,Surface,1,Image 1,1,Class A,1132,
1902,,Surface,1,Image 1,1,Class A,1133,
6172,,Surface,1,Image 1,1,Class A,1134,
9389,,Surface,1,Image 1,1,Class A,1135,
6639,,Surface,1,Image 1,1,Class A,1136,
3282,,Surface,1,Image 1,1,Class A,1137,
7990,,Surface,1,Image 1,1,Class A,1138,
7207,,Surface,1,Image 1,1,Class A,1139,
4931,,Surface,1,Image 1,1,Class A,1140,
5501,,Surface,1,Image 1,1,Class A,1141,
10015,,Surface,1,Image 1,1,Class A,1142,
7169,,Surface,1,Image 1,1,Class A,1143,
4400,,Surface,1,Image 1,1,Class A,1144,
5860,,Surface,1,Image 1,1,Class A,1145,
4808,,Surface,1,Image 1,1,Class A,1146,
6199,,Surface,1,Image 1,1,Class A,1147,
9786,,Surface,1,Image 1,1,Class A,1148,
6083,,Surface,1,Image 1,1,Class A,1149,
4671,,Surface,1,Image 1,1,Class A,1150,
4820,,Surface,1,Image 1,1,Class A,1151,
3223,,Surface,1,Image 1,1,Class A,1152,
2879,,Surface,1,Image 1,1,Class A,1153,
2091,,Surface,1,Image 1,1,Class A,1154,
6820,,Surface,1,Image 1,1,Class A,1155,
8378,,Surface,1,Image 1,1,Class A,1156,
4057,,Surface,1,Image 1,1,Class A,1157,
3067,,Surface,1,Image 1,1,Class A,1158,
4937,,Surface,1,Image 1,1,Class A,1159,
9327,,Surface,1,Image 1,1,Class A,1160,
4479,,Surface,1,Image 1,1,Class A,1161,
8148,,Surface,1,Image 1,1,Class A,1162,
5826,,Surface,1,Image 1,1,Class A,1163,
8603,,Surface,1,Image 1,1,Class A,1164,
2999,,Surface,1,Image 1,1,Class A,1165,
4180,,Surface,1,Image 1,1,Class A,1166,
5641,,Surface,1,Image 1,1,Class A,1167,
3616,,Surface,1,Image 1,1,Class A,1168,
7884,,Surface,1,Image 1,1,Class A,1169,
4541,,Surface,1,Image 1,1,Class A,1170,
8280,,Surface,1,Image 1,1,Class A,1171,
1521,,Surface,1,Image 1,1,Class A,1172,
7418,,Surface,1,Image 1,1,Class A,1173,
4856,,Surface,1,Image 1,1,Class A,1174,
8319,,Surface,1,Image 1,1,Class A,1175,
7164,,Surface,1,Image 1,1,Class A,1176,
3182,,Surface,1,Image 1,1,Class A,1177,
6818,,Surface,1,Image 1,1,Class A,1178,
1565,,Surface,1,Image 1,1,Class A,1179,
10482,,Surface,1,Image 1,1,Class A,1180,
5278,,Surface,1,Image 1,1,Class A,1181,
9526,,Surface,1,Image 1,1,Class A,1182,
1735,,Surface,1,Image 1,1,Class A,1183,
10289,,Surface,1,Image 1,1,Class A,1184,
8622,,Surface,1,Image 1,1,Class A,1185,
6903,,Surface,1,Image 1,1,Class A,1186,
5619,,Surface,1,Image 1,1,Class A,1187,
7458,,Surface,1,Image 1,1,Class A,1188,
6543,,Surface,1,Image 1,1,Class A,1189,
9323,,Surface,1,Image 1,1,Class A,1190,
5897,,Surface,1,Image 1,1,Class A,1191,
10582,,Surface,1,Image 1,1,Class A,1192,
9093,,Surface,1,Image 1,1,Class A,1193,
7903,,Surface,1,Image 1,1,Class A,1194,
5453,,Surface,1,Image 1,1,Class A,1195,
1242,,Surface,1,Image 1,1,Class A,1196,
8151,,Surface,1,Image 1,1,Class A,1197,
9483,,Surface,1,Image 1,1,Class A,1198,
4458,,Surface,1,Image 1,1,Class A,1199,
0,,Surface,1,Image 1,1,Class A,1200,
8694,,Surface,1,Image 1,1,Class A,1201,
10244,,Surface,1,Image 1,1,Class A,1202,
6890,,Surface,1,Image 1,1,Class A,1203,
8564,,Surface,1,Image 1,1,Class A,1204,
6925,,Surface,1,Image 1,1,Class A,1205,
7247,,Surface,1,Image 1,1,Class A,1206,
6735,,Surface,1,Image 1,1,Class A,1207,
4581,,Surface,1,Image 1,1,Class A,1208,
2546,,Surface,1,Image 1,1,Class A,1209,
8557,,Surface,1,Image 1,1,Class A,1210,
9393,,Surface,1,Image 1,1,Class A,1211,
3640,,Surface,1,Image 1,1,Class A,1212,
10939,,Surface,1,Image 1,1,Class A,1213,
5758,,Surface,1,Image 1,1,Class A,1214,
10605,,Surface,1,Image 1,1,Class A,1215,
5083,,Surface,1,Image 1,1,Class A,1216,
5472,,Surface,1,Image 1,1,Class A,1217,
2578,,Surface,1,Image 1,1,Class A,1218,
6271,,Surface,1,Image 1,1,Class A,1219,
7363,,Surface,1,Image 1,1,Class A,1220,
5028,,Surface,1,Image 1,1,Class A,1221,
7294,,Surface,1,Image 1,1,Class A,1222,
6403,,Surface,1,Image 1,1,Class A,1223,
6537,,Surface,1,Image 1,1,Class A,1224,
6725,,Surface,1,Image 1,1,Class A,1225,
5532,,Surface,1,Image 1,1,Class A,1226,
6775,,Surface,1,Image 1,1,Class A,1227,
9347,,Surface,1,Image 1,1,Class A,1228,
2184,,Surface,1,Image 1,1,Class A,1229,
6867,,Surface,1,Image 1,1,Class A,1230,
940,,Surface,1,Image 1,1,Class A,1231,
1560,,Surface,1,Image 1,1,Class A,1232,
5020,,Surface,1,Image 1,1,Class A,1233,
7567,,Surface,1,Image 1,1,Class A,1234,
2069,,Surface,1,Image 1,1,Class A,1235,
1154,,Surface,1,Image 1,1,Class A,1236,
2270,,Surface,1,Image 1,1,Class A,1237,
1373,,Surface,1,Image 1,1,Class A,1238,
2451,,Surface,1,Image 1,1,Class A,1239,
3641,,Surface,1,Image 1,1,Class A,1240,
6304,,Surface,1,Image 1,1,Class A,1241,
1245,,Surface,1,Image 1,1,Class A,1242,
5998,,Surface,1,Image 1,1,Class A,1243,
8897,,Surface,1,Image 1,1,Class A,1244,
8118,,Surface,1,Image 1,1,Class A,1245,
3048,,Surface,1,Image 1,1,Class A,1246,
7197,,Surface,1,Image 1,1,Class A,1247,
3236,,Surface,1,Image 1,1,Class A,1248,
1617,,Surface,1,Image 1,1,Class A,1249,
1303,,Surface,1,Image 1,1,Class A,1250,
10157,,Surface,1,Image 1,1,Class A,1251,
7523,,Surface,1,Image 1,1,Class A,1252,
7590,,Surface,1,Image 1,1,Class A,1253,
6468,,Surface,1,Image 1,1,Class A,1254,
4821,,Surface,1,Image 1,1,Class A,1255,
5920,,Surface,1,Image 1,1,Class A,1256,
6176,,Surface,1,Image 1,1,Class A,1257,
5248,,Surface,1,Image 1,1,Class A,1258,
5816,,Surface,1,Image 1,1,Class A,1259,
0,,Surface,1,Image 1,1,Class B,1260,
1325,,Surface,1,Image 1,1,Class A,1261,
6389,,Surface,1,Image 1,1,Class A,1262,
6764,,Surface,1,Image 1,1,Class A,1263,
3807,,Surface,1,Image 1,1,Class A,1264,
7022,,Surface,1,Image 1,1,Class A,1265,
7503,,Surface,1,Image 1,1,Class A,1266,
5952,,Surface,1,Image 1,1,Class A,1267,
7383,,Surface,1,Image 1,1,Class A,1268,
7928,,Surface,1,Image 1,1,Class A,1269,
7587,,Surface,1,Image 1,1,Class A,1270,
2210,,Surface,1,Image 1,1,Class A,1271,
2658,,Surface,1,Image 1,1,Class A,1272,
5040,,Surface,1,Image 1,1,Class A,1273,
10276,,Surface,1,Image 1,1,Class A,1274,
7641,,Surface,1,Image 1,1,Class A,1275,
8055,,Surface,1,Image 1,1,Class A,1276,
0,,Surface,1,Image 1,1,Class A,1277,
6312,,Surface,1,Image 1,1,Class A,1278,
3889,,Surface,1,Image 1,1,Class A,1279,
7581,,Surface,1,Image 1,1,Class A,1280,
3461,,Surface,1,Image 1,1,Class A,1281,
2625,,Surface,1,Image 1,1,Class A,1282,
7364,,Surface,1,Image 1,1,Class A,1283,
4508,,Surface,1,Image 1,1,Class A,1284,
8336,,Surface,1,Image 1,1,Class A,1285,
6200,,Surface,1,Image 1,1,Class A,1286,
4740,,Surface,1,Image 1,1,Class A,1287,
8236,,Surface,1,Image 1,1,Class A,1288,
2658,,Surface,1,Image 1,1,Class A,1289,
1927,,Surface,1,Image 1,1,Class A,1290,
2319,,Surface,1,Image 1,1,Class A,1291,
7661,,Surface,1,Image 1,1,Class A,1292,
9079,,Surface,1,Image 1,1,Class A,1293,
2945,,Surface,1,Image 1,1,Class A,1294,
7846,,Surface,1,Image 1,1,Class A,1295,
3757,,Surface,1,Image 1,1,Class A,1296,
10077,,Surface,1,Image 1,1,Class A,1297,
1564,,Surface,1,Image 1,1,Class A,1298,
7615,,Surface,1,Image 1,1,Class A,1299,
5512,,Surface,1,Image 1,1,Class A,1300,
4729,,Surface,1,Image 1,1,Class A,1301,
1222,,Surface,1,Image 1,1,Class A,1302,
10322,,Surface,1,Image 1,1,Class A,1303,
9471,,Surface,1,Image 1,1,Class A,1304,
3277,,Surface,1,Image 1,1,Class A,1305,
4144,,Surface,1,Image 1,1,Class A,1306,
6360,,Surface,1,Image 1,1,Class A,1307,
6319,,Surface,1,Image 1,1,Class A,1308,
10274,,Surface,1,Image 1,1,Class A,1309,
0,,Surface,1,Image 1,1,Class A,1310,
10010,,Surface,1,Image 1,1,Class A,1311,
6457,,Surface,1,Image 1,1,Class A,1312,
9368,,Surface,1,Image 1,1,Class A,1313,
5109,,Surface,1,Image 1,1,Class A,1314,
4728,,Surface,1,Image 1,1,Class A,1315,
6766,,Surface,1,Image 1,1,Class A,1316,
4899,,Surface,1,Image 1,1,Class A,1317,
1858,,Surface,1,Image 1,1,Class A,1318,
8232,,Surface,1,Image 1,1,Class A,1319,
5363,,Surface,1,Image 1,1,Class A,1320,
3154,,Surface,1,Image 1,1,Class A,1321,
5089,,Surface,1,Image 1,1,Class A,1322,
10053,,Surface,1,Image 1,1,Class A,1323,
6662,,Surface,1,Image 1,1,Class A,1324,
4676,,Surface,1,Image 1,1,Class A,1325,
869,,Surface,1,Image 1,1,Class B,1326,
7605,,Surface,1,Image 1,1,Class A,1327,
4028,,Surface,1,Image 1,1,Class A,1328,
4193,,Surface,1,Image 1,1,Class A,1329,
9549,,Surface,1,Image 1,1,Class A,1330,
1680,,Surface,1,Image 1,1,Class A,1331,
12409,,Surface,1,Image 1,1,Class A,1332,
10651,,Surface,1,Image 1,1,Class A,1333,
8672,,Surface,1,Image 1,1,Class A,1334,
12101,,Surface,1,Image 1,1,Class A,1335,
8244,,Surface,1,Image 1,1,Class A,1336,
4189,,Surface,1,Image 1,1,Class A,1337,
4524,,Surface,1,Image 1,1,Class A,1338,
2764,,Surface,1,Image 1,1,Class A,1339,
4867,,Surface,1,Image 1,1,Class A,1340,
9634,,Surface,1,Image 1,1,Class A,1341,
9409,,Surface,1,Image 1,1,Class A,1342,
4513,,Surface,1,Image 1,1,Class A,1343,
7150,,Surface,1,Image 1,1,Class A,1344,
4331,,Surface,1,Image 1,1,Class A,1345,
9019,,Surface,1,Image 1,1,Class A,1346,
3623,,Surface,1,Image 1,1,Class A,1347,
8571,,Surface,1,Image 1,1,Class A,1348,
599,,Surface,1,Image 1,1,Class A,1349,
2767,,Surface,1,Image 1,1,Class A,1350,
6672,,Surface,1,Image 1,1,Class A,1351,
6283,,Surface,1,Image 1,1,Class A,1352,
8192,,Surface,1,Image 1,1,Class A,1354,
10189,,Surface,1,Image 1,1,Class A,1355,
2161,,Surface,1,Image 1,1,Class A,1356,
4844,,Surface,1,Image 1,1,Class A,1357,
4120,,Surface,1,Image 1,1,Class A,1358,
4816,,Surface,1,Image 1,1,Class A,1359,
836,,Surface,1,Image 1,1,Class A,1360,
2645,,Surface,1,Image 1,1,Class A,1361,
0,,Surface,1,Image 1,1,Class B,1362,
11213,,Surface,1,Image 1,1,Class A,1363,
4575,,Surface,1,Image 1,1,Class A,1365,
4981,,Surface,1,Image 1,1,Class A,1366,
4908,,Surface,1,Image 1,1,Class A,1367,
3553,,Surface,1,Image 1,1,Class A,1368,
1753,,Surface,1,Image 1,1,Class A,1369,
2706,,Surface,1,Image 1,1,Class A,1370,
7509,,Surface,1,Image 1,1,Class A,1371,
3857,,Surface,1,Image 1,1,Class A,1372,
6198,,Surface,1,Image 1,1,Class A,1373,
5570,,Surface,1,Image 1,1,Class A,1374,
7641,,Surface,1,Image 1,1,Class A,1376,
6703,,Surface,1,Image 1,1,Class A,1378,
8095,,Surface,1,Image 1,1,Class A,1379,
23,,Surface,1,Image 1,1,Class B,1380,
4092,,Surface,1,Image 1,1,Class A,1381,
