
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,Set 1,ID,
0.480784,,Surface,1,Class A,1077,
0.892896,,Surface,1,Class A,1078,
0.962707,,Surface,1,Class A,1079,
0.963158,,Surface,1,Class A,1080,
0.953619,,Surface,1,Class A,1081,
0.662707,,Surface,1,Class A,1082,
0.637666,,Surface,1,Class A,1083,
0.966424,,Surface,1,Class A,1084,
0.890837,,Surface,1,Class A,1085,
0.953149,,Surface,1,Class A,1086,
0.94492,,Surface,1,Class A,1087,
0.841326,,Surface,1,Class A,1088,
0.753075,,Surface,1,Class A,1089,
0.954914,,Surface,1,Class A,1090,
0.831206,,Surface,1,Class A,1091,
0.9595,,Surface,1,Class A,1092,
0.780792,,Surface,1,Class A,1093,
0.945037,,Surface,1,Class A,1094,
0.934408,,Surface,1,Class A,1095,
0.722385,,Surface,1,Class A,1096,
0.595679,,Surface,1,Class A,1097,
0.909718,,Surface,1,Class A,1098,
0.880842,,Surface,1,Class A,1099,
0.849395,,Surface,1,Class A,1100,
0.9104,,Surface,1,Class A,1101,
0.912999,,Surface,1,Class A,1102,
0.921781,,Surface,1,Class A,1103,
0.921521,,Surface,1,Class A,1104,
0.916369,,Surface,1,Class A,1105,
0.875518,,Surface,1,Class A,1106,
0.821774,,Surface,1,Class A,1107,
0.93499,,Surface,1,Class A,1108,
0.927352,,Surface,1,Class A,1111,
0.834958,,Surface,1,Class A,1112,
0.729349,,Surface,1,Class A,1113,
0.97626,,Surface,1,Class A,1114,
0.803823,,Surface,1,Class A,1115,
0.968098,,Surface,1,Class A,1116,
0.837603,,Surface,1,Class A,1117,
0.740709,,Surface,1,Class A,1118,
0.969792,,Surface,1,Class A,1119,
0.690379,,Surface,1,Class A,1120,
0.954793,,Surface,1,Class A,1121,
0.634152,,Surface,1,Class A,1122,
0.823655,,Surface,1,Class A,1123,
0.662017,,Surface,1,Class A,1124,
0.966104,,Surface,1,Class A,1125,
0.9544,,Surface,1,Class A,1126,
0.953501,,Surface,1,Class A,1127,
0.684085,,Surface,1,Class A,1128,
0.618777,,Surface,1,Class A,1129,
0.896428,,Surface,1,Class A,1130,
0.580032,,Surface,1,Class A,1131,
0.934288,,Surface,1,Class A,1132,
0.673404,,Surface,1,Class A,1133,
0.977931,,Surface,1,Class A,1134,
0.859156,,Surface,1,Class A,1135,
0.950646,,Surface,1,Class A,1136,
0.624843,,Surface,1,Class A,1137,
0.908148,,Surface,1,Class A,1138,
0.661786,,Surface,1,Class A,1139,
0.92472,,Surface,1,Class A,1140,
0.94581,,Surface,1,Class A,1141,
0.909608,,Surface,1,Class A,1142,
0.891609,,Surface,1,Class A,1143,
0.95599,,Surface,1,Class A,1144,
0.953027,,Surface,1,Class A,1145,
0.91098,,Surface,1,Class A,1146,
0.910143,,Surface,1,Class A,1147,
0.909664,,Surface,1,Class A,1148,
0.935615,,Surface,1,Class A,1149,
0.933645,,Surface,1,Class A,1150,
0.945756,,Surface,1,Class A,1151,
0.609269,,Surface,1,Class A,1152,
0.678031,,Surface,1,Class A,1153,
0.965097,,Surface,1,Class A,1154,
0.827767,,Surface,1,Class A,1155,
0.878915,,Surface,1,Class A,1156,
0.960961,,Surface,1,Class A,1157,
0.862619,,Surface,1,Class A,1158,
0.959074,,Surface,1,Class A,1159,
0.895972,,Surface,1,Class A,1160,
0.783648,,Surface,1,Class A,1161,
0.814584,,Surface,1,Class A,1162,
0.928131,,Surface,1,Class A,1163,
0.814554,,Surface,1,Class A,1164,
0.531801,,Surface,1,Class A,1165,
0.874639,,Surface,1,Class A,1166,
0.920825,,Surface,1,Class A,1167,
0.803056,,Surface,1,Class A,1168,
0.936205,,Surface,1,Class A,1169,
0.78353,,Surface,1,Class A,1170,
0.939414,,Surface,1,Class A,1171,
0.971455,,Surface,1,Class A,1172,
0.505686,,Surface,1,Class A,1173,
0.764559,,Surface,1,Class A,1174,
0.652292,,Surface,1,Class A,1175,
0.820643,,Surface,1,Class A,1176,
0.956672,,Surface,1,Class A,1177,
0.854068,,Surface,1,Class A,1178,
0.760829,,Surface,1,Class A,1179,
0.921597,,Surface,1,Class A,1180,
0.782664,,Surface,1,Class A,1181,
0.878713,,Surface,1,Class A,1182,
0.923909,,Surface,1,Class A,1183,
0.94313,,Surface,1,Class A,1184,
0.929063,,Surface,1,Class A,1185,
0.908847,,Surface,1,Class A,1186,
0.887904,,Surface,1,Class A,1187,
0.72235,,Surface,1,Class A,1188,
0.962552,,Surface,1,Class A,1189,
0.847233,,Surface,1,Class A,1190,
0.949657,,Surface,1,Class A,1191,
0.827021,,Surface,1,Class A,1192,
0.824228,,Surface,1,Class A,1193,
0.878084,,Surface,1,Class A,1194,
0.685933,,Surface,1,Class A,1195,
0.939384,,Surface,1,Class A,1196,
0.890534,,Surface,1,Class A,1197,
