
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,ID,
9.84957,µm^2,Cell,1,0,
3.58956,µm^2,Cell,1,1,
0.868442,µm^2,Cell,1,2,
0.173688,µm^2,Cell,1,3,
0.651331,µm^2,Cell,1,4,
0.817782,µm^2,Cell,1,5,
4.09977,µm^2,Cell,1,6,
7.69656,µm^2,Cell,1,7,
7.49031,µm^2,Cell,1,8,
1.29904,µm^2,Cell,1,9,
0.546394,µm^2,Cell,1,10,
0.256914,µm^2,Cell,1,11,
1.77669,µm^2,Cell,1,12,
7.7436,µm^2,Cell,1,13,
7.43965,µm^2,Cell,1,14,
0.289481,µm^2,Cell,1,15,
0.759886,µm^2,Cell,1,16,
0.571724,µm^2,Cell,1,17,
0.423365,µm^2,Cell,1,18,
0.115792,µm^2,Cell,1,19,
0.578961,µm^2,Cell,1,20,
0.495735,µm^2,Cell,1,21,
0.300336,µm^2,Cell,1,22,
1.20858,µm^2,Cell,1,23,
0.976997,µm^2,Cell,1,24,
0.680279,µm^2,Cell,1,25,
1.20134,µm^2,Cell,1,26,
