
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,ID,
0.0780925,,Cell,1,0,
0.696405,,Cell,1,1,
0.28815,,Cell,1,2,
0.701361,,Cell,1,3,
0.820684,,Cell,1,4,
0.589643,,Cell,1,5,
0.409115,,Cell,1,6,
0.459095,,Cell,1,7,
0.216554,,Cell,1,8,
0.309375,,Cell,1,9,
0.427578,,Cell,1,10,
0.778052,,Cell,1,11,
0.0968015,,Cell,1,12,
0.525155,,Cell,1,13,
0.285244,,Cell,1,14,
0.648257,,Cell,1,15,
0.447941,,Cell,1,16,
0.149264,,Cell,1,17,
0.37679,,Cell,1,18,
0.720034,,Cell,1,19,
0.675681,,Cell,1,20,
0.621125,,Cell,1,21,
0.798871,,Cell,1,22,
0.262154,,Cell,1,23,
0.185677,,Cell,1,24,
0.426884,,Cell,1,25,
0.485401,,Cell,1,26,
