
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,ID,
0.00145619,,Cell,1,0,
0.000607441,,Cell,1,1,
0.0133212,,Cell,1,2,
0.0337523,,Cell,1,3,
0.00639967,,Cell,1,4,
0.00773677,,Cell,1,5,
0.00131835,,Cell,1,6,
0.000534159,,Cell,1,7,
0.000717059,,Cell,1,8,
0.00815503,,Cell,1,9,
0.0163224,,Cell,1,10,
0.0190593,,Cell,1,11,
0.0112776,,Cell,1,12,
0.000387745,,Cell,1,13,
0.00056788,,Cell,1,14,
0.0214517,,Cell,1,15,
0.011027,,Cell,1,16,
0.0271419,,Cell,1,17,
0.0235872,,Cell,1,18,
0.0504907,,Cell,1,19,
0.00962216,,Cell,1,20,
0.0126127,,Cell,1,21,
0.0152954,,Cell,1,22,
0.0102397,,Cell,1,23,
0.0158437,,Cell,1,24,
0.0125635,,Cell,1,25,
0.00576819,,Cell,1,26,
