
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,ID,
0.157595,,Cell,1,0,
0.222478,,Cell,1,1,
0.346852,,Cell,1,2,
0.539003,,Cell,1,3,
0.380919,,Cell,1,4,
0.357314,,Cell,1,5,
0.213983,,Cell,1,6,
0.172488,,Cell,1,7,
0.173999,,Cell,1,8,
0.309834,,Cell,1,9,
0.393898,,Cell,1,10,
0.486547,,Cell,1,11,
0.27575,,Cell,1,12,
0.172966,,Cell,1,13,
0.175119,,Cell,1,14,
0.473469,,Cell,1,15,
0.361612,,Cell,1,16,
0.372321,,Cell,1,17,
0.424219,,Cell,1,18,
0.59327,,Cell,1,19,
0.393763,,Cell,1,20,
0.412527,,Cell,1,21,
0.470961,,Cell,1,22,
0.314257,,Cell,1,23,
0.332274,,Cell,1,24,
0.372717,,Cell,1,25,
0.317622,,Cell,1,26,
