
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,ID,
4.16852,µm^2,Cell,1,0,
0.929956,µm^2,Cell,1,1,
3.1083,µm^2,Cell,1,2,
1.58129,µm^2,Cell,1,3,
0.607909,µm^2,Cell,1,4,
1.81287,µm^2,Cell,1,5,
6.71595,µm^2,Cell,1,6,
1.98656,µm^2,Cell,1,7,
0.966141,µm^2,Cell,1,8,
0.669424,µm^2,Cell,1,9,
0.466787,µm^2,Cell,1,10,
0.698372,µm^2,Cell,1,11,
1.31352,µm^2,Cell,1,12,
0.835875,µm^2,Cell,1,13,
0.976997,µm^2,Cell,1,14,
8.64823,µm^2,Cell,1,15,
1.28095,µm^2,Cell,1,16,
2.28328,µm^2,Cell,1,17,
0.282243,µm^2,Cell,1,18,
1.04937,µm^2,Cell,1,19,
13.5658,µm^2,Cell,1,20,
0.336521,µm^2,Cell,1,21,
4.34944,µm^2,Cell,1,22,
0.41251,µm^2,Cell,1,23,
0.24244,µm^2,Cell,1,24,
1.13259,µm^2,Cell,1,25,
0.723701,µm^2,Cell,1,26,
2.53295,µm^2,Cell,1,27,
1.28095,µm^2,Cell,1,28,
2.88395,µm^2,Cell,1,29,
1.67175,µm^2,Cell,1,30,
0.416128,µm^2,Cell,1,31,
5.83303,µm^2,Cell,1,32,
0.70199,µm^2,Cell,1,33,
4.57741,µm^2,Cell,1,34,
1.70794,µm^2,Cell,1,35,
0.303955,µm^2,Cell,1,36,
0.260532,µm^2,Cell,1,37,
0.437839,µm^2,Cell,1,38,
0.231584,µm^2,Cell,1,39,
1.71517,µm^2,Cell,1,40,
0.651331,µm^2,Cell,1,41,
