
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,ID,
0.559505,,Cell,1,0,
0.636018,,Cell,1,1,
0.201503,,Cell,1,2,
0.82391,,Cell,1,3,
0.343993,,Cell,1,4,
0.4749,,Cell,1,5,
0.225966,,Cell,1,6,
0.916764,,Cell,1,7,
0.54479,,Cell,1,8,
0.574643,,Cell,1,9,
0.5679,,Cell,1,10,
0.75996,,Cell,1,11,
0.298256,,Cell,1,12,
0.176788,,Cell,1,13,
0.856909,,Cell,1,14,
0.4303,,Cell,1,15,
0.214694,,Cell,1,16,
0.412339,,Cell,1,17,
0.908053,,Cell,1,18,
0.681268,,Cell,1,19,
0.0803344,,Cell,1,20,
0.257708,,Cell,1,21,
0.28213,,Cell,1,22,
0.701261,,Cell,1,23,
0.948853,,Cell,1,24,
0.185559,,Cell,1,25,
0.600636,,Cell,1,26,
0.365185,,Cell,1,27,
0.195951,,Cell,1,28,
0.644059,,Cell,1,29,
0.664651,,Cell,1,30,
0.22091,,Cell,1,31,
0.134077,,Cell,1,32,
0.870918,,Cell,1,33,
0.906179,,Cell,1,34,
0.162752,,Cell,1,35,
0.764823,,Cell,1,36,
0.436964,,Cell,1,37,
0.296979,,Cell,1,38,
0.6825,,Cell,1,39,
0.40853,,Cell,1,40,
0.607496,,Cell,1,41,
