
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,ID,
0.00124827,,Cell,1,0,
0.00621567,,Cell,1,1,
0.00291394,,Cell,1,2,
0.00244838,,Cell,1,3,
0.0170735,,Cell,1,4,
0.00404834,,Cell,1,5,
0.000826697,,Cell,1,6,
0.00155322,,Cell,1,7,
0.00709674,,Cell,1,8,
0.00970124,,Cell,1,9,
0.0138244,,Cell,1,10,
0.00667087,,Cell,1,11,
0.00831029,,Cell,1,12,
0.0179889,,Cell,1,13,
0.00371797,,Cell,1,14,
0.00049203,,Cell,1,15,
0.0105852,,Cell,1,16,
0.00247576,,Cell,1,17,
0.0128537,,Cell,1,18,
0.00480787,,Cell,1,19,
0.000918354,,Cell,1,20,
0.0383343,,Cell,1,21,
0.00179115,,Cell,1,22,
0.0131588,,Cell,1,23,
0.013309,,Cell,1,24,
0.0133657,,Cell,1,25,
0.00872081,,Cell,1,26,
0.00349549,,Cell,1,27,
0.00984483,,Cell,1,28,
0.00180785,,Cell,1,29,
0.00290183,,Cell,1,30,
0.0301327,,Cell,1,31,
0.00154889,,Cell,1,32,
0.00449866,,Cell,1,33,
0.000674216,,Cell,1,34,
0.00936642,,Cell,1,35,
0.0153035,,Cell,1,36,
0.0359073,,Cell,1,37,
0.0271147,,Cell,1,38,
0.0256822,,Cell,1,39,
0.00498644,,Cell,1,40,
0.00960369,,Cell,1,41,
