
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,ID,
0.217247,,Cell,1,0,
0.343913,,Cell,1,1,
0.233807,,Cell,1,2,
0.297374,,Cell,1,3,
0.384354,,Cell,1,4,
0.281734,,Cell,1,5,
0.1836,,Cell,1,6,
0.276716,,Cell,1,7,
0.33996,,Cell,1,8,
0.377141,,Cell,1,9,
0.406517,,Cell,1,10,
0.37537,,Cell,1,11,
0.307074,,Cell,1,12,
0.348372,,Cell,1,13,
0.3391,,Cell,1,14,
0.16633,,Cell,1,15,
0.310169,,Cell,1,16,
0.25505,,Cell,1,17,
0.475109,,Cell,1,18,
0.331771,,Cell,1,19,
0.144343,,Cell,1,20,
0.437392,,Cell,1,21,
0.208342,,Cell,1,22,
0.435383,,Cell,1,23,
0.496317,,Cell,1,24,
0.32032,,Cell,1,25,
0.371014,,Cell,1,26,
0.254122,,Cell,1,27,
0.308816,,Cell,1,28,
0.244843,,Cell,1,29,
0.287907,,Cell,1,30,
0.409658,,Cell,1,31,
0.190391,,Cell,1,32,
0.365806,,Cell,1,33,
0.213806,,Cell,1,34,
0.283646,,Cell,1,35,
0.446061,,Cell,1,36,
0.479789,,Cell,1,37,
0.41897,,Cell,1,38,
0.499001,,Cell,1,39,
0.287455,,Cell,1,40,
0.379236,,Cell,1,41,
