
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,ID,
0.832256,µm^2,Cell,1,0,
0.213492,µm^2,Cell,1,1,
1.24115,µm^2,Cell,1,2,
0.55725,µm^2,Cell,1,3,
3.36883,µm^2,Cell,1,4,
3.35436,µm^2,Cell,1,5,
2.0336,µm^2,Cell,1,6,
1.04213,µm^2,Cell,1,7,
0.246058,µm^2,Cell,1,8,
1.27371,µm^2,Cell,1,9,
0.901008,µm^2,Cell,1,10,
5.27216,µm^2,Cell,1,11,
1.30628,µm^2,Cell,1,12,
0.481261,µm^2,Cell,1,13,
0.62962,µm^2,Cell,1,14,
2.57276,µm^2,Cell,1,15,
0.644094,µm^2,Cell,1,16,
0.521065,µm^2,Cell,1,17,
4.15405,µm^2,Cell,1,18,
0.973378,µm^2,Cell,1,19,
1.13259,µm^2,Cell,1,20,
1.5053,µm^2,Cell,1,21,
0.524683,µm^2,Cell,1,22,
1.66451,µm^2,Cell,1,23,
3.98398,µm^2,Cell,1,24,
1.63556,µm^2,Cell,1,25,
0.785216,µm^2,Cell,1,26,
2.59447,µm^2,Cell,1,27,
1.13621,µm^2,Cell,1,28,
0.455932,µm^2,Cell,1,29,
0.792453,µm^2,Cell,1,30,
1.13259,µm^2,Cell,1,31,
0.589817,µm^2,Cell,1,32,
0.875679,µm^2,Cell,1,33,
2.08788,µm^2,Cell,1,34,
0.539157,µm^2,Cell,1,35,
1.16878,µm^2,Cell,1,36,
1.15068,µm^2,Cell,1,37,
1.72241,µm^2,Cell,1,38,
1.29181,µm^2,Cell,1,39,
1.3099,µm^2,Cell,1,40,
0.434221,µm^2,Cell,1,41,
0.825019,µm^2,Cell,1,42,
0.408891,µm^2,Cell,1,43,
1.84182,µm^2,Cell,1,44,
1.30628,µm^2,Cell,1,45,
1.01318,µm^2,Cell,1,46,
0.539157,µm^2,Cell,1,47,
