
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,ID,
0.824709,,Cell,1,0,
0.706518,,Cell,1,1,
0.727501,,Cell,1,2,
0.760126,,Cell,1,3,
0.833486,,Cell,1,4,
0.339889,,Cell,1,5,
0.549697,,Cell,1,6,
0.856969,,Cell,1,7,
0.897971,,Cell,1,8,
0.693375,,Cell,1,9,
0.433906,,Cell,1,10,
0.429531,,Cell,1,11,
0.304174,,Cell,1,12,
0.853318,,Cell,1,13,
0.7624,,Cell,1,14,
0.360277,,Cell,1,15,
0.825976,,Cell,1,16,
0.924609,,Cell,1,17,
0.196567,,Cell,1,18,
0.561819,,Cell,1,19,
0.656153,,Cell,1,20,
0.699213,,Cell,1,21,
0.524772,,Cell,1,22,
0.897456,,Cell,1,23,
0.455594,,Cell,1,24,
0.380665,,Cell,1,25,
0.688175,,Cell,1,26,
0.258811,,Cell,1,27,
0.688141,,Cell,1,28,
0.704148,,Cell,1,29,
0.943105,,Cell,1,30,
0.586851,,Cell,1,31,
0.896038,,Cell,1,32,
0.617672,,Cell,1,33,
0.430188,,Cell,1,34,
0.248395,,Cell,1,35,
0.652627,,Cell,1,36,
0.753278,,Cell,1,37,
0.50195,,Cell,1,38,
0.879368,,Cell,1,39,
0.899247,,Cell,1,40,
0.272967,,Cell,1,41,
0.336608,,Cell,1,42,
0.110851,,Cell,1,43,
0.231475,,Cell,1,44,
0.588836,,Cell,1,45,
0.724515,,Cell,1,46,
0.790362,,Cell,1,47,
