
Cell Ellipticity (prolate)
 ==================== 
Cell Ellipticity (prolate),Unit,Category,Time,ID,
0.00486931,,Cell,1,0,
0.0262797,,Cell,1,1,
0.00386009,,Cell,1,2,
0.00852522,,Cell,1,3,
0.000719894,,Cell,1,4,
0.00248802,,Cell,1,5,
0.00303615,,Cell,1,6,
0.00356812,,Cell,1,7,
0.0151731,,Cell,1,8,
0.0040254,,Cell,1,9,
0.00927333,,Cell,1,10,
0.00130882,,Cell,1,11,
0.00761764,,Cell,1,12,
0.00789561,,Cell,1,13,
0.00730366,,Cell,1,14,
0.00355197,,Cell,1,15,
0.00634186,,Cell,1,16,
0.00631144,,Cell,1,17,
0.00264256,,Cell,1,18,
0.0067914,,Cell,1,19,
0.00487886,,Cell,1,20,
0.00305121,,Cell,1,21,
0.0140176,,Cell,1,22,
0.00185832,,Cell,1,23,
0.00189158,,Cell,1,24,
0.00452257,,Cell,1,25,
0.00676314,,Cell,1,26,
0.0038926,,Cell,1,27,
0.00426544,,Cell,1,28,
0.0116882,,Cell,1,29,
0.00382705,,Cell,1,30,
0.00552254,,Cell,1,31,
0.00597618,,Cell,1,32,
0.00688784,,Cell,1,33,
0.00326986,,Cell,1,34,
0.0210458,,Cell,1,35,
0.00474959,,Cell,1,36,
0.00383243,,Cell,1,37,
0.00391597,,Cell,1,38,
0.00269168,,Cell,1,39,
0.00253881,,Cell,1,40,
0.0294108,,Cell,1,41,
0.0119909,,Cell,1,42,
0.0496141,,Cell,1,43,
0.0059057,,Cell,1,44,
0.00404684,,Cell,1,45,
0.0046639,,Cell,1,46,
0.00833775,,Cell,1,47,
