
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,ID,
0.355935,,Cell,1,0,
0.518494,,Cell,1,1,
0.31732,,Cell,1,2,
0.398786,,Cell,1,3,
0.226238,,Cell,1,4,
0.23074,,Cell,1,5,
0.2714,,Cell,1,6,
0.333187,,Cell,1,7,
0.49539,,Cell,1,8,
0.315996,,Cell,1,9,
0.337617,,Cell,1,10,
0.200506,,Cell,1,11,
0.308118,,Cell,1,12,
0.412305,,Cell,1,13,
0.383546,,Cell,1,14,
0.253615,,Cell,1,15,
0.383497,,Cell,1,16,
0.403967,,Cell,1,17,
0.214122,,Cell,1,18,
0.33841,,Cell,1,19,
0.326687,,Cell,1,20,
0.297946,,Cell,1,21,
0.401181,,Cell,1,22,
0.288213,,Cell,1,23,
0.221808,,Cell,1,24,
0.285068,,Cell,1,25,
0.363081,,Cell,1,26,
0.249406,,Cell,1,27,
0.321687,,Cell,1,28,
0.421672,,Cell,1,29,
0.363623,,Cell,1,30,
0.324307,,Cell,1,31,
0.392307,,Cell,1,32,
0.351887,,Cell,1,33,
0.265047,,Cell,1,34,
0.383766,,Cell,1,35,
0.322683,,Cell,1,36,
0.32155,,Cell,1,37,
0.283987,,Cell,1,38,
0.314227,,Cell,1,39,
0.313147,,Cell,1,40,
0.419523,,Cell,1,41,
0.345564,,Cell,1,42,
0.397285,,Cell,1,43,
0.275646,,Cell,1,44,
0.306139,,Cell,1,45,
0.336279,,Cell,1,46,
0.401364,,Cell,1,47,
