
Cell Area
 ==================== 
Cell Area,Unit,Category,Time,ID,
2.00827,µm^2,Cell,1,0,
0.817782,µm^2,Cell,1,1,
1.13259,µm^2,Cell,1,2,
5.29749,µm^2,Cell,1,3,
1.78392,µm^2,Cell,1,4,
2.01913,µm^2,Cell,1,5,
1.10364,µm^2,Cell,1,6,
3.64384,µm^2,Cell,1,7,
1.65728,µm^2,Cell,1,8,
0.741794,µm^2,Cell,1,9,
13.6526,µm^2,Cell,1,10,
2.17834,µm^2,Cell,1,11,
2.39545,µm^2,Cell,1,12,
12.6105,µm^2,Cell,1,13,
1.81649,µm^2,Cell,1,14,
1.04937,µm^2,Cell,1,15,
2.70664,µm^2,Cell,1,16,
2.64513,µm^2,Cell,1,17,
0.474024,µm^2,Cell,1,18,
1.91781,µm^2,Cell,1,19,
1.0566,µm^2,Cell,1,20,
0.589817,µm^2,Cell,1,21,
1.22667,µm^2,Cell,1,22,
4.73662,µm^2,Cell,1,23,
0.307573,µm^2,Cell,1,24,
2.72835,µm^2,Cell,1,25,
8.37322,µm^2,Cell,1,26,
0.311192,µm^2,Cell,1,27,
0.615146,µm^2,Cell,1,28,
0.206255,µm^2,Cell,1,29,
0.673042,µm^2,Cell,1,30,
0.730938,µm^2,Cell,1,31,
1.20496,µm^2,Cell,1,32,
0.513828,µm^2,Cell,1,33,
0.115792,µm^2,Cell,1,34,
