
Cell Ellipticity (oblate)
 ==================== 
Cell Ellipticity (oblate),Unit,Category,Time,ID,
0.149495,,Cell,1,0,
0.803155,,Cell,1,1,
0.239483,,Cell,1,2,
0.261713,,Cell,1,3,
0.324712,,Cell,1,4,
0.147036,,Cell,1,5,
0.408898,,Cell,1,6,
0.569759,,Cell,1,7,
0.608271,,Cell,1,8,
0.138156,,Cell,1,9,
0.323031,,Cell,1,10,
0.5402,,Cell,1,11,
0.341782,,Cell,1,12,
0.154945,,Cell,1,13,
0.154349,,Cell,1,14,
0.626359,,Cell,1,15,
0.493047,,Cell,1,16,
0.751944,,Cell,1,17,
0.826693,,Cell,1,18,
0.114256,,Cell,1,19,
0.0957664,,Cell,1,20,
0.511557,,Cell,1,21,
0.157973,,Cell,1,22,
0.590647,,Cell,1,23,
0.578558,,Cell,1,24,
0.312662,,Cell,1,25,
0.218257,,Cell,1,26,
0.34219,,Cell,1,27,
0.430607,,Cell,1,28,
0.354052,,Cell,1,29,
0.831552,,Cell,1,30,
0.887978,,Cell,1,31,
0.132445,,Cell,1,32,
0.442818,,Cell,1,33,
0.449434,,Cell,1,34,
