
Cell Sphericity
 ==================== 
Cell Sphericity,Unit,Category,Time,ID,
0.270048,,Cell,1,0,
0.358548,,Cell,1,1,
0.317113,,Cell,1,2,
0.194811,,Cell,1,3,
0.273757,,Cell,1,4,
0.267862,,Cell,1,5,
0.326255,,Cell,1,6,
0.22117,,Cell,1,7,
0.28852,,Cell,1,8,
0.346177,,Cell,1,9,
0.14519,,Cell,1,10,
0.259066,,Cell,1,11,
0.250218,,Cell,1,12,
0.148019,,Cell,1,13,
0.275682,,Cell,1,14,
0.332652,,Cell,1,15,
0.239821,,Cell,1,16,
0.252263,,Cell,1,17,
0.416011,,Cell,1,18,
0.271469,,Cell,1,19,
0.318021,,Cell,1,20,
0.392307,,Cell,1,21,
0.311064,,Cell,1,22,
0.204401,,Cell,1,23,
0.464584,,Cell,1,24,
0.236918,,Cell,1,25,
0.169612,,Cell,1,26,
0.454532,,Cell,1,27,
0.383493,,Cell,1,28,
0.504392,,Cell,1,29,
0.373498,,Cell,1,30,
0.36878,,Cell,1,31,
0.30781,,Cell,1,32,
0.400346,,Cell,1,33,
0.556746,,Cell,1,34,
